spec,term,coef,se,pvalue,n,r2_within,rel_t,path,ci_low,ci_high
event_blocked_gap,rel_t::-4:blocked_treated_gap,-0.006488539926396237,0.00399304275374527,0.1041957518456964,101072,0.0028884760856430214,-4,treated_blocked_minus_nonblocked,-0.014314903723736967,0.001337823870944492
event_blocked_gap,rel_t::-3:blocked_treated_gap,0.0020106350559635586,0.00392405270014012,0.6083888840008047,101072,0.0028884760856430214,-3,treated_blocked_minus_nonblocked,-0.005680508236311077,0.009701778348238195
event_blocked_gap,rel_t::-2:blocked_treated_gap,0.017988932718836358,0.00342044560485353,1.47016588458726e-07,101072,0.0028884760856430214,-2,treated_blocked_minus_nonblocked,0.01128485933332344,0.024693006104349276
event_blocked_gap,rel_t::1:blocked_treated_gap,0.007723386014068687,0.0032128337260678283,0.016234760684775917,101072,0.0028884760856430214,1,treated_blocked_minus_nonblocked,0.0014262319109757437,0.014020540117161629
event_blocked_gap,rel_t::2:blocked_treated_gap,-0.0026459863176015834,0.0034658700499777123,0.44521486124231346,101072,0.0028884760856430214,2,treated_blocked_minus_nonblocked,-0.0094390916155579,0.004147118980354732
event_blocked_gap,rel_t::3:blocked_treated_gap,0.007623276649278881,0.0038688693254312644,0.04881267496111774,101072,0.0028884760856430214,3,treated_blocked_minus_nonblocked,4.0292771433602693e-05,0.01520626052712416
event_blocked_gap,rel_t::4:blocked_treated_gap,0.0001390134351791205,0.003938712290442428,0.9718457592805791,101072,0.0028884760856430214,4,treated_blocked_minus_nonblocked,-0.007580862654088039,0.007858889524446279
event_blocked_gap,rel_t::-4:blocked_control_gap,2.5732482824084563e-07,0.0024984507673137236,0.9999178244987459,101072,0.0028884760856430214,-4,control_blocked_minus_nonblocked,-0.004896706179106657,0.004897220828763139
event_blocked_gap,rel_t::-3:blocked_control_gap,0.005194771430481217,0.00237850646311827,0.028977072513123314,101072,0.0028884760856430214,-3,control_blocked_minus_nonblocked,0.0005328987627694071,0.009856644098193026
event_blocked_gap,rel_t::-2:blocked_control_gap,0.027683128571439862,0.002083889970363111,0.0,101072,0.0028884760856430214,-2,control_blocked_minus_nonblocked,0.023598704229528165,0.03176755291335156
event_blocked_gap,rel_t::1:blocked_control_gap,0.004927947692241005,0.002005799459680342,0.014029482030217366,101072,0.0028884760856430214,1,control_blocked_minus_nonblocked,0.0009965807512675355,0.008859314633214474
event_blocked_gap,rel_t::2:blocked_control_gap,0.007055545255116119,0.0021954328830646047,0.0013134829266145953,101072,0.0028884760856430214,2,control_blocked_minus_nonblocked,0.002752496804309494,0.011358593705922744
event_blocked_gap,rel_t::3:blocked_control_gap,0.003411424093314687,0.0021812333356789654,0.11784529102403263,101072,0.0028884760856430214,3,control_blocked_minus_nonblocked,-0.0008637932446160855,0.007686641431245459
event_blocked_gap,rel_t::4:blocked_control_gap,0.0049837095062639485,0.0022526409585522014,0.026957879460102196,101072,0.0028884760856430214,4,control_blocked_minus_nonblocked,0.0005685332275016343,0.009398885785026262
