rel_t,reference_period,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df,cluster
-4,False,0.019120342403970564,0.028154605974051332,0.6791195167708194,0.49706886507940795,-0.036064530381365874,0.074305215189307,23362.0,member_id
-3,False,0.02722285359709857,0.028222503229811638,0.9645796964013762,0.33476535724878953,-0.02809510225908813,0.08254080945328526,23362.0,member_id
-2,False,0.00770627723860667,0.027811040365376835,0.2770941732981894,0.7817102473581987,-0.046805184438593744,0.06221773891580709,23362.0,member_id
-1,True,0.0,0.0,,,0.0,0.0,23362.0,member_id
1,False,-0.02555026956778263,0.02859223401553856,-0.8936087174544401,0.37154048569381226,-0.08159292199382961,0.03049238285826435,23362.0,member_id
2,False,-0.04187833949934898,0.028599723976658786,-1.464291736994641,0.14312770943401307,-0.09793567274003664,0.014178993741338693,23362.0,member_id
3,False,-0.023361986259031693,0.02886576620603214,-0.8093319294656274,0.4183324875302451,-0.07994077970402935,0.03321680718596596,23362.0,member_id
4,False,-0.03650348791668685,0.028966873417606627,-1.2601804616752088,0.20761685669210656,-0.09328045812230266,0.02027348228892896,23362.0,member_id
