rel_t,term,estimate,se,pvalue_two_sided,pvalue_one_sided_positive,ci_low,ci_high,n,cluster,n_clusters
-4,rel_m4_X_treated_X_incidence_X_baseline_novelty,-0.012676343026313553,0.02363555697576363,0.5917411184920311,0.7041294407539844,-0.05900459055054011,0.033651904497913,79578,member_id,16459
-3,rel_m3_X_treated_X_incidence_X_baseline_novelty,-0.0024817414359361157,0.02487902136151975,0.9205421346267877,0.5397289326866062,-0.05124731361935905,0.04628383074748682,79578,member_id,16459
-2,rel_m2_X_treated_X_incidence_X_baseline_novelty,0.015810249327629738,0.02411539339463944,0.5120854209805992,0.2560427104902996,-0.03145852946512635,0.06307902812038582,79578,member_id,16459
1,rel_p1_X_treated_X_incidence_X_baseline_novelty,0.05292125841389028,0.029684276736670907,0.0746365797855848,0.0373182898927924,-0.005263133925342861,0.11110565075312342,79578,member_id,16459
2,rel_p2_X_treated_X_incidence_X_baseline_novelty,-0.01404519882149035,0.02983125775773375,0.6377744185175431,0.6811127907412284,-0.07251768985592857,0.04442729221294788,79578,member_id,16459
3,rel_p3_X_treated_X_incidence_X_baseline_novelty,0.035707375520576706,0.029574109810292758,0.22730075389745386,0.11365037694872693,-0.02226107772995784,0.09367582877111125,79578,member_id,16459
4,rel_p4_X_treated_X_incidence_X_baseline_novelty,0.01412295713782047,0.029985841026686267,0.6376558837899489,0.31882794189497443,-0.04465253381976236,0.0728984480954033,79578,member_id,16459
