term,estimate,se,tvalue,pvalue_two_sided,ci_low,ci_high,pvalue_one_sided_positive,n,reference_df,cluster,n_clusters
post_X_treated,0.02137628382816023,0.014618992057930541,1.4622269266891064,0.14369812914420477,-0.007278521442940285,0.050031089099260746,0.07184906457210238,79578,16458.0,member_id,16459
post_X_incidence,-0.04579108189748356,0.0076213637599110585,-6.008253029247608,1.9148396201984497e-09,-0.060729779009778787,-0.030852384785188328,0.9999999990425802,79578,16458.0,member_id,16459
post_X_treated_X_incidence,-0.01304986595876947,0.01742968896384462,-0.748714792664375,0.45403982548418975,-0.04721394110264218,0.021114209185103237,0.7729800872579051,79578,16458.0,member_id,16459
post_X_baseline_novelty,-0.16654511058291158,0.005812439246576098,-28.653221740083975,0.0,-0.17793812003942794,-0.15515210112639521,1.0,79578,16458.0,member_id,16459
post_X_treated_X_baseline_novelty,-0.026824522714791885,0.013546195844596251,-1.9802255203251418,0.047694820318880504,-0.05337653139999565,-0.0002725140295881216,0.9761525898405597,79578,16458.0,member_id,16459
post_X_incidence_X_baseline_novelty,0.01889831484287436,0.006953830118169615,2.7176842864617994,0.006580932672615614,0.00526805585272949,0.03252857383301923,0.003290466336307807,79578,16458.0,member_id,16459
post_X_treated_X_incidence_X_baseline_novelty,0.02939350986366988,0.016009795113738852,1.835970395301671,0.06638006436047572,-0.0019874197925259136,0.06077443951986568,0.03319003218023786,79578,16458.0,member_id,16459
post_X_baseline_log_orders,0.003208950586485864,0.007950881196635274,0.40359684758512765,0.6865144476319305,-0.0123756363344465,0.018793537507418228,0.34325722381596524,79578,16458.0,member_id,16459
post_X_treated_X_baseline_log_orders,-0.03554252037430181,0.019782945316920004,-1.7966243046682702,0.07241361324503326,-0.0743192324416466,0.0032341916930429607,0.9637931933774834,79578,16458.0,member_id,16459
post_X_incidence_X_baseline_log_orders,-0.02544229785597226,0.008559751775803445,-2.972317249653442,0.0029598876628484927,-0.042220336952829535,-0.00866425875911499,0.9985200561685758,79578,16458.0,member_id,16459
post_X_treated_X_incidence_X_baseline_log_orders,0.032456133396516554,0.020865504724103815,1.5554923700946115,0.11984807842459633,-0.008442512172421583,0.0733547789654547,0.059924039212298164,79578,16458.0,member_id,16459
