rel_t,term,estimate,se,pvalue_two_sided,pvalue_one_sided_positive,ci_low,ci_high,n,cluster,n_clusters
-4,rel_m4_X_treated_X_incidence_X_baseline_novelty,-0.005790584512456091,0.025303298599462166,0.8189906621448491,0.5905046689275755,-0.05538778596183824,0.04380661693692606,79578,member_id,16459
-3,rel_m3_X_treated_X_incidence_X_baseline_novelty,-0.009146700061152787,0.02647152684755658,0.7297005645338497,0.6351497177330752,-0.061033755204188495,0.042740355081882925,79578,member_id,16459
-2,rel_m2_X_treated_X_incidence_X_baseline_novelty,0.01754687798885353,0.02594521092932528,0.4988564709966612,0.2494282354983306,-0.03330854104081437,0.06840229701852144,79578,member_id,16459
1,rel_p1_X_treated_X_incidence_X_baseline_novelty,0.05959811687987313,0.03148685798445081,0.05840287935708366,0.02920143967854183,-0.0021195296287163656,0.12131576338846263,79578,member_id,16459
2,rel_p2_X_treated_X_incidence_X_baseline_novelty,-0.00021334631102741725,0.03183806316532343,0.994653510577767,0.5026732447111165,-0.0626193929520082,0.06219270032995337,79578,member_id,16459
3,rel_p3_X_treated_X_incidence_X_baseline_novelty,0.043497675541518725,0.03135864343810805,0.16542907181396949,0.08271453590698474,-0.017968656591646287,0.10496400767468374,79578,member_id,16459
4,rel_p4_X_treated_X_incidence_X_baseline_novelty,0.014860684341657396,0.031749011396021036,0.6397424290628464,0.3198712145314232,-0.04737081120179934,0.07709217988511413,79578,member_id,16459
