spec,term,n,r2_within,coef,se,pvalue
score_collapsed,post_X_treated,7248,0.013024844396557156,-0.0005952627568927213,0.00402604539537584,0.8824917411101383
score_collapsed,post_X_score,7248,0.013024844396557156,-0.03202167760303359,0.006382535961154653,6.314713913990744e-07
score_collapsed,post_X_treated_X_score,7248,0.013024844396557156,-0.024569732816884834,0.019255563081571423,0.2022896116535613
