spec,formula,n,r2,r2_within
event_att,"purchase_incidence_binary ~ i(rel_t, treated, ref=-1) | event_fe_id + rel_t + calendar_month",358864,0.4268249636818888,0.00011404020024730066
event_binary_B,"purchase_incidence_binary ~ i(rel_t, treated,       ref=-1) + i(rel_t, treated_X_disp, ref=-1) + i(rel_t, disp_binary,   ref=-1) | event_fe_id + rel_t + calendar_month",358864,0.4355516898923938,0.015337541678873468
event_binary_D,"purchase_incidence_binary ~ i(rel_t, treated,        ref=-1) + i(rel_t, treated_X_disp, ref=-1) + i(rel_t, disp_binary,    ref=-1) + i(rel_t, treated_X_len,  ref=-1) + i(rel_t, disp_X_len,     ref=-1) + i(rel_t, tXdXlen,        ref=-1) | event_fe_id + rel_t + calendar_month",358864,0.43605341369602457,0.01621278319352537
event_score_C,"purchase_incidence_binary ~ i(rel_t, treated,                   ref=-1) + i(rel_t, treated_X_score,           ref=-1) + i(rel_t, displacement_prob_centered, ref=-1) | event_fe_id + rel_t + calendar_month",358864,0.4383988722517633,0.020304362432984613
