spec,term,coef,se,pvalue,n,r2_within,rel_t,effect,ci_low,ci_high
event_att,rel_t::-4:treated,0.00021769517316557875,0.0012633680953958698,0.8631920678469549,321184,0.00018030185889517103,-4,att_or_baseline,-0.002258506293810326,0.002693896640141483
event_att,rel_t::-3:treated,-6.397193159916637e-05,0.0012063675230946974,0.9577094166223148,321184,0.00018030185889517103,-3,att_or_baseline,-0.002428452276864773,0.0023005084136664407
event_att,rel_t::-2:treated,-0.0006375186422764582,0.0010630779123143189,0.5487153297800853,321184,0.00018030185889517103,-2,att_or_baseline,-0.002721151350412523,0.0014461140658596065
event_att,rel_t::1:treated,0.002621603059514008,0.0010696957090146882,0.014258413021022376,321184,0.00018030185889517103,1,att_or_baseline,0.0005249994698452191,0.004718206649182797
event_att,rel_t::2:treated,0.00020566251379682156,0.0011484496787137549,0.8578770575420163,321184,0.00018030185889517103,2,att_or_baseline,-0.002045298856482138,0.002456623884075781
event_att,rel_t::3:treated,0.006568056364345793,0.0012171558714495975,6.84392484906482e-08,321184,0.00018030185889517103,3,att_or_baseline,0.004182430856304582,0.008953681872387004
event_att,rel_t::4:treated,0.001799191446173625,0.0011987907159461506,0.13340516202640207,321184,0.00018030185889517103,4,att_or_baseline,-0.0005504383570808298,0.00414882124942808
event_binary_B,rel_t::-4:treated,-0.001304979598501767,0.0010522640018063138,0.21492210669369927,321184,0.015869415260420405,-4,att_or_baseline,-0.0033674170420421416,0.0007574578450386079
event_binary_B,rel_t::-3:treated,0.00018335401136761477,0.0010040036904227188,0.8550948793800459,321184,0.015869415260420405,-3,att_or_baseline,-0.0017844932218609142,0.002151201244596144
event_binary_B,rel_t::-2:treated,0.0016303009563138882,0.0008473762285919041,0.05436917551093057,321184,0.015869415260420405,-2,att_or_baseline,-3.055645172624381e-05,0.0032911583643540202
event_binary_B,rel_t::1:treated,0.0005012840786448034,0.0008553488889054729,0.5578398185330187,321184,0.015869415260420405,1,att_or_baseline,-0.0011751997436099235,0.00217776790089953
event_binary_B,rel_t::2:treated,0.00044755121316975184,0.0009411806756934849,0.6344182279132102,321184,0.015869415260420405,2,att_or_baseline,-0.0013971629111894784,0.002292265337528982
event_binary_B,rel_t::3:treated,0.0031642074208689157,0.0009894878480995368,0.0013857639812393518,321184,0.015869415260420405,3,att_or_baseline,0.0012248112385938236,0.005103603603144008
event_binary_B,rel_t::4:treated,0.00012099060144167553,0.0009613846987438405,0.8998510147144896,321184,0.015869415260420405,4,att_or_baseline,-0.0017633234080962517,0.0020053046109796027
event_binary_B,rel_t::-4:treated_X_disp,0.005007328888740589,0.003813436065607471,0.18916506477549477,321184,0.015869415260420405,-4,displacement,-0.0024670057998500547,0.012481663577331232
event_binary_B,rel_t::-3:treated_X_disp,-0.001786689077233545,0.003624377412708858,0.6220404301377056,321184,0.015869415260420405,-3,displacement,-0.008890468806142906,0.005317090651675817
event_binary_B,rel_t::-2:treated_X_disp,-0.007775420916127588,0.0032289356262242756,0.016042701592141828,321184,0.015869415260420405,-2,displacement,-0.014104134743527168,-0.0014467070887280078
event_binary_B,rel_t::1:treated_X_disp,0.006464977423463713,0.003252318886773465,0.046839984564521986,321184,0.015869415260420405,1,displacement,9.043240538772132e-05,0.012839522441539705
event_binary_B,rel_t::2:treated_X_disp,-0.0022342821783331197,0.003459273056935667,0.5183594733641441,321184,0.015869415260420405,2,displacement,-0.009014457369927027,0.004545893013260787
event_binary_B,rel_t::3:treated_X_disp,0.010862731712256123,0.0036833744678642843,0.00318858726801019,321184,0.015869415260420405,3,displacement,0.003643317755242126,0.01808214566927012
event_binary_B,rel_t::4:treated_X_disp,0.003914582912873647,0.0036383511872051942,0.2819685058232384,321184,0.015869415260420405,4,displacement,-0.0032165854140485334,0.011045751239795829
event_binary_B,rel_t::-4:disp_binary,-0.005293453022474136,0.0018149753177577335,0.0035413018027976584,321184,0.015869415260420405,-4,blocked_control_gap,-0.008850804645279294,-0.0017361013996689788
event_binary_B,rel_t::-3:disp_binary,0.004497301381218064,0.0017287087292210102,0.009284084588181196,321184,0.015869415260420405,-3,blocked_control_gap,0.0011090322719448835,0.007885570490491243
event_binary_B,rel_t::-2:disp_binary,0.023183282529571973,0.001558968950150819,0.0,321184,0.015869415260420405,-2,blocked_control_gap,0.020127703387276367,0.026238861671867578
event_binary_B,rel_t::1:disp_binary,-0.02609606296950872,0.0015298671501564895,0.0,321184,0.015869415260420405,1,blocked_control_gap,-0.029094602583815438,-0.023097523355202
event_binary_B,rel_t::2:disp_binary,-0.024232896250612042,0.0016534790030724065,0.0,321184,0.015869415260420405,2,blocked_control_gap,-0.027473715096633957,-0.020992077404590127
event_binary_B,rel_t::3:disp_binary,-0.03237427695535867,0.001641055856673599,0.0,321184,0.015869415260420405,3,blocked_control_gap,-0.03559074643443892,-0.029157807476278413
event_binary_B,rel_t::4:disp_binary,-0.03241968201290119,0.0017165475712746401,0.0,321184,0.015869415260420405,4,blocked_control_gap,-0.03578411525259949,-0.029055248773202896
event_binary_D,rel_t::-4:treated,-0.0012250852904641194,0.0010376993643430488,0.23777730602600045,321184,0.018020650914315706,-4,att_or_baseline,-0.0032589760445764946,0.000808805463648256
event_binary_D,rel_t::-3:treated,0.00031096156533970133,0.0009897958773459716,0.7533955580563434,321184,0.018020650914315706,-3,att_or_baseline,-0.001629038354258403,0.0022509614849378057
event_binary_D,rel_t::-2:treated,0.0011359929194239015,0.0008318845746249124,0.1720830152291517,321184,0.018020650914315706,-2,att_or_baseline,-0.0004945008468409267,0.00276648668568873
event_binary_D,rel_t::1:treated,0.0007605416204874851,0.000848806241886859,0.3702510708646298,321184,0.018020650914315706,1,att_or_baseline,-0.0009031186136107585,0.0024242018545857285
event_binary_D,rel_t::2:treated,0.0005305039993960301,0.0009283520256493721,0.5676998621478433,321184,0.018020650914315706,2,att_or_baseline,-0.001289065970876739,0.0023500739696687995
event_binary_D,rel_t::3:treated,0.0032846324257989517,0.0009759563167937665,0.0007646202709903349,321184,0.018020650914315706,3,att_or_baseline,0.0013717580448831693,0.005197506806714734
event_binary_D,rel_t::4:treated,0.00044140389541827684,0.0009475196509296239,0.6413239901793419,321184,0.018020650914315706,4,att_or_baseline,-0.001415734620403786,0.0022985424112403397
event_binary_D,rel_t::-4:treated_X_disp,0.00983469331277858,0.005008206444138769,0.049569968485684734,321184,0.018020650914315706,-4,displacement,1.8608682266593735e-05,0.019650777943290565
event_binary_D,rel_t::-3:treated_X_disp,0.0007103287844590241,0.004869249540738808,0.8840164212630481,321184,0.018020650914315706,-3,displacement,-0.00883340031538904,0.010254057884307086
event_binary_D,rel_t::-2:treated_X_disp,-0.000850474138067964,0.004257401380069491,0.8416664249510049,321184,0.018020650914315706,-2,displacement,-0.009194980843004165,0.0074940325668682375
event_binary_D,rel_t::1:treated_X_disp,0.002920999933727833,0.004310557422449129,0.4980047946458561,321184,0.018020650914315706,1,displacement,-0.00552769261427246,0.011369692481728127
event_binary_D,rel_t::2:treated_X_disp,0.003408083568607179,0.004656961226182544,0.4642792770100479,321184,0.018020650914315706,2,displacement,-0.005719560434710607,0.012535727571924966
event_binary_D,rel_t::3:treated_X_disp,0.015374040866386524,0.004888245427626218,0.0016614881170957663,321184,0.018020650914315706,3,displacement,0.005793079828239137,0.02495500190453391
event_binary_D,rel_t::4:treated_X_disp,0.007470510659525918,0.00470175779578216,0.11209623912512989,321184,0.018020650914315706,4,displacement,-0.001744934620207115,0.01668595593925895
event_binary_D,rel_t::-4:disp_binary,-0.00460547296967932,0.001965063001485083,0.019099550335313076,321184,0.018020650914315706,-4,blocked_control_gap,-0.008456996452590081,-0.0007539494867685572
event_binary_D,rel_t::-3:disp_binary,0.005861658290692821,0.0018960251677558112,0.0019925019209807715,321184,0.018020650914315706,-3,blocked_control_gap,0.002145448961891431,0.009577867619494211
event_binary_D,rel_t::-2:disp_binary,0.02566758715627462,0.0017294021029600096,0.0,321184,0.018020650914315706,-2,blocked_control_gap,0.022277959034473,0.02905721527807624
event_binary_D,rel_t::1:disp_binary,-0.02758743258352342,0.00167511606028054,0.0,321184,0.018020650914315706,1,blocked_control_gap,-0.03087066006167328,-0.02430420510537356
event_binary_D,rel_t::2:disp_binary,-0.02352868465624906,0.001827634926453394,0.0,321184,0.018020650914315706,2,blocked_control_gap,-0.027110849112097712,-0.019946520200400407
event_binary_D,rel_t::3:disp_binary,-0.032872482202729376,0.0017886162912922456,0.0,321184,0.018020650914315706,3,blocked_control_gap,-0.03637817013366218,-0.029366794271796576
event_binary_D,rel_t::4:disp_binary,-0.032823544591684885,0.0018413687995840141,0.0,321184,0.018020650914315706,4,blocked_control_gap,-0.036432627438869554,-0.029214461744500216
event_binary_D,rel_t::-4:treated_X_len,0.0013450716071115995,0.0009202312828578309,0.14384033853099676,321184,0.018020650914315706,-4,length_baseline,-0.00045858170728974913,0.003148724921512948
event_binary_D,rel_t::-3:treated_X_len,0.002186787398483905,0.0008667126576991789,0.011636944759073176,321184,0.018020650914315706,-3,length_baseline,0.00048803058939351444,0.0038855442075742957
event_binary_D,rel_t::-2:treated_X_len,-0.0022422710098244543,0.000705210941182709,0.0014760321509177388,321184,0.018020650914315706,-2,length_baseline,-0.003624484454542564,-0.0008600575651063448
event_binary_D,rel_t::1:treated_X_len,0.0027731305833113406,0.0007081356212286988,9.014128408701971e-05,321184,0.018020650914315706,1,length_baseline,0.0013851847657030908,0.004161076400919591
event_binary_D,rel_t::2:treated_X_len,-0.001308068145951841,0.0007641599560281489,0.08694628956276507,321184,0.018020650914315706,2,length_baseline,-0.0028058216597670127,0.00018968536786333093
event_binary_D,rel_t::3:treated_X_len,-0.001276382339640139,0.0007693389368502455,0.09711075854244111,321184,0.018020650914315706,3,length_baseline,-0.00278428665586662,0.00023152197658634212
event_binary_D,rel_t::4:treated_X_len,0.0003789907834901445,0.0008288541094347124,0.6474962292572553,321184,0.018020650914315706,4,length_baseline,-0.0012455632710018918,0.002003544837982181
event_binary_D,rel_t::-4:disp_X_len,-0.003933003816623683,0.001708360564549986,0.021328455172032967,321184,0.018020650914315706,-4,length_lower_order,-0.007281390523141655,-0.0005846171101057101
event_binary_D,rel_t::-3:disp_X_len,-0.006504298318523551,0.001622943022952754,6.141877955068153e-05,321184,0.018020650914315706,-3,length_lower_order,-0.009685266643510949,-0.003323329993536153
event_binary_D,rel_t::-2:disp_X_len,-0.010024109593018027,0.0014185078693369263,1.6129320101754274e-12,321184,0.018020650914315706,-2,length_lower_order,-0.012804385016918402,-0.0072438341691176515
event_binary_D,rel_t::1:disp_X_len,0.007167794576960122,0.0014246423878734203,4.892795426592045e-07,321184,0.018020650914315706,1,length_lower_order,0.004375495496728218,0.009960093657192026
event_binary_D,rel_t::2:disp_X_len,-0.0012311424683170875,0.0015343657908750592,0.42233866495251426,321184,0.018020650914315706,2,length_lower_order,-0.0042384994184322036,0.0017762144817980285
event_binary_D,rel_t::3:disp_X_len,0.003765846848695637,0.0015750206065924795,0.016807926870124668,321184,0.018020650914315706,3,length_lower_order,0.0006788064597743771,0.006852887237616897
event_binary_D,rel_t::4:disp_X_len,0.004587688771876922,0.0016201680540328769,0.00463369112304135,321184,0.018020650914315706,4,length_lower_order,0.0014121593859724836,0.007763218157781361
event_binary_D,rel_t::-4:tXdXlen,-0.005648460904134035,0.0035372662310394075,0.11030844726623013,321184,0.018020650914315706,-4,length_displacement,-0.012581502716971274,0.0012845809087032034
event_binary_D,rel_t::-3:tXdXlen,-0.0019542223188972873,0.003417542221947916,0.5674464684873257,321184,0.018020650914315706,-3,length_displacement,-0.008652605073915203,0.004744160436120628
event_binary_D,rel_t::-2:tXdXlen,-0.0014378138277502857,0.00293542213809982,0.6242674837581381,321184,0.018020650914315706,-2,length_displacement,-0.007191241218425932,0.004315613562925361
