spec,term,coef,se,pvalue,n,r2_within
event_att,rel_t::-4:treated,-0.009351932869055285,0.0027156987127419964,0.0005757666567025588,101072,0.0004527762364270327
event_att,rel_t::-3:treated,-0.0064443224201275245,0.0027379524486050295,0.01860277004928812,101072,0.0004527762364270327
event_att,rel_t::-2:treated,-0.0064852533254641485,0.0024182414054583993,0.007332118733622162,101072,0.0004527762364270327
event_att,rel_t::1:treated,0.0013829676387472542,0.0021981736336981425,0.529266196931049,101072,0.0004527762364270327
event_att,rel_t::2:treated,-0.004908912441324699,0.0023884977809717216,0.03987730199859718,101072,0.0004527762364270327
event_att,rel_t::3:treated,0.0037009557617437476,0.002529618768466359,0.14347889817432358,101072,0.0004527762364270327
event_att,rel_t::4:treated,-0.0024569776531075164,0.002522509484954641,0.3300646750406919,101072,0.0004527762364270327
event_binary_B,rel_t::-4:treated,-0.01272941969101738,0.003594496695460365,0.00039949816996798226,101072,0.0032374638944724365
event_binary_B,rel_t::-3:treated,-0.010575095270718647,0.0037208206520835197,0.004488352737703982,101072,0.0032374638944724365
event_binary_B,rel_t::-2:treated,-0.002872658321372958,0.0031781239530813267,0.3660736606569337,101072,0.0032374638944724365
event_binary_B,rel_t::1:treated,-0.00031051040854171365,0.002846879955651395,0.9131483641501363,101072,0.0032374638944724365
event_binary_B,rel_t::2:treated,-0.00037520293285643537,0.003102631133206386,0.9037479564872581,101072,0.0032374638944724365
event_binary_B,rel_t::3:treated,0.0028483824076008767,0.0031071517119228955,0.3593078455879406,101072,0.0032374638944724365
event_binary_B,rel_t::4:treated,-0.0005441151650508151,0.0030229108344557044,0.8571577367410623,101072,0.0032374638944724365
event_binary_B,rel_t::-4:treated_X_disp,0.006111494518441242,0.005381033037338535,0.2560838241228791,101072,0.0032374638944724365
event_binary_B,rel_t::-3:treated_X_disp,0.007230302404371368,0.005418078212339652,0.18207153204374027,101072,0.0032374638944724365
event_binary_B,rel_t::-2:treated_X_disp,-0.006847835365053199,0.004749943382701459,0.149421200069342,101072,0.0032374638944724365
event_binary_B,rel_t::1:treated_X_disp,0.003114225653700826,0.004368603548440854,0.4759423119266515,101072,0.0032374638944724365
event_binary_B,rel_t::2:treated_X_disp,-0.009316720866565506,0.004744986386099367,0.04961147105086483,101072,0.0032374638944724365
event_binary_B,rel_t::3:treated_X_disp,0.0013858818851248647,0.005003841006883181,0.7818125774391289,101072,0.0032374638944724365
event_binary_B,rel_t::4:treated_X_disp,-0.004292952589100631,0.004988728804886962,0.38951308683717056,101072,0.0032374638944724365
event_binary_B,rel_t::-4:disp_binary,-0.002538745581523245,0.0026427786181957252,0.33675412021740136,101072,0.0032374638944724365
event_binary_B,rel_t::-3:disp_binary,0.003143275350555147,0.002495888080363623,0.20791582497236738,101072,0.0032374638944724365
event_binary_B,rel_t::-2:disp_binary,0.027136418737715325,0.0021732529741253846,0.0,101072,0.0032374638944724365
event_binary_B,rel_t::1:disp_binary,0.00487909682056964,0.0020885253216558915,0.019499270891367715,101072,0.0032374638944724365
