spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,6756,0.01343243817758899,0.002501946312037043,0.0029489935903879503,0.3963317288485899,binary
binary_collapsed,post_X_disp,6756,0.01343243817758899,-0.019484450659116425,0.004880449434962286,6.822807418593868e-05,binary
binary_collapsed,post_X_treated_X_disp,6756,0.01343243817758899,-0.00685555599045127,0.006822885739335853,0.31514279374100584,binary
score_collapsed,post_X_treated,6756,0.02243026824898553,0.0013611063970426767,0.002630683102191522,0.604947149770104,score
score_collapsed,post_X_score,6756,0.02243026824898553,-0.03601810199073781,0.007856543176140762,4.8860722494659115e-06,score
score_collapsed,post_X_treated_X_score,6756,0.02243026824898553,-0.008677452184750307,0.010690013256478056,0.41705846223411003,score
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",6756,0.0011123562545481969,0.0032019881272873016,0.003326382327412377,0.33588428297521267,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",6756,0.0011123562545481969,0.004085979870161722,0.003924160937865898,0.29791487518425086,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",6756,0.0011123562545481969,-0.004330881184240931,0.004113961491114808,0.2926164830614184,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",6756,0.02040611869471365,8.86255242567782e-05,0.00261374564835636,0.9729549385289735,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",6756,0.02040611869471365,0.004022643556101508,0.003316786285556946,0.22537079111704328,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",6756,0.02040611869471365,0.001069874592229399,0.003405417639809918,0.7534319682684609,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",6756,0.02040611869471365,0.0068066260126546305,0.006937782339559724,0.3266863140087577,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",6756,0.02040611869471365,0.001375599308112681,0.008152173901535274,0.8660212276314283,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",6756,0.02040611869471365,-0.008280085276360627,0.008355993052916596,0.32186873066007005,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",6756,0.02040611869471365,-0.00544405832955398,0.004874307266153715,0.26420089928013546,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",6756,0.02040611869471365,-0.014066180670324148,0.005939663006362294,0.017988030594696003,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",6756,0.02040611869471365,-0.03034677897746291,0.005687422721605483,1.0801954908323808e-07,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated",6756,0.030571958272639255,0.0018126972127944666,0.002349933802534489,0.44058836110889144,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",6756,0.030571958272639255,0.004463889894698372,0.003038834246972565,0.14203318767357276,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated",6756,0.030571958272639255,7.102011218146241e-05,0.003073162942889454,0.981565437773311,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_score",6756,0.030571958272639255,0.009755419470541326,0.010431196744934161,0.3498108914942262,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",6756,0.030571958272639255,0.0046487922713416025,0.012666258578739245,0.7136488052626331,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_score",6756,0.030571958272639255,-0.012248277170301013,0.012978427513340211,0.34543695246773254,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:displacement_prob_centered",6756,0.030571958272639255,-0.009280255882924866,0.007348467225979395,0.20680557444491,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:displacement_prob_centered",6756,0.030571958272639255,-0.02932630472591476,0.009440233144681233,0.0019245328701971154,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:displacement_prob_centered",6756,0.030571958272639255,-0.051990155138485636,0.009033002634809113,1.0234884717519321e-08,event_study
