group,rel_t,mean,std
control,-4,0.5291789352556944,0.42016473508307534
control,-3,0.5224843620060021,0.4188556580966011
control,-2,0.5590269909061856,0.41321482017209415
control,-1,0.570593992454979,0.4114174246926948
control,0,0.1709437436850168,0.3454769605729917
control,1,0.5114091576845528,0.4022887336160401
control,2,0.5244692704668074,0.41240041603542865
control,3,0.4744057490326147,0.42099448297855346
control,4,0.44986149584487534,0.4236075579559715
treatment,-4,0.5793836895027371,0.40740566562786645
treatment,-3,0.5307433483864001,0.4020925772176434
treatment,-2,0.5555909863945578,0.4086606627440553
treatment,-1,0.5412317895194607,0.4159730598859133
treatment,0,0.029254079254079256,0.1548346404572652
treatment,1,0.5344483264320221,0.4002646089948086
treatment,2,0.5519498100243442,0.416985669232662
treatment,3,0.4275441949354993,0.42036181313712917
treatment,4,0.41593073593073593,0.42279716483458857
