spec,term,coef,se,pvalue,n,r2_within
event_att,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.0035944579993026594,0.004631559686194929,0.43776961348530397,21760,0.0020649126358618375
event_att,"C(rel_t, contr.treatment(base=-1))[-3]:treated",0.009153614064133642,0.005376469689605246,0.08876990203818869,21760,0.0020649126358618375
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.015946322760543558,0.004684891183750345,0.0006742369007692872,21760,0.0020649126358618375
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.002279213140466833,0.004181406792792345,0.5857412421404398,21760,0.0020649126358618375
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.015680823021958668,0.0048042905872437884,0.0011124317956971996,21760,0.0020649126358618375
event_att,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.028705287120947904,0.004937617619220328,6.827528320485499e-09,21760,0.0020649126358618375
event_att,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.018774235360752695,0.004247914834963251,1.0274078847904988e-05,21760,0.0020649126358618375
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.0037441037735847504,0.0036669970034897414,0.3073323754716901,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated",0.0009527765866211218,0.0036983863039600135,0.7967200411944777,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.005423188250428985,0.0030753405880684496,0.07793808068470298,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",-0.004976504431103391,0.0028290540157172423,0.0786780616626086,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.007957225557461577,0.004210138348490071,0.05886219480946564,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.010785627501429555,0.00420524179160058,0.0103765871454502,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.006251786735277494,0.003395392994035798,0.06569296765226151,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",0.039736361550945405,0.015830371766419812,0.012126162216077097,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",0.04626043321472748,0.019736079141306272,0.01915224053878517,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",0.05917049147220903,0.015863802309592865,0.00019546574074302825,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",0.030810755274431237,0.016371389850526493,0.05994439897431558,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",0.03227363557447183,0.016313399724681557,0.047989870546608415,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",0.0747550982294541,0.01671145446469545,8.018957768474166e-06,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",0.05327313830220295,0.014886326407023386,0.00035139333542666407,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",0.015667284282387034,0.00622083726707959,0.011841976512173558,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",0.02346612928527158,0.0064553585198180476,0.0002829814156510846,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",0.02950138352779,0.005940177166793134,7.242283484032441e-07,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",-0.011735234441098594,0.005646473973634142,0.037772588978721267,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",-0.014174677241139369,0.005873513796102484,0.01587359675603417,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:disp_binary",-0.03328374406278858,0.005643663269563988,4.1457119959176225e-09,21760,0.024794525349954744
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:disp_binary",-0.019939804968870677,0.006209702983174838,0.0013378267232198038,21760,0.024794525349954744
event_score_C,"C(rel_t, contr.treatment(base=-1))[-4]:treated",0.009696232173150415,0.005237864825954276,0.06425198898662865,21760,0.03136509002014398
event_score_C,"C(rel_t, contr.treatment(base=-1))[-3]:treated",0.016060887267093257,0.006215368601195213,0.009816171424874343,21760,0.03136509002014398
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated",0.02576705068968875,0.004971489745045741,2.3440094265581024e-07,21760,0.03136509002014398
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.003977761779892417,0.005250301577684727,0.4487409290778066,21760,0.03136509002014398
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.018114180000654272,0.005546582988578889,0.0011049997053302896,21760,0.03136509002014398
event_score_C,"C(rel_t, contr.treatment(base=-1))[3]:treated",0.032676321744390176,0.005733867387720821,1.3359836126269897e-08,21760,0.03136509002014398
event_score_C,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.022080490825814248,0.004922550914313406,7.573384457781884e-06,21760,0.03136509002014398
event_score_C,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_score",0.06543697776338403,0.01958597913475782,0.0008460170312296622,21760,0.03136509002014398
