covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
push_group,-0.19213784581856735,0.8251931112314873,0.00568084725377391,-0.2032721018376375,-0.1810035897994972,0.8160561608317336,0.8344323632455349,0.0,-33.82204048716959,9.354623179917923e-251,830.5782722762938
total_pushes,-0.04768692029098366,0.9534322406436566,0.00017650580662958377,-0.048032865315039835,-0.04734097526692749,0.9531024625500655,0.9537621328420741,0.0,-270.1719631867961,0.0,inf
interaction,-0.0033324600186321767,0.996673086463402,0.00019432358861231068,-0.0037133272536588836,-0.00295159278360547,0.9962935586201832,0.9970527588838717,0.0,-17.14902468830313,6.391619658589028e-66,216.57107270113875
