avg_order_value,total_spend,n_orders,avg_basket_size,unique_stores,coupon_usage_rate,avg_discount,weeks_active,order_per_week,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount,member_id,period_type
25.0,25.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,0.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
34.2,171.0,5,1.2,2,0.2,0.32999999999999996,3.857142857142857,1.2962962962962963,0,1,0.0,0,0,,active
32.0,32.0,1,1.0,1,0.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
41.142857142857146,288.0,7,1.7142857142857142,5,0.7142857142857143,0.33571428571428574,11.142857142857142,0.6282051282051282,0,1,0.0,0,0,,active
45.0,180.0,4,1.5,4,0.75,0.225,4.714285714285714,0.8484848484848485,0,1,0.0,0,0,,active
27.62962962962963,746.0,27,1.0740740740740742,3,0.8148148148148148,0.23148148148148148,8.428571428571429,3.2033898305084745,0,1,0.0,0,0,,active
29.0,58.0,2,1.0,1,1.0,0.2,1.0,2.0,0,1,0.0,0,0,,active
33.1,331.0,10,1.1,1,0.8,0.24500000000000002,7.857142857142857,1.2727272727272727,0,1,0.0,0,0,,active
25.0,50.0,2,1.0,2,1.0,0.25,1.5714285714285714,1.2727272727272727,0,1,0.0,0,0,,active
28.0,84.0,3,1.0,1,1.0,0.21666666666666667,3.4285714285714284,0.875,0,1,0.0,0,0,,active
37.333333333333336,112.0,3,1.3333333333333333,1,0.0,0.3333333333333333,2.142857142857143,1.4000000000000001,0,1,0.0,0,0,,active
17.4,174.0,10,1.3,6,0.8,0.11000000000000001,7.428571428571429,1.346153846153846,0,1,0.0,0,0,,active
23.5,94.0,4,1.0,1,1.0,0.2,8.857142857142858,0.45161290322580644,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,0.0,0.05,1.0,1.0,0,1,0.0,0,0,,active
67.0,67.0,1,2.0,1,1.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
29.5,59.0,2,1.0,1,0.0,0.175,4.142857142857143,0.48275862068965514,0,1,0.0,0,0,,active
35.0,70.0,2,1.0,2,0.0,0.3,1.2857142857142858,1.5555555555555554,0,1,0.0,0,0,,active
54.5,218.0,4,1.75,1,0.5,0.3375,5.428571428571429,0.7368421052631579,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
29.333333333333332,264.0,9,1.0,5,1.0,0.23888888888888887,9.142857142857142,0.984375,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
25.0,550.0,22,1.0,4,1.0,0.2,16.285714285714285,1.3508771929824561,0,1,0.0,0,0,,active
351.0,351.0,1,12.0,1,1.0,0.55,1.0,1.0,0,1,0.0,0,0,,active
32.0,32.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
152.0,152.0,1,5.0,1,0.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
67.0,67.0,1,2.0,1,1.0,0.55,1.0,1.0,0,1,0.0,0,0,,active
29.5,531.0,18,1.0555555555555556,2,0.8888888888888888,0.2611111111111111,24.142857142857142,0.7455621301775148,0,1,0.0,0,0,,active
25.0,25.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
49.5,99.0,2,1.5,1,1.0,0.2,1.0,2.0,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
32.0,32.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
28.0,56.0,2,1.0,2,1.0,0.2,1.1428571428571428,1.75,0,1,0.0,0,0,,active
29.75,119.0,4,1.0,1,0.75,0.21250000000000002,1.0,4.0,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,0.0,0.4,1.0,1.0,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,0.0,0.4,1.0,1.0,0,1,0.0,0,0,,active
43.25,173.0,4,1.5,3,0.75,0.2375,11.142857142857142,0.358974358974359,0,1,0.0,0,0,,active
37.285714285714285,261.0,7,1.2857142857142858,1,0.8571428571428571,0.2857142857142857,5.714285714285714,1.2249999999999999,0,1,0.0,0,0,,active
30.0,270.0,9,1.0,1,0.8888888888888888,0.25555555555555554,8.428571428571429,1.0677966101694916,0,1,0.0,0,0,,active
30.5,61.0,2,1.0,1,0.0,0.22499999999999998,3.7142857142857144,0.5384615384615384,0,1,0.0,0,0,,active
84.16666666666667,505.0,6,2.3333333333333335,2,0.6666666666666666,0.43333333333333335,6.285714285714286,0.9545454545454546,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,0.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,0.0,0.15,1.0,1.0,0,1,0.0,0,0,,active
23.0,23.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
52.0,52.0,1,2.0,1,0.0,0.4,1.0,1.0,0,1,0.0,0,0,,active
56.0,56.0,1,2.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
141.5,283.0,2,5.0,1,1.0,0.22499999999999998,3.857142857142857,0.5185185185185185,0,1,0.0,0,0,,active
25.0,125.0,5,1.0,2,0.8,0.16,9.142857142857142,0.546875,0,1,0.0,0,0,,active
28.0,84.0,3,1.0,2,1.0,0.18333333333333335,4.285714285714286,0.7000000000000001,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
66.75,267.0,4,2.25,1,1.0,0.2625,3.142857142857143,1.2727272727272727,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
29.0,116.0,4,1.0,1,1.0,0.2375,1.2857142857142858,3.1111111111111107,0,1,0.0,0,0,,active
56.0,56.0,1,2.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
56.0,56.0,1,2.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
34.8,174.0,5,1.2,3,0.8,0.27999999999999997,3.0,1.6666666666666667,0,1,0.0,0,0,,active
32.0,32.0,1,1.0,1,0.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,0.0,0.05,1.0,1.0,0,1,0.0,0,0,,active
40.5,81.0,2,1.5,2,1.0,0.4,5.571428571428571,0.358974358974359,0,1,0.0,0,0,,active
56.0,56.0,1,2.0,1,0.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
29.0,116.0,4,1.0,1,0.0,0.275,2.857142857142857,1.4,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,0.0,0.15,1.0,1.0,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,0.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
25.0,25.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
25.0,25.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
61.0,122.0,2,2.0,2,0.0,0.3,3.0,0.6666666666666666,0,1,0.0,0,0,,active
41.666666666666664,125.0,3,1.3333333333333333,2,0.6666666666666666,0.18333333333333335,7.857142857142857,0.38181818181818183,0,1,0.0,0,0,,active
41.25,330.0,8,1.5,6,1.0,0.25625,21.857142857142858,0.3660130718954248,0,1,0.0,0,0,,active
25.0,25.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
40.666666666666664,244.0,6,1.3333333333333333,1,1.0,0.3,1.4285714285714286,4.2,0,1,0.0,0,0,,active
32.17948717948718,5020.0,156,1.0961538461538463,9,0.6730769230769231,0.2676282051282051,68.0,2.2941176470588234,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
87.0,261.0,3,3.0,1,0.6666666666666666,0.3666666666666667,4.142857142857143,0.7241379310344827,0,1,0.0,0,0,,active
56.0,56.0,1,2.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
68.5,137.0,2,2.5,1,1.0,0.275,1.0,2.0,0,1,0.0,0,0,,active
56.0,56.0,1,2.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,0.0,0.15,1.0,1.0,0,1,0.0,0,0,,active
32.0,32.0,1,1.0,1,0.0,0.15,1.0,1.0,0,1,0.0,0,0,,active
43.5,87.0,2,1.5,1,1.0,0.275,3.0,0.6666666666666666,0,1,0.0,0,0,,active
57.0,171.0,3,2.0,1,0.3333333333333333,0.31666666666666665,2.857142857142857,1.05,0,1,0.0,0,0,,active
41.592592592592595,1123.0,27,1.5925925925925926,1,0.9629629629629629,0.2518518518518518,18.857142857142858,1.4318181818181819,0,1,0.0,0,0,,active
35.0,35.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
