member_id,total_pushes,avg_push_discount,dormant_length,push_group,dormant_period_num,period_type
59448,3,,7,0,2,dormant
73926,47,,263,0,2,dormant
82494,8,,10,0,2,dormant
83659,18,,30,0,2,dormant
90047,1,,1,0,2,dormant
108479,1,,1,0,2,dormant
123630,16,,52,0,2,dormant
123955,76,,416,0,2,dormant
126532,24,,66,0,2,dormant
129566,50,,119,0,2,dormant
146423,1,,1,0,2,dormant
151092,17,,87,0,2,dormant
151482,9,,38,0,2,dormant
173692,3,,6,0,2,dormant
177979,1,,1,0,2,dormant
184930,56,,136,0,2,dormant
185417,2,,2,0,2,dormant
187335,14,,76,0,2,dormant
194265,1,,1,0,2,dormant
207358,78,,300,0,2,dormant
232303,15,,208,0,2,dormant
249634,31,,111,0,2,dormant
256371,12,,104,0,2,dormant
260538,8,,8,0,2,dormant
264715,2,,1,0,2,dormant
270470,7,,17,0,2,dormant
276706,75,,157,0,2,dormant
288017,49,,200,0,2,dormant
289774,65,,248,0,2,dormant
304474,21,,76,0,2,dormant
308293,4,,10,0,2,dormant
313136,24,,69,0,2,dormant
316499,5,,16,0,2,dormant
319181,6,,32,0,2,dormant
330815,4,,9,0,2,dormant
348185,35,,103,0,2,dormant
360023,3,,2,0,2,dormant
364592,1,,1,0,2,dormant
380657,19,,48,0,2,dormant
381268,8,,28,0,2,dormant
383281,63,,207,0,2,dormant
386119,43,,192,0,2,dormant
390663,25,,83,0,2,dormant
406506,42,,120,0,2,dormant
425618,3,,7,0,2,dormant
427079,90,,279,0,2,dormant
429783,64,,170,0,2,dormant
443388,1,,1,0,2,dormant
448300,3,,16,0,2,dormant
454165,11,,26,0,2,dormant
488595,29,,81,0,2,dormant
504777,42,,149,0,2,dormant
509879,69,,263,0,2,dormant
512059,3,,8,0,2,dormant
514568,3,,7,0,2,dormant
536190,47,,92,0,2,dormant
536482,22,,31,0,2,dormant
549078,19,,63,0,2,dormant
549996,2,,1,0,2,dormant
551127,56,,235,0,2,dormant
576332,71,,178,0,2,dormant
580516,3,,5,0,2,dormant
583656,17,,44,0,2,dormant
586416,84,,383,0,2,dormant
589860,27,,68,0,2,dormant
594551,5,,13,0,2,dormant
601435,115,,349,0,2,dormant
610990,24,,77,0,2,dormant
631184,6,,8,0,2,dormant
632534,6,,21,0,2,dormant
652136,66,,332,0,2,dormant
655050,14,,55,0,2,dormant
658184,51,,179,0,2,dormant
674677,44,,123,0,2,dormant
677416,6,,10,0,2,dormant
683263,106,,257,0,2,dormant
698836,4,,36,0,2,dormant
701826,1,,1,0,2,dormant
703813,5,,25,0,2,dormant
709374,38,,90,0,2,dormant
709853,49,,250,0,2,dormant
715540,3,,2,0,2,dormant
723943,45,,206,0,2,dormant
731093,2,,1,0,2,dormant
732185,6,,9,0,2,dormant
733693,7,,17,0,2,dormant
747527,40,,104,0,2,dormant
750464,108,,326,0,2,dormant
756516,17,,39,0,2,dormant
760295,27,,56,0,2,dormant
765001,2,,1,0,2,dormant
771633,1,,1,0,2,dormant
775109,26,,70,0,2,dormant
777377,30,,72,0,2,dormant
22147,9,,43,0,3,dormant
39126,2,,8,0,3,dormant
46834,61,,181,0,3,dormant
54491,24,,62,0,3,dormant
59448,3,,48,0,3,dormant
82494,3,,1,0,3,dormant
90047,37,,72,0,3,dormant
108479,6,,26,0,3,dormant
126532,53,,127,0,3,dormant
146423,72,,202,0,3,dormant
151092,11,,36,0,3,dormant
151482,6,,11,0,3,dormant
185417,7,,16,0,3,dormant
187335,17,,51,0,3,dormant
194265,2,,7,0,3,dormant
249634,3,,12,0,3,dormant
256371,22,,22,0,3,dormant
264715,1,,1,0,3,dormant
270470,28,,56,0,3,dormant
289774,2,,1,0,3,dormant
308293,39,,89,0,3,dormant
316499,2,,4,0,3,dormant
319181,23,,56,0,3,dormant
330815,1,,1,0,3,dormant
360023,18,,32,0,3,dormant
364592,1,,1,0,3,dormant
380657,6,,13,0,3,dormant
