spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,12616,0.007690012578483452,0.004777015141585963,0.0037535363810018117,0.20332269642636436,binary
binary_collapsed,post_X_disp,12616,0.007690012578483452,-0.02631554421353718,0.005861787338054113,7.663520626310927e-06,binary
binary_collapsed,post_X_treated_X_disp,12616,0.007690012578483452,0.02015872283519664,0.015380537543819663,0.1901621352970393,binary
score_collapsed,post_X_treated,12616,0.012455257277524723,0.010338875231190491,0.0048766497895815,0.03415540668442496,score
score_collapsed,post_X_score,12616,0.012455257277524723,-0.047080585371828396,0.008758286280509994,8.780792848384067e-08,score
score_collapsed,post_X_treated_X_score,12616,0.012455257277524723,0.034940802279623914,0.0273212594138455,0.20112514445317542,score
event_att,"C(rel_t, contr.treatment(base=-1))[-4]:treated",12616,0.001785582781477335,-0.007363912769317947,0.0068789301255972445,0.2845570424011392,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-3]:treated",12616,0.001785582781477335,0.0027835137632437504,0.006553306923270199,0.6710772828008569,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",12616,0.001785582781477335,0.0037878965243832094,0.00534261550577467,0.4784314162932293,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",12616,0.001785582781477335,0.011342618606132364,0.005278896613695078,0.03181234172198111,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",12616,0.001785582781477335,0.009894965131451858,0.004908320962247289,0.04397385977924162,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[3]:treated",12616,0.001785582781477335,0.015324641169236042,0.006758368693891204,0.023494243191158892,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[4]:treated",12616,0.001785582781477335,-0.0035602130196722595,0.006382001299237583,0.5770245920640029,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated",12616,0.01179331249927773,-0.010075548248555808,0.005586001020038484,0.07146704629556533,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated",12616,0.01179331249927773,-0.0020180477790937798,0.005885847386082026,0.7317461680173247,event_study
