spec,term,coef,se,pvalue,n,r2_within,rel_t,effect,ci_low,ci_high
event_att,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.0215066983131613,0.015343828783004389,0.16104735328555164,44508,0.00034993851682219024,-4,att_or_baseline,-0.0515806027278499,0.008567206101527301
event_att,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.00797873789574962,0.015152692487992583,0.598512627046051,44508,0.00034993851682219024,-3,att_or_baseline,-0.037678015172215085,0.02172053938071584
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.04882337605629283,0.014097333106562832,0.0005355946505791742,44508,0.00034993851682219024,-2,att_or_baseline,-0.07645414894515598,-0.021192603167429686
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.0025222766535993807,0.01970374996762946,0.8981433941536756,44508,0.00034993851682219024,1,att_or_baseline,-0.03609707328295436,0.04114162659015312
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",-0.00533878105124952,0.019694151862188147,0.7863310167377915,44508,0.00034993851682219024,2,att_or_baseline,-0.043939318701138284,0.033261756598639246
event_att,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.025055423737062772,0.019741583779294025,0.20440709526704448,44508,0.00034993851682219024,3,att_or_baseline,-0.06374892794447906,0.013638080470353517
event_att,"C(rel_t, contr.treatment(base=-1))[4]:treated",-0.0140898350911503,0.019506054913548704,0.4701060005717652,44508,0.00034993851682219024,4,att_or_baseline,-0.052321702721705755,0.02414203253940516
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.04037006757474384,0.02437062863166929,0.09764786975665074,44508,0.011347155414063725,-4,att_or_baseline,-0.08813649969281565,0.007396364543327975
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.02785727588020893,0.02437251590381983,0.2530719335652718,44508,0.011347155414063725,-3,att_or_baseline,-0.0756274070516958,0.019912855291277936
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.06632738680775274,0.024331663032522717,0.006421340460035285,44508,0.011347155414063725,-2,att_or_baseline,-0.11401744635149727,-0.01863732726400822
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.0022172047585057937,0.031028415365768336,0.9430351470054299,44508,0.011347155414063725,1,att_or_baseline,-0.058598489358400146,0.06303289887541173
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",0.024966050616247393,0.02899903352897929,0.3892968568859505,44508,0.011347155414063725,2,att_or_baseline,-0.03187205510055202,0.0818041563330468
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.008174697434437278,0.03047523937127493,0.7885190875926065,44508,0.011347155414063725,3,att_or_baseline,-0.06790616660213614,0.05155677173326158
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated",0.01598541222105033,0.030088236661848743,0.5952323140146918,44508,0.011347155414063725,4,att_or_baseline,-0.04298753163617321,0.07495835607827386
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:treated_X_disp",0.037119179289300676,0.030949225892194187,0.23041466012733536,44508,0.011347155414063725,-4,displacement,-0.023541303459399927,0.09777966203800129
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:treated_X_disp",0.03652828436036627,0.030768464910524256,0.2351746299434896,44508,0.011347155414063725,-3,displacement,-0.023777906864261268,0.0968344755849938
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",0.023543458086974767,0.02951441507218946,0.4250654250704873,44508,0.011347155414063725,-2,displacement,-0.034304795454516576,0.0813917116284661
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",0.005524475269821232,0.039412299280312896,0.8885271502891041,44508,0.011347155414063725,1,displacement,-0.07172363131959204,0.08277258185923451
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",-0.053008254249725,0.03906795517686789,0.17486542992764975,44508,0.011347155414063725,2,displacement,-0.12958144639638605,0.023564937896936054
event_binary_B,"C(rel_t, contr.treatment(base=-1))[3]:treated_X_disp",-0.025702302351427838,0.039303222348081104,0.5131582243294934,44508,0.011347155414063725,3,displacement,-0.1027366181536668,0.05133201345081112
event_binary_B,"C(rel_t, contr.treatment(base=-1))[4]:treated_X_disp",-0.05478223366705832,0.03887678547645586,0.15882635697954584,44508,0.011347155414063725,4,displacement,-0.1309807332009118,0.02141626586679516
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-4]:disp_binary",0.07767399658260116,0.012336017397327245,3.1590197124842234e-10,44508,0.011347155414063725,-4,blocked_control_gap,0.05349540248383976,0.10185259068136256
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-3]:disp_binary",0.06256613671443849,0.012212963734971768,3.058795490229471e-07,44508,0.011347155414063725,-3,blocked_control_gap,0.03862872779389383,0.08650354563498315
