group,rel_t,mean,std
control,-4,0.5754671313776745,0.4295922373318733
control,-3,0.5389902676399027,0.45038245664245363
control,-2,0.47602436323366554,0.43690841971668154
control,-1,0.4409914712153518,0.4201925252812615
control,0,0.0739674593241552,0.24052114019044807
control,1,0.40230263157894736,0.43694811440295633
control,2,0.5166995073891626,0.41890094330251487
control,3,0.5989711934156379,0.4442396104166796
control,4,0.5760770975056689,0.42837306030630073
treatment,-4,0.5769047619047619,0.4274910670595089
treatment,-3,0.4751968503937008,0.4287554178688831
treatment,-2,0.5039094650205761,0.4373825824721282
treatment,-1,0.4547074051365897,0.4256386356542777
treatment,0,0.011887433284813197,0.10523722846748529
treatment,1,0.44139814462370314,0.41438366894499956
treatment,2,0.4979432638439992,0.4108166734897938
treatment,3,0.4843036464116604,0.40975434172288105
treatment,4,0.4266938025210084,0.4103400780421904
