covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
push_group,-0.26014086914625806,0.7709429760750127,0.0039903460657877065,-0.26796180372105305,-0.25231993457146307,0.7649369982918303,0.7769961103811673,0.0,-65.19255845417645,0.0,inf
total_pushes,-0.05034884655886337,0.9508976492619771,8.766150008659757e-05,-0.05052065994186385,-0.05017703317586288,0.950734286354339,0.9510610402399603,0.0,-574.3552929065279,0.0,inf
