metric,n_0,n_1,mean_0,mean_1,median_0,median_1,std_0,std_1,diff,pct_diff,t_stat,t_pvalue,u_stat,u_pvalue,cohens_d,t_pvalue_fdr,significant_fdr,u_pvalue_fdr,u_significant_fdr
initial_orders,119978,659766,5.037698578072646,3.220252331887366,1.0,1.0,14.643652928405656,9.644030792790359,-1.8174462461852805,-36.07691524252748,41.38831389809533,0.0,43932176513.0,0.0,-0.17196964804997036,0.0,True,0.0,True
initial_order_freq,119978,659766,1.208718840973229,1.1822640221915377,1.0,1.0,0.6148007896609732,0.5692086430952238,-0.026454818781691314,-2.188666039191594,13.86325197482196,1.1213429119829955e-43,39840492510.0,2.514493622978614e-05,-0.04589196871419202,2.055795338635492e-43,True,2.7659429852764756e-05,True
initial_interpurchase_days,55166,241862,9.027491727857141,9.025631772475116,7.5,7.333333333333333,6.420647943383445,6.620646766083956,-0.0018599553820255466,-0.020603235517636355,0.06103905191675785,0.9513282532378056,6739761069.0,0.00016363291762846825,-0.00028249791324512133,0.9513282532378056,False,0.00016363291762846825,True
initial_weeks_active,119978,659766,3.9637588319763384,2.665830655977163,1.0,1.0,8.135366093403366,5.5439175550113164,-1.2979281759991754,-32.74488259801684,53.06643812952795,0.0,43553106654.0,0.0,-0.21575426193337024,0.0,True,0.0,True
initial_avg_order_value,119978,659766,44.0680469971997,45.078628515022345,31.666666666666668,32.0,36.97848492064811,36.5069474499796,1.0105815178226436,2.2932296452503578,-8.724495726117395,2.6978305083973844e-18,38082036358.5,3.9241384575601707e-97,0.02762669083736241,4.239447941767318e-18,True,7.194253838860314e-97,True
initial_avg_basket_size,119978,659766,1.5443074726209847,1.5497348795961359,1.0,1.0,1.2976731202090936,1.2496270939341882,0.0054274069751512055,0.3514460087368391,-1.3401051041366718,0.18021304481161823,40135342741.0,7.7174441338193e-18,0.0043172675676403215,0.22026038810308893,False,9.432431719112477e-18,True
initial_total_spend,119978,659766,199.57067545716714,131.30048759711778,59.0,56.0,995.7888647597912,382.6531850481497,-68.27018786004936,-34.208526730522514,23.4347631489284,3.433094940632257e-121,42599496796.5,0.0,-0.12984004301172106,7.5528088693909655e-121,True,0.0,True
initial_unique_stores,119978,659766,1.5138692093550483,1.295668464273697,1.0,1.0,1.3969917325903853,1.0023286954752437,-0.21820074508135123,-14.413447590648271,51.73459101551838,0.0,42946414289.0,0.0,-0.2034410886509457,0.0,True,0.0,True
initial_coupon_usage_rate,119978,659766,0.7536732817212063,0.7212208460996443,1.0,1.0,0.38799718484069445,0.4178173697415118,-0.03245243562156197,-4.305902359633674,26.328108808216484,1.8201885812351437e-152,40182802392.0,8.471955987571008e-23,-0.07850716947715908,5.005518598396645e-152,True,1.1648939482910135e-22,True
initial_avg_discount,119978,659766,0.2608846864845891,0.2611508031574627,0.25,0.25,0.09858262332163066,0.1063424802911774,0.0002661166728735731,0.10200547853516616,-0.8494584052238386,0.3956274298988195,40356037719.0,6.429603157810903e-28,0.002529968578663021,0.43519017288870143,False,1.0103662105131418e-27,True
initial_discount_depth_pref,119978,659766,0.05422562706960506,0.04961626776509217,0.0,0.0,0.19708484893838601,0.1957162149059772,-0.0046093593045128944,-8.500333797147668,7.459676832308341,8.71550451225601e-14,40633586617.5,1.3593649727453475e-187,-0.02352585039843624,1.1983818704352013e-13,True,2.990602940039765e-187,True
