outcome,length_bin,n_closures,mean_closure_duration_days,mean_avg_n_introduced_during_control,mean_effect,corr_intro_vs_effect_within_bin,within_bin_median_intro,high_intro_n_closures,low_intro_n_closures,high_minus_low_mean_effect_within_bin
n_purchases,10-14,9,12.444444444444445,7.066666666666666,-0.009654964190386568,0.0004653436063060971,7.4,5,4,0.021138224050211825
n_purchases,15-19,5,16.8,10.239999999999998,0.00683414410042196,-0.39969097038978474,9.2,3,2,-0.014980641600018985
n_purchases,25-29,4,27.25,13.350000000000001,0.0030551031654271754,-0.6966913357399217,13.2,2,2,-0.026280395839670352
variety_seeking_unbalanced,10-14,9,12.444444444444445,7.066666666666666,-0.04761716513520228,-0.11732994393925135,7.4,5,4,0.07567536842471394
variety_seeking_unbalanced,15-19,5,16.8,10.239999999999998,-0.07488149490973764,0.3110678131626218,9.2,3,2,0.007796702232393857
variety_seeking_unbalanced,25-29,4,27.25,13.350000000000001,-0.0027612483690828277,-0.368224690679013,13.2,2,2,-0.11789792509533725
