outcome,closure_event_id,dept_id,closure_start,closure_end,closure_duration_days,members,treated_members,control_members,binary_coef,binary_se,binary_pvalue,binary_n,score_coef,score_se,score_pvalue,score_n
n_purchases,dept_8_closure_2021-05-27,8,2021-05-27,2021-06-10,15,674,123,551,0.000105607889314,0.021151484149413,0.9960177140340244,5392,-0.0059979404809985,0.03085682942809,0.8459372623140728,5392
n_purchases,dept_19_closure_2021-07-15,19,2021-07-15,2021-07-25,11,3301,593,2708,0.0077839420458508,0.013056326740505,0.5510947921453884,26408,0.0122177962218868,0.0193514366214703,0.527846419615551,26408
n_purchases,dept_124_closure_2021-07-22,124,2021-07-22,2021-08-18,28,3095,1204,1891,0.0040523493626135,0.005139395862335,0.4304720192687581,24760,0.0059302513381088,0.0081320512020657,0.4659074846470687,24760
n_purchases,dept_44_closure_2021-07-24,44,2021-07-24,2021-08-05,13,1563,366,1197,0.0013896329832818,0.0132420227886697,0.9164359865530468,12504,-0.0030634739349995,0.0186504901515062,0.8695500666566676,12504
n_purchases,dept_238_closure_2021-07-24,238,2021-07-24,2021-08-21,29,1689,715,974,-0.0084156145180292,0.0060323894523139,0.1631778065821723,13512,-0.0111997884564282,0.0095579121525046,0.2414499942522492,13512
n_purchases,dept_39_closure_2021-07-25,39,2021-07-25,2021-08-19,26,2891,230,2661,-0.0117545749907868,0.011210567544622,0.2944838653621995,23128,-0.0317999244237753,0.0189662447211899,0.0937173398235144,23128
n_purchases,dept_246_closure_2021-07-27,246,2021-07-27,2021-08-08,13,540,75,465,-0.1196045534392824,0.0861973446556507,0.1658424477958879,4320,-0.212574978190949,0.125061629952491,0.0897526801514196,4320
n_purchases,dept_133_closure_2021-07-28,133,2021-07-28,2021-08-22,26,2194,210,1984,0.0283382528079112,0.0088199420338827,0.0013327268424729,17552,0.0459425681893172,0.0151173955320567,0.0024012550862049,17552
n_purchases,dept_47_closure_2021-07-30,47,2021-07-30,2021-08-10,12,3384,220,3164,0.0235583205582048,0.0135332884840021,0.0818151038753858,27072,0.0191959768034479,0.0185243098756757,0.3001555439322578,27072
n_purchases,dept_59_closure_2021-08-03,59,2021-08-03,2021-08-19,17,3186,403,2783,-0.0083132990035226,0.0101309882498805,0.4119462405295673,25488,-0.0137434887310725,0.0158018878078202,0.3845096093213005,25488
n_purchases,dept_121_closure_2021-08-03,121,2021-08-03,2021-08-20,18,2218,411,1807,0.0107333534954517,0.0101020902655148,0.2881297508494069,17744,0.0185906453240632,0.0148232384652831,0.2099177249441721,17744
n_purchases,dept_182_closure_2021-08-03,182,2021-08-03,2021-08-20,18,1577,208,1369,0.0201587228351966,0.0153805375438196,0.1901621352970393,12616,0.0349408022796239,0.0273212594138455,0.2011251444531754,12616
n_purchases,dept_220_closure_2021-08-03,220,2021-08-03,2021-08-12,10,1834,590,1244,-0.0069002140662595,0.0181333919093116,0.7035996247815126,14672,-0.0144033790053468,0.0268748811163567,0.5920636237095462,14672
n_purchases,dept_46_closure_2021-08-04,46,2021-08-04,2021-08-19,16,2720,304,2416,0.0114863352856701,0.0100974880488073,0.2554112411377247,21760,0.0134516929541996,0.0135737561218153,0.3217701406442708,21760
n_purchases,dept_62_closure_2021-08-04,62,2021-08-04,2021-08-17,14,2644,224,2420,-0.0078871080673014,0.0148500833108922,0.595383435181134,21152,-0.0148213081487291,0.0227401950226362,0.5146081787322649,21152
n_purchases,dept_3_closure_2021-08-09,3,2021-08-09,2021-08-22,14,1486,687,799,0.0373335558487869,0.016722955495482,0.0257322828693398,11888,0.0614796567520856,0.0234318069210259,0.0087853695057376,11888
n_purchases,dept_5_closure_2021-08-18,5,2021-08-18,2021-08-31,14,2439,426,2013,-0.0271326712503178,0.0241432549191888,0.2612000643511369,19512,-0.0669217233319176,0.0219855372645782,0.0023602903652291,19512
n_purchases,dept_131_closure_2021-08-29,131,2021-08-29,2021-09-08,11,2713,401,2312,0.0045644176735577,0.0145831706812288,0.7543107070577899,21704,0.0057660901892106,0.0195356501081395,0.7678962951097683,21704
variety_seeking_unbalanced,dept_8_closure_2021-05-27,8,2021-05-27,2021-06-10,15,674,123,551,-0.0069298785218646,0.1024026157905763,0.9460755818527188,1965,-0.0352901458400657,0.141882210953543,0.8036823156391693,1965
variety_seeking_unbalanced,dept_19_closure_2021-07-15,19,2021-07-15,2021-07-25,11,3301,593,2708,-0.0794524439509424,0.0587084458225109,0.17613031938152,6476,-0.1249365878764319,0.0878120691579808,0.1549887988158316,6476
variety_seeking_unbalanced,dept_124_closure_2021-07-22,124,2021-07-22,2021-08-18,28,3095,1204,1891,-0.0256245947412887,0.038025723087035,0.5004604507101797,10821,-0.0089755262796774,0.0564794806619247,0.873748982765548,10821
variety_seeking_unbalanced,dept_44_closure_2021-07-24,44,2021-07-24,2021-08-05,13,1563,366,1197,-0.0667247354496781,0.075752528412393,0.3786596787318737,3709,-0.0307420169421388,0.0983488651111556,0.7546749132606771,3709
variety_seeking_unbalanced,dept_238_closure_2021-07-24,238,2021-07-24,2021-08-21,29,1689,715,974,0.0045141897994086,0.051418858014191,0.9300559288884576,5970,-0.0290526186366309,0.0734252948263873,0.6924129318141166,5970
variety_seeking_unbalanced,dept_39_closure_2021-07-25,39,2021-07-25,2021-08-19,26,2891,230,2661,-0.1279346116329115,0.0868755708802096,0.1410059123098233,9398,-0.0981453897722144,0.1179055972006778,0.405275582049704,9398
variety_seeking_unbalanced,dept_246_closure_2021-07-27,246,2021-07-27,2021-08-08,13,540,75,465,-0.4046357513462861,0.200252808028205,0.0442807314013018,1077,-0.6130731385664071,0.3936883793670805,0.120551751968513,1077
variety_seeking_unbalanced,dept_133_closure_2021-07-28,133,2021-07-28,2021-08-22,26,2194,210,1984,0.1380000230984603,0.0754230614269488,0.0674957510587366,6939,0.3315671162844879,0.1312287279148194,0.0116179579936892,6939
