spec,formula,n,r2,r2_within
binary_collapsed,purchase_incidence_binary ~ post_X_treated + post_X_disp + post_X_treated_X_disp | event_fe_id + rel_t + calendar_month,358864,0.43283172697002936,0.010592651261596586
binary_collapsed_logit,purchase_incidence_binary ~ post_X_treated + post_X_disp + post_X_treated_X_disp + C(rel_t) + C(calendar_month),358864,,
