group,rel_t,mean,std
control,-4,0.46865955045415625,0.43412297886417994
control,-3,0.43204129993229523,0.4425958824964339
control,-2,0.39521060156164084,0.4300230171661338
control,-1,0.401025459688826,0.4325000248610429
control,0,0.08374393331926568,0.25328880508321594
control,1,0.35623481334216917,0.427118989529709
control,2,0.3786147186147186,0.4315088477322821
control,3,0.3372770919067215,0.4145457760838143
control,4,0.36102107509670534,0.4155178335095785
treatment,-4,0.46824611032531827,0.4389419905851979
treatment,-3,0.4228956228956229,0.44241904763561446
treatment,-2,0.4560394889663182,0.4489606071799345
treatment,-1,0.4640243902439024,0.42653124058733083
treatment,0,0.05229298526094479,0.19990505238353348
treatment,1,0.39708994708994705,0.40050892662979454
treatment,2,0.4485575251998609,0.4417918270853493
treatment,3,0.37883699633699636,0.43919834162029653
treatment,4,0.39380952380952383,0.41698234016677804
