disp_binary,treated,rel_t,purchase_probability,se_cluster,ci_low,ci_high,n,n_clusters
0,0,-4,0.2654800701930308,0.011990978540127754,0.24018131687560593,0.29077882351045575,23934,18
0,0,-3,0.2331411381298571,0.01404457471920928,0.2035096756032273,0.2627726006564869,23934,18
0,0,-2,0.18028745717389488,0.009184656464935614,0.16090952588712748,0.19966538846066229,23934,18
0,0,-1,0.17661067936826272,0.010377220717554588,0.15471665744375282,0.19850470129277262,23934,18
0,0,1,0.18007854934402942,0.011378321389825493,0.1560723896261831,0.20408470906187573,23934,18
0,0,2,0.20084398763265648,0.008621680820945155,0.18265383112952083,0.21903414413579214,23934,18
0,0,3,0.19879669089997493,0.008118838308985122,0.18166743936176932,0.21592594243818053,23934,18
0,0,4,0.21108047129606416,0.00781881485330036,0.1945842139183776,0.22757672867375073,23934,18
0,1,-4,0.26117031220788933,0.011233908665149396,0.23746883670620197,0.28487178770957666,5349,18
0,1,-3,0.21966722751916246,0.017576144277418514,0.18258480452442136,0.2567496505139035,5349,18
0,1,-2,0.18956814357823892,0.013067244526529909,0.16199866751681075,0.2171376196396671,5349,18
0,1,-1,0.17180781454477473,0.016901595944931132,0.1361485641299169,0.20746706495963255,5349,18
0,1,1,0.19050289773789494,0.024769747430490215,0.13824329875005328,0.2427624967257366,5349,18
0,1,2,0.2065806692839783,0.018216937705844517,0.1681462903317709,0.24501504823618572,5349,18
0,1,3,0.21929332585530006,0.021393770898101905,0.1741564147458905,0.26443023696470963,5349,18
0,1,4,0.21275004673770798,0.018410939578104368,0.17390635961327794,0.251593733862138,5349,18
1,0,-4,0.7320942883046238,0.009626521555527706,0.7117841031664245,0.752404473442823,8824,18
1,0,-3,0.7652991840435177,0.0054114445066713954,0.7538820341247626,0.7767163339622728,8824,18
1,0,-2,0.846441523118767,0.008543363967068143,0.828416600733948,0.864466445503586,8824,18
1,0,-1,0.6596781504986401,0.017280294301952718,0.6232199163908383,0.6961363846064419,8824,18
1,0,1,0.5768359020852222,0.01599663070014596,0.5430859614412097,0.6105858427292347,8824,18
1,0,2,0.5789891205802358,0.011682195611443812,0.5543418422959172,0.6036363988645543,8824,18
1,0,3,0.5598368087035358,0.007701839074612654,0.5435873486459537,0.5760862687611179,8824,18
1,0,4,0.5573436083408885,0.008027883607508154,0.5404062544487361,0.5742809622330408,8824,18
1,1,-4,0.7310142087212151,0.013604998453678695,0.7023101710472475,0.7597182463951828,2041,18
1,1,-3,0.7550220480156786,0.01154112831841495,0.7306723957037151,0.7793717003276421,2041,18
1,1,-2,0.8397844194022538,0.007497298129508827,0.8239665030169565,0.8556023357875511,2041,18
1,1,-1,0.684468397844194,0.039875718725702294,0.6003379852994131,0.7685988103889749,2041,18
1,1,1,0.5982361587457129,0.03406809869097363,0.5263587534203386,0.6701135640710872,2041,18
1,1,2,0.5737383635472807,0.018450042147332056,0.5348121772131608,0.6126645498814006,2041,18
1,1,3,0.6050955414012739,0.020072737352639647,0.5627457674449208,0.647445315357627,2041,18
1,1,4,0.5781479666829985,0.021278329672547874,0.533254615269587,0.6230413180964101,2041,18
