disp_binary,treated,rel_t,mean,se_cluster,ci_low,ci_high,n,n_clusters
0,0,-4,0.5831207553604515,0.012895481194344478,0.5559136682529687,0.6103278424679343,6354,18
0,0,-3,0.5872561088354099,0.012065866259939877,0.561799356240137,0.6127128614306828,5580,18
0,0,-2,0.6017504711073657,0.01886761793196253,0.5619432768779065,0.6415576653368249,4315,18
0,0,-1,0.5626984221596588,0.014859617452013266,0.5313473697787594,0.5940494745405582,4227,18
0,0,1,0.5212309036670987,0.011636291008746679,0.49668047562864476,0.5457813317055527,4310,18
0,0,2,0.5547482046649926,0.0160803639403314,0.5208216023264545,0.5886748070035308,4807,18
0,0,3,0.534967590090541,0.016702798473459405,0.49972776567782806,0.5702074145032539,4758,18
0,0,4,0.5210513973578107,0.014605268536263174,0.4902369742815658,0.5518658204340555,5052,18
0,1,-4,0.5887647566781424,0.01596056061472691,0.5550909172622409,0.622438596094044,1397,18
0,1,-3,0.5777210401891254,0.01362508297732115,0.5489746278743035,0.6064674525039473,1175,18
0,1,-2,0.5886763877148493,0.026742217615759543,0.532255240403315,0.6450975350263837,1014,18
0,1,-1,0.5762155206660105,0.026448909772743643,0.5204131988107716,0.6320178425212493,919,18
0,1,1,0.5776131649912173,0.028981016957479212,0.5164685639528801,0.6387577660295545,1019,18
0,1,2,0.5928888004906104,0.021147934893840883,0.5482705580125831,0.6375070429686378,1105,18
0,1,3,0.5447583083772342,0.016250035787611288,0.5104737297321852,0.5790428870222831,1173,18
0,1,4,0.5202694786174574,0.014281638094764036,0.49013785608814847,0.5504011011467663,1138,18
1,0,-4,0.45934533882869794,0.014911116828282759,0.4278856322614965,0.49080504539589936,6460,18
1,0,-3,0.43288953547727427,0.016851040952951167,0.397336946772033,0.4684421241825155,6753,18
1,0,-2,0.42895302619161235,0.023894704763263035,0.3785396058543553,0.4793664465288694,7469,18
1,0,-1,0.3647961944238357,0.023740223525879754,0.3147087010076928,0.4148836878399786,5821,18
1,0,1,0.35369662016143005,0.01792636757484038,0.3158752905980682,0.3915179497247919,5090,18
1,0,2,0.4376756760344546,0.02408391485830447,0.38686305729119586,0.4884882947777134,5109,18
1,0,3,0.39367170559984327,0.017057150088444446,0.35768426462980457,0.42965914656988197,4940,18
1,0,4,0.36877177917145143,0.014413210710143525,0.3383625626885986,0.39918099565430426,4918,18
1,1,-4,0.501312565525032,0.02767796261789244,0.4429171688311181,0.5597079622189459,1492,18
1,1,-3,0.4740709365141552,0.02551242827426769,0.4202444179127536,0.5278974551155569,1541,18
1,1,-2,0.46607027938999934,0.03952115225776918,0.38268793670264095,0.5494526220773577,1714,18
1,1,-1,0.4358084302160895,0.03010178704189521,0.37229921099448204,0.49931764943769696,1397,18
1,1,1,0.43026237685328594,0.0306467578345789,0.3656033697638103,0.4949213839427616,1221,18
1,1,2,0.46868713173153814,0.030154933193929027,0.4050657839304678,0.5323084795326085,1171,18
1,1,3,0.4070532099479468,0.016122009765776057,0.3730387425981338,0.4410676772977598,1235,18
1,1,4,0.36896085552865215,0.017710135099501572,0.33159573661019354,0.40632597444711077,1180,18
