treatment_dept_id,closure_start,closure_end,closure_duration_days,closure_event_id,control_dept_id,pre_start,pre_end,during_start,during_end,n_products_pre,n_products_during,n_introduced_during,introduced_product_ids,introduced_product_names
182,2021-08-03,2021-08-20,18,dept_182_closure_2021-08-03,169,2021-07-16,2021-08-02,2021-08-03,2021-08-20,82,83,11,22|27|75|90|93|96|130|181|193|205|253,冰萃咖啡_1|加浓美式_0|抹茶厚乳_0|拿铁_18|拿铁_21|拿铁_5|满杯葡萄_0|瑞纳冰_9|生椰拿铁_6|纯牛奶_1|酸奶冻
182,2021-08-03,2021-08-20,18,dept_182_closure_2021-08-03,174,2021-07-16,2021-08-02,2021-08-03,2021-08-20,89,95,11,33|72|75|79|130|140|181|193|236|259|260,厚乳奶茶_0|巧克力_0|抹茶厚乳_0|抹茶慕斯拿铁|满杯葡萄_0|燕麦拿铁_0|瑞纳冰_9|生椰拿铁_6|茉莉抹抹茶|鸳鸯拿铁_1|鸳鸯拿铁_2
182,2021-08-03,2021-08-20,18,dept_182_closure_2021-08-03,247,2021-07-16,2021-08-02,2021-08-03,2021-08-20,0,0,0,,
220,2021-08-03,2021-08-12,10,dept_220_closure_2021-08-03,82,2021-07-24,2021-08-02,2021-08-03,2021-08-12,82,85,9,32|130|164|179|205|217|253|259|260,卡布奇诺_0|满杯葡萄_0|瑞纳冰_15|瑞纳冰_7|纯牛奶_1|胶原酸奶冻_2|酸奶冻|鸳鸯拿铁_1|鸳鸯拿铁_2
220,2021-08-03,2021-08-12,10,dept_220_closure_2021-08-03,84,2021-07-24,2021-08-02,2021-08-03,2021-08-12,0,0,0,,
220,2021-08-03,2021-08-12,10,dept_220_closure_2021-08-03,86,2021-07-24,2021-08-02,2021-08-03,2021-08-12,76,77,10,90|130|154|157|158|179|217|242|244|260,拿铁_18|满杯葡萄_0|牛油果很芒|瑞纳冰_0|瑞纳冰_1|瑞纳冰_7|胶原酸奶冻_2|荔枝_0|葡萄很好喝_0|鸳鸯拿铁_2
220,2021-08-03,2021-08-12,10,dept_220_closure_2021-08-03,92,2021-07-24,2021-08-02,2021-08-03,2021-08-12,46,63,25,33|44|90|102|105|107|125|130|132|138|139|143|155|157|160|180|189|205|208|212|215|217|242|244|260,厚乳奶茶_0|厚乳拿铁_18|拿铁_18|杨枝甘露_1|杨枝甘露_4|杨梅很好喝|满杯杨梅|满杯葡萄_0|满杯车厘子|澳瑞白_5|焦糖玛奇朵_5|燕麦拿铁_3|牛油果椰子冻|瑞纳冰_0|瑞纳冰_11|瑞纳冰_8|生椰拿铁_2|纯牛奶_1|美式_0|美式_4|胶原酸奶冻_0|胶原酸奶冻_2|荔枝_0|葡萄很好喝_0|鸳鸯拿铁_2
220,2021-08-03,2021-08-12,10,dept_220_closure_2021-08-03,96,2021-07-24,2021-08-02,2021-08-03,2021-08-12,0,0,0,,
46,2021-08-04,2021-08-19,16,dept_46_closure_2021-08-04,63,2021-07-19,2021-08-03,2021-08-04,2021-08-19,82,77,11,70|78|90|143|164|179|181|193|217|243|251,工夫轻乳茶_0|抹茶好喝椰|拿铁_18|燕麦拿铁_3|瑞纳冰_15|瑞纳冰_7|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|荔枝_1|车厘子很好喝
46,2021-08-04,2021-08-19,16,dept_46_closure_2021-08-04,98,2021-07-19,2021-08-03,2021-08-04,2021-08-19,89,93,9,69|79|133|142|179|181|193|217|236,工夫厚乳|抹茶慕斯拿铁|澳洲燕麦奶|燕麦拿铁_2|瑞纳冰_7|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶
46,2021-08-04,2021-08-19,16,dept_46_closure_2021-08-04,99,2021-07-19,2021-08-03,2021-08-04,2021-08-19,83,90,11,72|75|90|130|132|133|181|193|216|217|236,巧克力_0|抹茶厚乳_0|拿铁_18|满杯葡萄_0|满杯车厘子|澳洲燕麦奶|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_1|胶原酸奶冻_2|茉莉抹抹茶
46,2021-08-04,2021-08-19,16,dept_46_closure_2021-08-04,102,2021-07-19,2021-08-03,2021-08-04,2021-08-19,85,81,4,90|181|193|244,拿铁_18|瑞纳冰_9|生椰拿铁_6|葡萄很好喝_0
46,2021-08-04,2021-08-19,16,dept_46_closure_2021-08-04,103,2021-07-19,2021-08-03,2021-08-04,2021-08-19,84,88,10,70|130|132|181|193|208|217|236|244|255,工夫轻乳茶_0|满杯葡萄_0|满杯车厘子|瑞纳冰_9|生椰拿铁_6|美式_0|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|阿华田厚乳_1
62,2021-08-04,2021-08-17,14,dept_62_closure_2021-08-04,104,2021-07-21,2021-08-03,2021-08-04,2021-08-17,83,84,12,27|72|103|130|158|181|193|205|209|217|236|244,加浓美式_0|巧克力_0|杨枝甘露_2|满杯葡萄_0|瑞纳冰_1|瑞纳冰_9|生椰拿铁_6|纯牛奶_1|美式_1|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0
62,2021-08-04,2021-08-17,14,dept_62_closure_2021-08-04,106,2021-07-21,2021-08-03,2021-08-04,2021-08-17,87,83,5,93|130|181|193|244,拿铁_21|满杯葡萄_0|瑞纳冰_9|生椰拿铁_6|葡萄很好喝_0
62,2021-08-04,2021-08-17,14,dept_62_closure_2021-08-04,107,2021-07-21,2021-08-03,2021-08-04,2021-08-17,93,96,6,10|130|148|181|193|217,下课布丁奶茶_0|满杯葡萄_0|燕麦拿铁_8|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2
62,2021-08-04,2021-08-17,14,dept_62_closure_2021-08-04,108,2021-07-21,2021-08-03,2021-08-04,2021-08-17,84,76,7,90|102|138|155|181|193|244,拿铁_18|杨枝甘露_1|澳瑞白_5|牛油果椰子冻|瑞纳冰_9|生椰拿铁_6|葡萄很好喝_0
62,2021-08-04,2021-08-17,14,dept_62_closure_2021-08-04,110,2021-07-21,2021-08-03,2021-08-04,2021-08-17,58,0,0,,
3,2021-08-09,2021-08-22,14,dept_3_closure_2021-08-09,167,2021-07-26,2021-08-08,2021-08-09,2021-08-22,88,91,9,72|93|142|179|181|193|212|236|253,巧克力_0|拿铁_21|燕麦拿铁_2|瑞纳冰_7|瑞纳冰_9|生椰拿铁_6|美式_4|茉莉抹抹茶|酸奶冻
3,2021-08-09,2021-08-22,14,dept_3_closure_2021-08-09,244,2021-07-26,2021-08-08,2021-08-09,2021-08-22,0,0,0,,
3,2021-08-09,2021-08-22,14,dept_3_closure_2021-08-09,248,2021-07-26,2021-08-08,2021-08-09,2021-08-22,0,0,0,,
3,2021-08-09,2021-08-22,14,dept_3_closure_2021-08-09,249,2021-07-26,2021-08-08,2021-08-09,2021-08-22,0,0,0,,
3,2021-08-09,2021-08-22,14,dept_3_closure_2021-08-09,258,2021-07-26,2021-08-08,2021-08-09,2021-08-22,0,0,0,,
5,2021-08-18,2021-08-31,14,dept_5_closure_2021-08-18,1,2021-08-04,2021-08-17,2021-08-18,2021-08-31,93,93,8,47|72|79|92|138|145|154|205,厚乳拿铁_4|巧克力_0|抹茶慕斯拿铁|拿铁_20|澳瑞白_5|燕麦拿铁_5|牛油果很芒|纯牛奶_1
5,2021-08-18,2021-08-31,14,dept_5_closure_2021-08-18,153,2021-08-04,2021-08-17,2021-08-18,2021-08-31,84,90,13,33|47|79|93|130|133|137|140|145|148|155|236|242,厚乳奶茶_0|厚乳拿铁_4|抹茶慕斯拿铁|拿铁_21|满杯葡萄_0|澳洲燕麦奶|澳瑞白_4|燕麦拿铁_0|燕麦拿铁_5|燕麦拿铁_8|牛油果椰子冻|茉莉抹抹茶|荔枝_0
5,2021-08-18,2021-08-31,14,dept_5_closure_2021-08-18,173,2021-08-04,2021-08-17,2021-08-18,2021-08-31,90,88,6,47|70|72|79|93|145,厚乳拿铁_4|工夫轻乳茶_0|巧克力_0|抹茶慕斯拿铁|拿铁_21|燕麦拿铁_5
5,2021-08-18,2021-08-31,14,dept_5_closure_2021-08-18,241,2021-08-04,2021-08-17,2021-08-18,2021-08-31,0,0,0,,
5,2021-08-18,2021-08-31,14,dept_5_closure_2021-08-18,259,2021-08-04,2021-08-17,2021-08-18,2021-08-31,55,53,10,33|47|66|92|133|179|181|231|236|265,厚乳奶茶_0|厚乳拿铁_4|小鹿料多多_2|拿铁_20|澳洲燕麦奶|瑞纳冰_7|瑞纳冰_9|芒果好喝椰|茉莉抹抹茶|黑糖拿铁
131,2021-08-29,2021-09-08,11,dept_131_closure_2021-08-29,112,2021-08-18,2021-08-28,2021-08-29,2021-09-08,0,0,0,,
131,2021-08-29,2021-09-08,11,dept_131_closure_2021-08-29,126,2021-08-18,2021-08-28,2021-08-29,2021-09-08,92,90,7,47|72|110|145|178|252|261,厚乳拿铁_4|巧克力_0|桂花乌龙茶|燕麦拿铁_5|瑞纳冰_6|酒酿胶原冻|鸳鸯拿铁_3
131,2021-08-29,2021-09-08,11,dept_131_closure_2021-08-29,127,2021-08-18,2021-08-28,2021-08-29,2021-09-08,85,90,11,33|47|69|110|133|142|145|178|205|252|261,厚乳奶茶_0|厚乳拿铁_4|工夫厚乳|桂花乌龙茶|澳洲燕麦奶|燕麦拿铁_2|燕麦拿铁_5|瑞纳冰_6|纯牛奶_1|酒酿胶原冻|鸳鸯拿铁_3
131,2021-08-29,2021-09-08,11,dept_131_closure_2021-08-29,128,2021-08-18,2021-08-28,2021-08-29,2021-09-08,87,88,7,47|78|110|145|178|252|261,厚乳拿铁_4|抹茶好喝椰|桂花乌龙茶|燕麦拿铁_5|瑞纳冰_6|酒酿胶原冻|鸳鸯拿铁_3
131,2021-08-29,2021-09-08,11,dept_131_closure_2021-08-29,130,2021-08-18,2021-08-28,2021-08-29,2021-09-08,85,82,8,47|93|103|110|145|178|252|261,厚乳拿铁_4|拿铁_21|杨枝甘露_2|桂花乌龙茶|燕麦拿铁_5|瑞纳冰_6|酒酿胶原冻|鸳鸯拿铁_3
