spec,term,coef,se,pvalue,n,r2_within,rel_t,path,ci_low,ci_high
event_blocked_gap,rel_t::-4:blocked_treated_gap,-0.075578188920284,0.03405036212176363,0.026496293010124017,17944,0.0028935119533544107,-4,treated_blocked_minus_nonblocked,-0.1423168986789407,-0.008839479161627292
event_blocked_gap,rel_t::-3:blocked_treated_gap,-0.028149267958008393,0.031514392036029876,0.3717881062881556,17944,0.0028935119533544107,-3,treated_blocked_minus_nonblocked,-0.08991747634862696,0.03361894043261016
event_blocked_gap,rel_t::-2:blocked_treated_gap,-0.10793096741814612,0.029130613793261723,0.00021390608170390735,17944,0.0028935119533544107,-2,treated_blocked_minus_nonblocked,-0.1650269704529391,-0.050834964383353144
event_blocked_gap,rel_t::1:blocked_treated_gap,0.021657588781626852,0.04258775528920025,0.611099785317295,17944,0.0028935119533544107,1,treated_blocked_minus_nonblocked,-0.061814411585205634,0.10512958914845934
event_blocked_gap,rel_t::2:blocked_treated_gap,-0.014219831042434763,0.044619706933048425,0.7499769957744671,17944,0.0028935119533544107,2,treated_blocked_minus_nonblocked,-0.10167445663120968,0.07323479454634015
event_blocked_gap,rel_t::3:blocked_treated_gap,-0.03883142763913635,0.04098754393987373,0.34348871539269443,17944,0.0028935119533544107,3,treated_blocked_minus_nonblocked,-0.11916701376128885,0.04150415848301616
event_blocked_gap,rel_t::4:blocked_treated_gap,0.013389352611739763,0.043830716030376866,0.7600158772265782,17944,0.0028935119533544107,4,treated_blocked_minus_nonblocked,-0.07251885080779889,0.09929755603127842
event_blocked_gap,rel_t::-4:blocked_control_gap,-0.031652290984111854,0.01727347807776645,0.06695564418137145,17944,0.0028935119533544107,-4,control_blocked_minus_nonblocked,-0.0655083080165341,0.0022037260483103865
event_blocked_gap,rel_t::-3:blocked_control_gap,0.00034645724883984743,0.0172589921311826,0.9839852324399465,17944,0.0028935119533544107,-3,control_blocked_minus_nonblocked,-0.03348116732827805,0.03417408182595774
event_blocked_gap,rel_t::-2:blocked_control_gap,-0.0313562097574326,0.016585850313334517,0.05875090799822136,17944,0.0028935119533544107,-2,control_blocked_minus_nonblocked,-0.06386447637156825,0.0011520568567030542
event_blocked_gap,rel_t::1:blocked_control_gap,0.04252318949323327,0.02539020804339401,0.09404650798530967,17944,0.0028935119533544107,1,control_blocked_minus_nonblocked,-0.007241618271818989,0.09228799725828553
event_blocked_gap,rel_t::2:blocked_control_gap,0.04875734360347782,0.025763294138864266,0.058487828153482635,17944,0.0028935119533544107,2,control_blocked_minus_nonblocked,-0.0017387129086961425,0.09925340011565179
event_blocked_gap,rel_t::3:blocked_control_gap,0.02436721102198386,0.026588718009043756,0.35948111393977555,17944,0.0028935119533544107,3,control_blocked_minus_nonblocked,-0.0277466762757419,0.07648109831970962
event_blocked_gap,rel_t::4:blocked_control_gap,0.046304776721790404,0.026041221127159668,0.07545033981423255,17944,0.0028935119533544107,4,control_blocked_minus_nonblocked,-0.004736016687442543,0.09734557013102335
