dept_id,closure_start,closure_end,closure_duration_days,avg_n_introduced_during_control,min_n_introduced_during_control,max_n_introduced_during_control,total_n_introduced_during_control,n_purchases_members,n_purchases_treated_members,n_purchases_control_members,n_purchases_binary_coef,n_purchases_binary_se,n_purchases_binary_pvalue,n_purchases_score_coef,n_purchases_score_pvalue,variety_members,variety_treated_members,variety_control_members,variety_binary_coef,variety_binary_se,variety_binary_pvalue,variety_score_coef,variety_score_pvalue
8,2021-05-27,2021-06-10,15,14.4,12,18,72,674,123,551,0.000105607889314,0.021151484149413,0.9960177140340244,-0.0059979404809985,0.8459372623140728,674,123,551,-0.0069298785218646,0.1024026157905763,0.9460755818527188,-0.0352901458400657,0.8036823156391693
19,2021-07-15,2021-07-25,11,8.8,6,15,44,3301,593,2708,0.0077839420458508,0.013056326740505,0.5510947921453884,0.0122177962218868,0.527846419615551,3301,593,2708,-0.0794524439509424,0.0587084458225109,0.17613031938152,-0.1249365878764319,0.1549887988158316
124,2021-07-22,2021-08-18,28,11.6,0,15,58,3095,1204,1891,0.0040523493626135,0.005139395862335,0.4304720192687581,0.0059302513381088,0.4659074846470687,3095,1204,1891,-0.0256245947412887,0.038025723087035,0.5004604507101797,-0.0089755262796774,0.873748982765548
44,2021-07-24,2021-08-05,13,8.2,0,11,41,1563,366,1197,0.0013896329832818,0.0132420227886697,0.9164359865530468,-0.0030634739349995,0.8695500666566676,1563,366,1197,-0.0667247354496781,0.075752528412393,0.3786596787318737,-0.0307420169421388,0.7546749132606771
238,2021-07-24,2021-08-21,29,15.4,12,20,77,1689,715,974,-0.0084156145180292,0.0060323894523139,0.1631778065821723,-0.0111997884564282,0.2414499942522492,1689,715,974,0.0045141897994086,0.051418858014191,0.9300559288884576,-0.0290526186366309,0.6924129318141166
39,2021-07-25,2021-08-19,26,14.2,12,17,71,2891,230,2661,-0.0117545749907868,0.011210567544622,0.2944838653621995,-0.0317999244237753,0.0937173398235144,2891,230,2661,-0.1279346116329115,0.0868755708802096,0.1410059123098233,-0.0981453897722144,0.405275582049704
246,2021-07-27,2021-08-08,13,6.0,0,21,30,540,75,465,-0.1196045534392824,0.0861973446556507,0.1658424477958879,-0.212574978190949,0.0897526801514196,540,75,465,-0.4046357513462861,0.200252808028205,0.0442807314013018,-0.6130731385664071,0.120551751968513
133,2021-07-28,2021-08-22,26,12.2,11,15,61,2194,210,1984,0.0283382528079112,0.0088199420338827,0.0013327268424729,0.0459425681893172,0.0024012550862049,2194,210,1984,0.1380000230984603,0.0754230614269488,0.0674957510587366,0.3315671162844879,0.0116179579936892
47,2021-07-30,2021-08-10,12,10.0,8,12,50,3384,220,3164,0.0235583205582048,0.0135332884840021,0.0818151038753858,0.0191959768034479,0.3001555439322578,3384,220,3164,-0.0473376869107487,0.0966569981963047,0.6243743181572019,-0.1614000430196205,0.3705531773502231
59,2021-08-03,2021-08-19,17,9.2,5,15,46,3186,403,2783,-0.0083132990035226,0.0101309882498805,0.4119462405295673,-0.0137434887310725,0.3845096093213005,3186,403,2783,-0.0301660511693251,0.0589706038272253,0.6090278683629555,-0.0176811392097449,0.8573900048202145
121,2021-08-03,2021-08-20,18,10.2,0,14,51,2218,411,1807,0.0107333534954517,0.0101020902655148,0.2881297508494069,0.0185906453240632,0.2099177249441721,2218,411,1807,-0.1781925123591506,0.0596204449267313,0.0028537546185356,-0.1808699950458198,0.0467362703732057
182,2021-08-03,2021-08-20,18,8.4,0,20,42,1577,208,1369,0.0201587228351966,0.0153805375438196,0.1901621352970393,0.0349408022796239,0.2011251444531754,1577,208,1369,-0.203348831488732,0.0710415871880798,0.0043013512198766,-0.274386767456998,0.0265199912854294
220,2021-08-03,2021-08-12,10,8.8,0,25,44,1834,590,1244,-0.0069002140662595,0.0181333919093116,0.7035996247815126,-0.0144033790053468,0.5920636237095462,1834,590,1244,0.0820710643407538,0.067914850588621,0.2272353412063659,0.1318820398196953,0.2092904264152473
46,2021-08-04,2021-08-19,16,9.0,4,11,45,2720,304,2416,0.0114863352856701,0.0100974880488073,0.2554112411377247,0.0134516929541996,0.3217701406442708,2720,304,2416,0.0442297989903841,0.0708008926955253,0.5322509431903804,0.0756952108506843,0.479402668974997
62,2021-08-04,2021-08-17,14,6.0,0,12,30,2644,224,2420,-0.0078871080673014,0.0148500833108922,0.595383435181134,-0.0148213081487291,0.5146081787322649,2644,224,2420,0.0058941000586053,0.0857623813749384,0.9452170871149596,-0.0450980695312408,0.7680005993813115
3,2021-08-09,2021-08-22,14,1.8,0,9,9,1486,687,799,0.0373335558487869,0.016722955495482,0.0257322828693398,0.0614796567520856,0.0087853695057376,1486,687,799,0.1150965967823743,0.0587812708787173,0.0505472595212714,0.1853418373554883,0.0643834572834034
5,2021-08-18,2021-08-31,14,7.4,0,13,37,2439,426,2013,-0.0271326712503178,0.0241432549191888,0.2612000643511369,-0.0669217233319176,0.0023602903652291,2439,426,2013,0.0415254616828572,0.1320985545824018,0.7533068349423178,0.2263710541176276,0.358360979510488
131,2021-08-29,2021-09-08,11,6.6,0,11,33,2713,401,2312,0.0045644176735577,0.0145831706812288,0.7543107070577899,0.0057660901892106,0.7678962951097683,2713,401,2312,-0.0749910914237558,0.0625691869606028,0.2309495074118139,-0.1316086133166802,0.1954085741610991
