outcome,term,coef,se,pvalue,n
n_purchases,post_X_treated_non_cross_X_disp,0.005122792703846788,0.0025444395458398706,0.04408674088713549,321184
n_purchases,post_X_treated_cross_X_disp,0.0033947403393698606,0.008659127973434048,0.6950293910321554,321184
