spec,term,coef,se,pvalue,n,r2_within,rel_t,effect,ci_low,ci_high
event_att,rel_t::-4:treated,-0.012653909297063384,0.012653636401972219,0.31731042859687775,99644,0.0003115099588817394,-4,att_or_baseline,-0.037455036644928934,0.012147218050802164
event_att,rel_t::-3:treated,-0.004464695542289796,0.012741962931285494,0.7260468836020801,99644,0.0003115099588817394,-3,att_or_baseline,-0.029438942887609364,0.02050955180302977
event_att,rel_t::-2:treated,-0.02439894881199523,0.012185963063332313,0.04527287916527589,99644,0.0003115099588817394,-2,att_or_baseline,-0.04828343641612656,-0.0005144612078639005
event_att,rel_t::1:treated,0.028155134829477027,0.012984700670695595,0.030143536393868908,99644,0.0003115099588817394,1,att_or_baseline,0.0027051215149136616,0.053605148144040396
event_att,rel_t::2:treated,-0.008749685678322766,0.013208406584899723,0.5077002331800189,99644,0.0003115099588817394,2,att_or_baseline,-0.034638162584726226,0.01713879122808069
event_att,rel_t::3:treated,-0.02543412150300603,0.013194694385033592,0.05391673754690851,99644,0.0003115099588817394,3,att_or_baseline,-0.051295722497671864,0.00042747949165980806
event_att,rel_t::4:treated,-0.01665213529988425,0.013225375879110383,0.20800503262495873,99644,0.0003115099588817394,4,att_or_baseline,-0.0425738720229406,0.009269601423172097
event_binary_B,rel_t::-4:treated,-0.026133723267340914,0.022789179896974737,0.25149250937488765,99644,0.001480181911009848,-4,att_or_baseline,-0.0708005158654114,0.01853306933072957
event_binary_B,rel_t::-3:treated,-0.02122795723777504,0.02326906369921332,0.36162949136934963,99644,0.001480181911009848,-3,att_or_baseline,-0.06683532208823315,0.024379407612683063
event_binary_B,rel_t::-2:treated,-0.03603560527773074,0.023621502794730357,0.12713739047051886,99644,0.001480181911009848,-2,att_or_baseline,-0.08233375075540224,0.010262540199940759
event_binary_B,rel_t::1:treated,0.03596810674824629,0.0233804952807016,0.123969059216952,99644,0.001480181911009848,1,att_or_baseline,-0.009857664001928841,0.08179387749842143
event_binary_B,rel_t::2:treated,0.014888659838515873,0.02267341993382157,0.5114079592917884,99644,0.001480181911009848,2,att_or_baseline,-0.029551243231774403,0.05932856290880615
event_binary_B,rel_t::3:treated,-0.012374064730812437,0.023142722385536434,0.592872837496143,99644,0.001480181911009848,3,att_or_baseline,-0.057733800606463846,0.032985671144838975
event_binary_B,rel_t::4:treated,0.005246403502927471,0.023328509673160733,0.8220649829243301,99644,0.001480181911009848,4,att_or_baseline,-0.04047747545646757,0.050970282462322505
event_binary_B,rel_t::-4:treated_X_disp,0.02230921115883661,0.027181442602383275,0.4117961753365442,99644,0.001480181911009848,-4,displacement,-0.03096641634183461,0.07558483865950782
event_binary_B,rel_t::-3:treated_X_disp,0.026419286738340427,0.027598147064779248,0.338433430415392,99644,0.001480181911009848,-3,displacement,-0.027673081508626896,0.08051165498530775
event_binary_B,rel_t::-2:treated_X_disp,0.01601700705591356,0.027310520298905374,0.5575603096750725,99644,0.001480181911009848,-2,displacement,-0.037511612729940975,0.0695456268417681
event_binary_B,rel_t::1:treated_X_disp,-0.01195978745817447,0.027902871751914405,0.6682022123538549,99644,0.001480181911009848,1,displacement,-0.0666494160919267,0.042729841175577765
event_binary_B,rel_t::2:treated_X_disp,-0.03940515529364509,0.027830067767843098,0.15681219969807936,99644,0.001480181911009848,2,displacement,-0.09395208811861756,0.01514177753132738
event_binary_B,rel_t::3:treated_X_disp,-0.020706999169978223,0.028023968057736742,0.45997321335693364,99644,0.001480181911009848,3,displacement,-0.07563397656314225,0.034219978223185794
event_binary_B,rel_t::4:treated_X_disp,-0.0363732584614216,0.028147802853965058,0.19629246179187998,99644,0.001480181911009848,4,displacement,-0.09154295205519311,0.01879643513234991
event_binary_B,rel_t::-4:disp_binary,0.039946727898007094,0.0116990343761979,0.0006400021852168702,99644,0.001480181911009848,-4,blocked_control_gap,0.01701662052065921,0.06287683527535498
event_binary_B,rel_t::-3:disp_binary,0.03305513880892666,0.011650942606553026,0.0045561478189881655,99644,0.001480181911009848,-3,blocked_control_gap,0.010219291300082728,0.05589098631777059
event_binary_B,rel_t::-2:disp_binary,0.015871515447479972,0.012022971260407096,0.18681481418187595,99644,0.001480181911009848,-2,blocked_control_gap,-0.007693508222917936,0.03943653911787788
event_binary_B,rel_t::1:disp_binary,0.029102481614498018,0.012216845344798914,0.01721936605795471,99644,0.001480181911009848,1,blocked_control_gap,0.005157464738692146,0.05304749849030389
event_binary_B,rel_t::2:disp_binary,0.06240858015598104,0.012176324515760754,2.992654071221068e-07,99644,0.001480181911009848,2,blocked_control_gap,0.03854298410508996,0.08627417620687211
event_binary_B,rel_t::3:disp_binary,0.07028576062089219,0.012613138750386863,2.5398840808321665e-08,99644,0.001480181911009848,3,blocked_control_gap,0.04556400867013394,0.09500751257165044
event_binary_B,rel_t::4:disp_binary,0.08371060948612265,0.012495759272896435,2.1444179765239824e-11,99644,0.001480181911009848,4,blocked_control_gap,0.059218921311245634,0.10820229766099966
event_binary_D,rel_t::-4:treated,-0.02454467164537306,0.022972215171378537,0.28532844915482536,99644,0.002207265728196295,-4,att_or_baseline,-0.06957021338127499,0.02048087009052887
event_binary_D,rel_t::-3:treated,-0.014817228298194308,0.023607264800582756,0.5302358133112937,99644,0.002207265728196295,-3,att_or_baseline,-0.06108746730733651,0.03145301071094789
event_binary_D,rel_t::-2:treated,-0.036837610757512254,0.024033361736458602,0.1253461280994319,99644,0.002207265728196295,-2,att_or_baseline,-0.08394299976097111,0.010267778245946602
event_binary_D,rel_t::1:treated,0.032591002128211886,0.024038072781415756,0.17517349302661378,99644,0.002207265728196295,1,att_or_baseline,-0.014523620523362993,0.07970562477978677
event_binary_D,rel_t::2:treated,0.017326544209637754,0.02287831975911589,0.4488570370747431,99644,0.002207265728196295,2,att_or_baseline,-0.02751496251822939,0.062168050937504896
event_binary_D,rel_t::3:treated,-0.011121843650128476,0.02339505178310338,0.6345113336683128,99644,0.002207265728196295,3,att_or_baseline,-0.056976145145011106,0.03473245784475415
event_binary_D,rel_t::4:treated,0.0070557495762890365,0.02352909570679121,0.764276404203017,99644,0.002207265728196295,4,att_or_baseline,-0.03906127800902173,0.05317277716159981
event_binary_D,rel_t::-4:treated_X_disp,0.0003473237280975298,0.029101309981913286,0.9904775868951301,99644,0.002207265728196295,-4,displacement,-0.05669124383645251,0.05738589129264757
event_binary_D,rel_t::-3:treated_X_disp,0.0010769285774190637,0.02959461609006326,0.9709722240873424,99644,0.002207265728196295,-3,displacement,-0.056928518959104925,0.05908237611394305
event_binary_D,rel_t::-2:treated_X_disp,0.00642208723364428,0.029055270846197388,0.8250709863634955,99644,0.002207265728196295,-2,displacement,-0.0505262436249026,0.06337041809219116
event_binary_D,rel_t::1:treated_X_disp,-0.030266729456059814,0.030693951955314033,0.32410347283093266,99644,0.002207265728196295,1,displacement,-0.09042687528847532,0.02989341637635569
event_binary_D,rel_t::2:treated_X_disp,-0.04790888172731512,0.029638673180496473,0.10601457801784875,99644,0.002207265728196295,2,displacement,-0.10600068116108821,0.010182917706457968
event_binary_D,rel_t::3:treated_X_disp,-0.024558552719736705,0.03018185533056684,0.4158331572202343,99644,0.002207265728196295,3,displacement,-0.0837149891676477,0.034597883728174295
event_binary_D,rel_t::4:treated_X_disp,-0.048601393294481196,0.029969402753555103,0.1048810014665289,99644,0.002207265728196295,4,displacement,-0.1073414226914492,0.010138636102486803
event_binary_D,rel_t::-4:disp_binary,0.041010832602753136,0.011775353858920295,0.0004971646815852271,99644,0.002207265728196295,-4,blocked_control_gap,0.017931139039269357,0.06409052616623692
event_binary_D,rel_t::-3:disp_binary,0.03543832835690618,0.011706158306073319,0.002469986214985065,99644,0.002207265728196295,-3,blocked_control_gap,0.012494258077002478,0.058382398636809885
event_binary_D,rel_t::-2:disp_binary,0.014791971443651405,0.012086517487305095,0.22102468799788877,99644,0.002207265728196295,-2,blocked_control_gap,-0.00889760283146658,0.03848154571876939
event_binary_D,rel_t::1:disp_binary,0.029918385843159444,0.01232706045941594,0.015229688735313829,99644,0.002207265728196295,1,blocked_control_gap,0.005757347342704201,0.054079424343614686
event_binary_D,rel_t::2:disp_binary,0.06668270934302307,0.012250660146038567,5.2860406718480135e-08,99644,0.002207265728196295,2,blocked_control_gap,0.04267141545678749,0.09069400322925866
event_binary_D,rel_t::3:disp_binary,0.07281025984332028,0.012716595050748361,1.0432615216160457e-08,99644,0.002207265728196295,3,blocked_control_gap,0.04788573354385349,0.09773478614278706
