spec,term,coef,se,pvalue,n,r2_within,rel_t,path,ci_low,ci_high
event_blocked_gap,rel_t::-4:blocked_treated_gap,-0.0411893622924612,0.02733048349618522,0.1318198557010528,43655,0.000878816468900645,-4,treated_blocked_minus_nonblocked,-0.09475710994498424,0.012378385360061833
event_blocked_gap,rel_t::-3:blocked_treated_gap,-0.007521863351033194,0.026291499323421286,0.7748112667158074,43655,0.000878816468900645,-3,treated_blocked_minus_nonblocked,-0.05905320202493891,0.04400947532287253
event_blocked_gap,rel_t::-2:blocked_treated_gap,-0.017625249237366736,0.02495340378352476,0.48000128926396046,43655,0.000878816468900645,-2,treated_blocked_minus_nonblocked,-0.06653392065307527,0.03128342217834179
event_blocked_gap,rel_t::1:blocked_treated_gap,0.03344844353906193,0.026722608882262012,0.21071127897507225,43655,0.000878816468900645,1,treated_blocked_minus_nonblocked,-0.018927869870171615,0.08582475694829547
event_blocked_gap,rel_t::2:blocked_treated_gap,-0.03645502563287487,0.027697203586353813,0.18813692935116433,43655,0.000878816468900645,2,treated_blocked_minus_nonblocked,-0.09074154466212835,0.0178314933963786
event_blocked_gap,rel_t::3:blocked_treated_gap,-0.023906605160835336,0.026999849076304462,0.37594307331738186,43655,0.000878816468900645,3,treated_blocked_minus_nonblocked,-0.07682630935039209,0.029013099028721408
event_blocked_gap,rel_t::4:blocked_treated_gap,0.012108934697202688,0.02809865396961189,0.6665185032109209,43655,0.000878816468900645,4,treated_blocked_minus_nonblocked,-0.04296442708323661,0.06718229647764198
event_blocked_gap,rel_t::-4:blocked_control_gap,-0.04196031253095837,0.01611670441719204,0.009240311309615556,43655,0.000878816468900645,-4,control_blocked_minus_nonblocked,-0.07354905318865476,-0.010371571873261966
event_blocked_gap,rel_t::-3:blocked_control_gap,-0.01777234080213693,0.015988766412865136,0.266357158025893,43655,0.000878816468900645,-3,control_blocked_minus_nonblocked,-0.049110322971352594,0.013565641367078732
event_blocked_gap,rel_t::-2:blocked_control_gap,-0.00833007156002603,0.015712077401146118,0.5960056403666787,43655,0.000878816468900645,-2,control_blocked_minus_nonblocked,-0.039125743266272425,0.02246560014622036
event_blocked_gap,rel_t::1:blocked_control_gap,-0.0028360146619872055,0.01728867871981858,0.8697038268542192,43655,0.000878816468900645,1,control_blocked_minus_nonblocked,-0.036721824952831626,0.031049795628857214
event_blocked_gap,rel_t::2:blocked_control_gap,0.0005128313714155261,0.017259493414812612,0.9762965237012502,43655,0.000878816468900645,2,control_blocked_minus_nonblocked,-0.03331577572161719,0.034341438464448246
event_blocked_gap,rel_t::3:blocked_control_gap,0.018057886595801473,0.017886529202823496,0.31272040122060174,43655,0.000878816468900645,3,control_blocked_minus_nonblocked,-0.016999710641732578,0.053115483833335524
event_blocked_gap,rel_t::4:blocked_control_gap,0.01466495314476574,0.017976408642876814,0.4146399927372708,43655,0.000878816468900645,4,control_blocked_minus_nonblocked,-0.020568807795272814,0.0498987140848043
