dept_id,address,半径500m内店铺数(咖啡厅),半径1500m内店铺数(咖啡厅),latitude,longitude,geocode_status,within_nanjing_bounds,normalized_address
40,秦淮区洪武路50号金贸大厦一层A2-2号,60,265,32.04531252692646,118.79347370006097,ok,True,南京市秦淮区洪武路50号金贸大厦一层A2-2号
41,建邺区应天大街888号金鹰世界6层F644室,12,52,32.0279567057316,118.74701854925686,ok,True,南京市建邺区应天大街888号金鹰世界6层F644室
42,栖霞区紫东路1号紫东创意园1幢F4栋一层,3,10,32.085457273577745,118.91930528165994,ok,True,南京市栖霞区紫东路1号紫东创意园1幢F4栋一层
43,鼓楼区湖南路1号凤凰广场一层10号,16,65,32.074938416875675,118.78955897447902,ok,True,南京市鼓楼区湖南路1号凤凰广场一层10号
44,玄武区湖景路9号苏宁青创园D栋一层大堂,5,15,32.09675064649749,118.89754490864733,ok,True,南京市玄武区湖景路9号苏宁青创园D栋一层大堂
45,鼓楼区江东北路289号银城广场A座一层大堂,11,41,32.061174083073745,118.7456450401321,ok,True,南京市鼓楼区江东北路289号银城广场A座一层大堂
46,江宁区双龙大道1688号江宁金鹰购物中心负一层AB1-00378室,16,40,31.938144191921122,118.82717731432038,ok,True,南京市江宁区双龙大道1688号江宁金鹰购物中心负一层AB1-00378室
47,玄武区大钟亭路6号电信营业厅一层大堂,14,121,32.0550423626287,118.79413116986372,ok,True,南京市玄武区大钟亭路6号电信营业厅一层大堂
48,雨花台区花神大道17号华博智慧园一层大堂,5,36,31.980315727112696,118.78208426416106,ok,True,南京市雨花台区花神大道17号华博智慧园一层大堂
49,江宁区菲尼克斯路70号总部基地34号楼一层大堂,0,35,31.9379915924396,118.83987935423147,ok,True,南京市江宁区菲尼克斯路70号总部基地34号楼一层大堂
50,玄武区玄武大道699-8号徐庄软件园8幢一层101室,1,14,32.095783419366676,118.88771268534897,ok,True,南京市玄武区玄武大道699-8号徐庄软件园8幢一层101室
51,江宁区胜太路99号1号楼一层103-2单元,9,25,31.951437367234316,118.82599918664404,ok,True,南京市江宁区胜太路99号1号楼一层103-2单元
52,雨花台区文竹路8号凯润大厦3号楼一层102室,5,29,31.98024635413279,118.78460562806646,ok,True,南京市雨花台区文竹路8号凯润大厦3号楼一层102室
53,鼓楼区龙江路28号深业漫埠一层6室,0,3,32.102270862226625,118.74509401953229,ok,True,南京市鼓楼区龙江路28号深业漫埠一层6室
54,鼓楼区湖北路51号南京鼓楼新城吾悦广场负一层中庭,13,75,,,error,False,鼓楼区湖北路51号南京鼓楼新城吾悦广场负一层中庭
55,鼓楼区南昌路40号长江科技园一层大堂,3,30,32.0890116221742,118.78409583968954,ok,True,南京市鼓楼区南昌路40号长江科技园一层大堂
56,秦淮区永智路5号白下高新技术产业园科技创业研发孵化楼5号楼一层,2,5,32.01839005180632,118.88209504201177,ok,True,南京市秦淮区永智路5号白下高新技术产业园科技创业研发孵化楼5号楼一层
57,建邺区白龙江东街22号艺树家工场一层大堂,12,39,31.98974881055588,118.74154355683464,ok,True,南京市建邺区白龙江东街22号艺树家工场一层大堂
58,鼓楼区凤凰东街150号华润苏果一层,8,45,32.05239470332347,118.7575785796794,ok,True,南京市鼓楼区凤凰东街150号华润苏果一层
59,江宁区双龙大道1698号南京景枫L1层10号,19,36,31.936404374129797,118.82563600172637,ok,True,江宁区双龙大道1698号南京景枫L1层10号
60,秦淮区莫愁路329号越界梦幻城67号楼一层,15,157,32.0440224617942,118.77740337380966,ok,True,南京市秦淮区莫愁路329号越界梦幻城67号楼一层
61,江宁区龙眠大道568号生命科技小镇7栋一层,0,10,31.932227020960852,118.89913302295844,ok,True,南京市江宁区龙眠大道568号生命科技小镇7栋一层
62,江宁区胜太西路62号纳科汽车生活广场B楼一层,0,14,31.950244163877503,118.80796669166729,ok,True,南京市江宁区胜太西路62号纳科汽车生活广场B楼一层
63,玄武区玄武大道108号徐庄曼度广场一层,4,12,32.104562415970015,118.89316971166097,ok,True,南京市玄武区玄武大道108号徐庄曼度广场一层
64,鼓楼区行健路16号移动龙江阳光广场一层,11,44,,,error,False,南京市鼓楼区行健路16号移动龙江阳光广场一层
65,鼓楼区汉中路140号南京医科大学南门东侧一层,14,212,32.04880012533408,118.78071255164733,ok,True,鼓楼区汉中路140号南京医科大学南门东侧一层
66,鼓楼区云南北路49号天星翠琅大厦一层,14,84,32.072023001237994,118.78590574563106,ok,True,南京市鼓楼区云南北路49号天星翠琅大厦一层
67,雨花台区软件大道天溯科技园170-1号2栋一层,3,38,31.979699944351562,118.76287076693035,ok,True,南京市雨花台区软件大道天溯科技园170-1号2栋一层
68,鼓楼区虎踞路51号中国移动营业一层大堂,1,60,32.051475127425455,118.76833965087508,ok,True,南京市鼓楼区虎踞路51号中国移动营业一层大堂
69,秦淮区太平南路389号凤凰和睿大厦一层102室,9,180,32.03534794218681,118.79778556650886,ok,True,南京市秦淮区太平南路389号凤凰和睿大厦一层102室
70,江宁区将军大道9号托乐嘉花园108幢一层114室,3,6,,,error,False,南京市江宁区将军大道9号托乐嘉花园108幢一层114室
71,六合区葛关路818-2号美利广场一层124室,3,6,32.248417546969705,118.75564003638888,ok,True,南京市六合区葛关路818-2号美利广场一层124室
72,浦口区江北新区丽景路2号研发大厦A座一层101室,1,11,32.16457404092317,118.7196397244321,ok,True,南京市浦口区江北新区丽景路2号研发大厦A座一层101室
73,鼓楼区南通路118号南京滨江世茂4幢一层01号,2,10,32.08501015946561,118.73923545065732,ok,True,鼓楼区南通路118号南京滨江世茂4幢一层01号
74,秦淮区光华路158号A幢必得科技研发中心一层,0,3,32.025317362715874,118.86885051540322,ok,True,南京市秦淮区光华路158号A幢必得科技研发中心一层
75,雨花台区安德门大街21号江苏科技金融大厦一层,5,31,31.9902365132606,118.77019267548107,ok,True,南京市雨花台区安德门大街21号江苏科技金融大厦一层
76,建邺区水西门大街272号金基广场一层101室,2,33,32.03957052487292,118.76131526110926,ok,True,南京市建邺区水西门大街272号金基广场一层101室
77,建邺区云龙山路98号天盛大厦A幢一层04号,9,48,31.99003400594049,118.73912001839928,ok,True,南京市建邺区云龙山路98号天盛大厦A幢一层04号
78,仙林街道纬地路9号江苏生命科技创新园A1区一层,0,2,32.137543405093076,118.9637771535591,ok,True,南京市仙林街道纬地路9号江苏生命科技创新园A1区一层
79,江北新区星火路9号软件大厦B座一层104室,0,0,32.16876301070217,118.70363659143294,ok,True,南京市江北新区星火路9号软件大厦B座一层104室
80,秦淮区卡子门大街99号复地活力广场一层29号,5,22,31.987648213691653,118.81014660964836,ok,True,南京市秦淮区卡子门大街99号复地活力广场一层29号
81,秦淮区太平南路1号新世纪广场A幢一层大堂,33,233,32.04675101206707,118.80176209550989,ok,True,南京市秦淮区太平南路1号新世纪广场A幢一层大堂
82,秦淮区应天大街388号晨光1865创意园e1栋一层,3,34,32.013227996082605,118.79456972261369,ok,True,南京市秦淮区应天大街388号晨光1865创意园e1栋一层
83,鼓楼区中山北路281号新城市虹桥中心01栋一层01室,6,22,32.08212007865467,118.76982643632466,ok,True,南京市鼓楼区中山北路281号新城市虹桥中心01栋一层01室
84,鼓楼区山西路8号金山大厦A座六层,10,61,,,error,False,南京市鼓楼区山西路8号金山大厦A座六层
85,江宁区科建路29号有志大厦A座一层101室,8,15,31.933497683478386,118.85513374958805,ok,True,南京市江宁区科建路29号有志大厦A座一层101室
86,浦口区江北新区星火路15号智芯科技大厦一层,11,15,32.16270315454747,118.7038394288171,ok,True,南京市浦口区江北新区星火路15号智芯科技大厦一层
87,鼓楼区虎踞关18号-8河海大学一层,5,71,32.06136595084591,118.76602696333964,ok,True,南京市鼓楼区虎踞关18号-8河海大学一层
88,鼓楼区宁海路126号南京师范大学3号门一层,10,68,32.058854424636564,118.7778130011222,ok,True,鼓楼区宁海路126号南京师范大学3号门一层
89,栖霞区文澜路89号南京理工大学紫金学院五食堂一层,0,3,32.13227286342762,118.94076400368229,ok,True,栖霞区文澜路89号南京理工大学紫金学院五食堂一层
90,浦口区学府路8号南京大学金陵学院第一学生餐厅三层教工食堂,1,7,32.1804263792797,118.71550015298102,ok,True,浦口区学府路8号南京大学金陵学院第一学生餐厅三层教工食堂
91,江宁区胜利路89号紫金研发创业中心3幢4号楼一层,5,23,31.953668243275462,118.82082620453427,ok,True,南京市江宁区胜利路89号紫金研发创业中心3幢4号楼一层
92,秦淮区石鼓路107号华威大厦一层,61,234,32.04648512358135,118.78444420256632,ok,True,南京市秦淮区石鼓路107号华威大厦一层
93,栖霞区仙林大学城羊山北路1号南京工业职业技术学院五号食堂二层,0,5,32.12675700212732,118.94568599923257,ok,True,栖霞区仙林大学城羊山北路1号南京工业职业技术学院五号食堂二层
94,栖霞区学海路1号金鹰湖滨天地C馆G层,13,34,32.10886213415223,118.93337849510145,ok,True,南京市栖霞区学海路1号金鹰湖滨天地C馆G层
95,栖霞区仙林街道学津路8号高创中心一层大堂,9,39,32.103002731219775,118.9289571252119,ok,True,南京市栖霞区仙林街道学津路8号高创中心一层大堂
96,秦淮区石杨路116号1幢江苏省住建大厦一层大堂,0,4,32.01229814884172,118.87729728211353,ok,True,南京市秦淮区石杨路116号1幢江苏省住建大厦一层大堂
97,鼓楼区虎踞北路15号南京艺术学院44号楼一层可一书店,8,34,32.06917274252847,118.76193994276089,ok,True,鼓楼区虎踞北路15号南京艺术学院44号楼一层可一书店
98,雨花台区宁双路19号云密城K栋一层,3,39,31.975875979361124,118.75818224098212,ok,True,南京市雨花台区宁双路19号云密城K栋一层
99,鼓楼区大桥南路1号晶典国际大厦底商,4,16,32.092034016467814,118.75989998077829,ok,True,南京市鼓楼区大桥南路1号晶典国际大厦底商
100,栖霞区仙林大道163号南京大学仙林校区诚园5幢底商,1,8,32.12025541386233,118.96053400117644,ok,True,栖霞区仙林大道163号南京大学仙林校区诚园5幢底商
101,建邺区江东中路369号新华传媒广场1号楼一层,8,68,31.99668091023233,118.72611776478675,ok,True,南京市建邺区江东中路369号新华传媒广场1号楼一层
102,鼓楼区中山北路28号江苏商厦底商,11,112,,,error,False,南京市鼓楼区中山北路28号江苏商厦底商
103,玄武区珠江路488号未来城A座底商,18,159,32.0540124885094,118.80502860383581,ok,True,南京市玄武区珠江路488号未来城A座底商
104,秦淮区升州路熙南里街区15A栋一层,41,167,32.03120260891693,118.78796079914622,ok,True,南京市秦淮区升州路熙南里街区15A栋一层
105,建邺区汉中门大街1号金鹰特惠中心五层,4,66,32.046447554814435,118.77016204326318,ok,True,南京市建邺区汉中门大街1号金鹰特惠中心五层
106,鼓楼区华侨路26号底商,39,293,32.05275743553813,118.78817324839933,ok,True,南京市鼓楼区华侨路26号底商
107,玄武区后标营路钟山花园城博雅居会所底商,4,17,32.03569918751167,118.8531576571272,ok,True,南京市玄武区后标营路钟山花园城博雅居会所底商
108,鼓楼区广州路188号苏宁环球大厦一层大堂,26,177,32.05712801122188,118.78140397739834,ok,True,南京市鼓楼区广州路188号苏宁环球大厦一层大堂
109,栖霞区学林路1号南京师范大学仙林校区中北学院一食堂二层,0,17,32.120330719493815,118.91502988641575,ok,True,栖霞区学林路1号南京师范大学仙林校区中北学院一食堂二层
110,江宁区正方中路888号浩鲸科技综合楼一层,0,0,31.845221972447153,118.78465701114163,ok,True,南京市江宁区正方中路888号浩鲸科技综合楼一层
111,江宁区弘景大道3666号中国传媒大学南广学院三食堂一层中超华城超市,0,4,31.89171411801545,118.89763824258982,ok,True,南京市江宁区弘景大道3666号中国传媒大学南广学院三食堂一层中超华城超市
112,江宁区南京禄口国际机场T2航站楼出发大厅二层12号,8,10,31.737768181050928,118.8865813593897,ok,True,江宁区南京禄口国际机场T2航站楼出发大厅二层12号
113,鼓楼区建宁路65号金川科技园20栋一层1号,0,11,32.097338334402494,118.77286279877893,ok,True,南京市鼓楼区建宁路65号金川科技园20栋一层1号
114,玄武区北京东路36号兰园集贸市场一层A区2号,0,60,32.06232077002799,118.80912317018084,ok,True,南京市玄武区北京东路36号兰园集贸市场一层A区2号
115,秦淮区瑞金路街道蓝旗街188号紫荆大厦一层,0,13,32.03240094797317,118.83005755127702,ok,True,南京市秦淮区瑞金路街道蓝旗街188号紫荆大厦一层
116,雨花台区花神大道21号德讯科技大厦一层大堂,4,35,31.979704998044525,118.78258695592444,ok,True,南京市雨花台区花神大道21号德讯科技大厦一层大堂
117,江宁区宏运大道4597号景祥大厦B区底商,1,8,31.97236804164075,118.86505643225127,ok,True,南京市江宁区宏运大道4597号景祥大厦B区底商
118,建邺区西格玛广场新地一期一层大堂,26,77,32.00270733784716,118.7325045373016,ok,True,南京市建邺区西格玛广场新地一期一层大堂
119,鼓楼区水佑岗路6号万谷京东云智慧产业园一层大堂,0,38,32.07470902080553,118.76930200556792,ok,True,南京市鼓楼区水佑岗路6号万谷京东云智慧产业园一层大堂
120,鼓楼区中央路302号垠坤创意中央24号楼底商,10,22,32.09332890410357,118.79156462119116,ok,True,南京市鼓楼区中央路302号垠坤创意中央24号楼底商
121,江宁区竹山路68号江宁万达百货商场一层,0,0,31.95711371562584,118.84986716404416,ok,True,南京市江宁区竹山路68号江宁万达百货商场一层
122,建邺区所街171号悦府15号楼底商,14,50,32.02846601425156,118.75033302709703,ok,True,南京市建邺区所街171号悦府15号楼底商
123,玄武区花园路8号春风泊寓一层,2,13,32.085143850334795,118.83071250582434,ok,True,南京市玄武区花园路8号春风泊寓一层
124,鼓楼区中山路321号南京鼓楼医院新大楼急诊部三层CD区,14,170,32.062502996213254,118.78957855753914,ok,True,鼓楼区中山路321号南京鼓楼医院新大楼急诊部三层CD区
125,玄武区红山路88号常发广场1号楼一层,5,21,32.09209619168746,118.81632650240425,ok,True,南京市玄武区红山路88号常发广场1号楼一层
126,秦淮区永乐路111号万象都荟商业广场底商,1,17,32.00436558597765,118.80318995211799,ok,True,南京市秦淮区永乐路111号万象都荟商业广场底商
127,江宁区东山街道金源路4号绿地之窗商务广场1幢一层110室,15,35,31.974132288580908,118.79851067871651,ok,True,南京市江宁区东山街道金源路4号绿地之窗商务广场1幢一层110室
128,迈皋桥街道经五路1号弘阳家居一层2号门A1070号底商,1,7,32.12107949105984,118.84015172046209,ok,True,南京市迈皋桥街道经五路1号弘阳家居一层2号门A1070号底商
129,秦淮区太平南路450号斯亚财富中心一层大堂,9,175,32.03432197664663,118.79636354888656,ok,True,南京市秦淮区太平南路450号斯亚财富中心一层大堂
130,栖霞区兴智路6号兴智科技园B座一层大堂,1,2,32.14320291351762,118.88553366567342,ok,True,南京市栖霞区兴智路6号兴智科技园B座一层大堂
131,建邺区河西大街71号明基医院门诊楼一层大堂左侧,3,72,31.994035145362467,118.73714635136331,ok,True,南京市建邺区河西大街71号明基医院门诊楼一层大堂左侧
132,栖霞区仙林大道181号万达茂二层,7,12,32.12727080061614,118.99569269070092,ok,True,南京市栖霞区仙林大道181号万达茂二层
133,江宁区东吉大道1号13号楼一层,0,0,31.834399119751982,118.77957718331325,ok,True,南京市江宁区东吉大道1号13号楼一层
134,建邺区奥体大街68号新城科技园国际研发总部园4A一层大堂,4,47,32.00162611497191,118.74870206361312,ok,True,南京市建邺区奥体大街68号新城科技园国际研发总部园4A一层大堂
135,秦淮区中山南路2号东方福来德四层,80,269,32.04687504208386,118.78977447797087,ok,True,南京市秦淮区中山南路2号东方福来德四层
136,浦口区大桥北路48号大洋百货商场一层,10,13,32.14455401014363,118.73023802266937,ok,True,南京市浦口区大桥北路48号大洋百货商场一层
137,建邺区太清路益家生活广场一层,1,4,31.974101964559683,118.70570790427786,ok,True,南京市建邺区太清路益家生活广场一层
138,建邺区嘉陵江东街18号国家广告产业园05栋一层大堂,13,36,31.98851154987539,118.74186308410455,ok,True,南京市建邺区嘉陵江东街18号国家广告产业园05栋一层大堂
139,建邺区白龙江东街8号新城科技园综合体A区三栋一层大堂,10,31,31.98837580236526,118.74536701457676,ok,True,南京市建邺区白龙江东街8号新城科技园综合体A区三栋一层大堂
140,秦淮区正洪街18号东宇大厦一禾广场一层,63,269,32.045292709338774,118.7926893895202,ok,True,南京市秦淮区正洪街18号东宇大厦一禾广场一层
141,栖霞区文澜路99号南京信息职业技术学院第二食堂二层,0,1,,,error,False,栖霞区文澜路99号南京信息职业技术学院第二食堂二层
142,建邺区江东中路222号地铁2号线奥体东站负一层33号,16,70,32.0133359214295,118.73061306521979,ok,True,南京市建邺区江东中路222号地铁2号线奥体东站负一层33号
143,建邺区白龙江东街9号新城基金大厦一层大堂,14,29,31.986470339174502,118.74409573261904,ok,True,南京市建邺区白龙江东街9号新城基金大厦一层大堂
144,栖霞区文苑路3号南京财经大学仙林校区图书馆一层,1,26,32.1147999846995,118.93058970564573,ok,True,栖霞区文苑路3号南京财经大学仙林校区图书馆一层
145,栖霞区文苑路8号东城汇B栋一层,6,29,32.10308952126761,118.91573550539384,ok,True,南京市栖霞区文苑路8号东城汇B栋一层
146,栖霞区文苑路9号南京邮电大学仙林校区图书馆一层G01室,0,22,32.118202107101666,118.93818416008818,ok,True,栖霞区文苑路9号南京邮电大学仙林校区图书馆一层G01室
147,鼓楼区江东街道江东北路319号华彩荟南京店一层,4,34,32.06664934612214,118.74528212470607,ok,True,鼓楼区江东街道江东北路319号华彩荟南京店一层
148,葛关路625号南京科技职业学院第一食堂二层,1,11,32.240742982713336,118.75814882401714,ok,True,葛关路625号南京科技职业学院第一食堂二层
149,浦口区惠达路6号北斗大厦写字楼大堂一层,9,17,32.16809723578309,118.70524653456793,ok,True,南京市浦口区惠达路6号北斗大厦写字楼大堂一层
150,秦淮区御道街29号世纪华联购物中心一层,3,21,32.038918107714316,118.82369754826637,ok,True,南京市秦淮区御道街29号世纪华联购物中心一层
151,栖霞区和燕路348号沃尔玛超市一层,0,6,32.112965837593556,118.8186452085866,ok,True,南京市栖霞区和燕路348号沃尔玛超市一层
152,鼓楼区建宁路8号玉桥商业广场1G012-1号,6,18,32.09740631783182,118.78756213116091,ok,True,南京市鼓楼区建宁路8号玉桥商业广场1G012-1号
153,秦淮区中华路255号华泰证券一层,30,114,32.027557904832626,118.7907938750636,ok,True,南京市秦淮区中华路255号华泰证券一层
154,栖霞区晓庄中心村130号金陵科技学院第一食堂二层,0,2,,,error,False,南京市栖霞区晓庄中心村130号金陵科技学院第一食堂二层
155,玄武区中山东路145号全民健身中心一层104室,50,267,32.048084574521944,118.7973035357722,ok,True,南京市玄武区中山东路145号全民健身中心一层104室
156,浦口区宁六路217号南京信息工程大学西苑第一食堂一层,1,3,,,error,False,浦口区宁六路217号南京信息工程大学西苑第一食堂一层
157,玄武区苏宁大道9号苏宁易购广场负二层C102商铺,7,17,32.09133632039091,118.8978740477862,ok,True,南京市玄武区苏宁大道9号苏宁易购广场负二层C102商铺
158,鼓楼区中山路55号一层,62,295,32.0507029029334,118.78984912715876,ok,True,南京市鼓楼区中山路55号一层
159,栖霞区笃学路南京师范大学仙林校区西区大众书店二层,7,29,32.11107232016998,118.92144576402912,ok,True,栖霞区笃学路南京师范大学仙林校区西区大众书店二层
160,雨花台区英才路2号菁英体育中心一层大堂,2,2,31.945351238388998,118.75083212563837,ok,True,南京市雨花台区英才路2号菁英体育中心一层大堂
161,雨花台区三鸿路6号江苏国家数字出版基地一层大堂,0,0,31.937317914763256,118.64031782078169,ok,True,南京市雨花台区三鸿路6号江苏国家数字出版基地一层大堂
162,浦口区佛寺三宫48号江苏警官学院训练中心一层,0,0,32.09816208518045,118.66287112806793,ok,True,南京市浦口区佛寺三宫48号江苏警官学院训练中心一层
163,江宁区弘景大道1号工程学院生活服务中心一层,2,4,31.928509009302026,118.88784374812289,ok,True,南京市江宁区弘景大道1号工程学院生活服务中心一层
164,江宁区弘景大道99号金陵科技学院北区第一食堂二层,2,12,31.904467592401147,118.90545898019025,ok,True,南京市江宁区弘景大道99号金陵科技学院北区第一食堂二层
165,六合区大厂卸甲甸幸福路8号新办公大楼一层大堂,1,2,32.20747281175262,118.75498220726392,ok,True,南京市六合区大厂卸甲甸幸福路8号新办公大楼一层大堂
166,栖霞区马群街道马群街169号二层E1E2号,1,8,32.05198131995538,118.8944056003816,ok,True,南京市栖霞区马群街道马群街169号二层E1E2号
167,江宁区淳化街道芝行路161号一层,0,0,31.944175879859618,118.93957347938992,ok,True,南京市江宁区淳化街道芝行路161号一层
168,栖霞区科创路1号金港一期配套用房一层,2,3,32.128372999748834,118.91154203561216,ok,True,南京市栖霞区科创路1号金港一期配套用房一层
169,六合区雄州街道龙津路44号紫晶国际购物广场一层,2,7,32.345884533405695,118.84945169774579,ok,True,南京市六合区雄州街道龙津路44号紫晶国际购物广场一层
170,江宁区东南大学路2号东南大学九龙湖校区橘园餐厅一层,0,2,31.889269794719745,118.81960828192386,ok,True,南京市江宁区东南大学路2号东南大学九龙湖校区橘园餐厅一层
171,栖霞区仙林大学城仙林大道100号南京审计大学金审学院学生第四食堂一层,1,25,32.093733992419935,118.92329995643226,ok,True,栖霞区仙林大学城仙林大道100号南京审计大学金审学院学生第四食堂一层
172,浦口区宁六路219号南京信息工程大学东苑食堂三层,1,5,32.21228598545819,118.72652074463853,ok,True,浦口区宁六路219号南京信息工程大学东苑食堂三层
173,江宁区苏源大道19号九龙湖企业园C2栋一层大堂,4,6,31.918130640265733,118.8176815064355,ok,True,南京市江宁区苏源大道19号九龙湖企业园C2栋一层大堂
174,雨花台区长虹路222号德盈国际广场1幢一层,4,19,32.014899523333135,118.77175518808512,ok,True,南京市雨花台区长虹路222号德盈国际广场1幢一层
