spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,effect
event_att,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.012653912515512818,0.013439859064671319,0.3596257713712223,-0.0389960362822686,0.013688211251242968,99644,0.0003115099543076205,-4,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.004464698800662186,0.015459969637268058,0.7762332681266044,-0.03476623928970758,0.025836841688383207,99644,0.0003115099543076205,-3,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.024398952014853252,0.01184300766024582,0.05502645205801149,-0.04761124702893506,-0.0011866570007714426,99644,0.0003115099543076205,-2,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.028155131562155072,0.017270732336181458,0.12144139760976547,-0.005695503816760587,0.06200576694107073,99644,0.0003115099543076205,1,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[2]:treated",-0.008749688956870349,0.01228388563761303,0.48594700469524077,-0.032826104806591885,0.015326726892851188,99644,0.0003115099543076205,2,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[3]:treated",-0.025434123196631755,0.014786057456585245,0.10355675131935826,-0.05441479581153884,0.0035465494182753236,99644,0.0003115099543076205,3,att_or_baseline
event_att,,"C(rel_t, contr.treatment(base=-1))[4]:treated",-0.016652136952310673,0.009701312903677723,0.10423755879899765,-0.035666710243519015,0.002362436338897666,99644,0.0003115099543076205,4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-4]:treated",-0.026133723234079892,0.0200293151846766,0.20935715336333272,-0.06539118099604602,0.01312373452788624,99644,0.001480181962582816,-4,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-3]:treated",-0.02122795742560944,0.028779332705600354,0.470810322305661,-0.07763544952858613,0.03517953467736726,99644,0.001480181962582816,-3,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[-2]:treated",-0.03603561097987249,0.019022363882759283,0.07531605765691829,-0.07331944419008068,0.0012482222303357021,99644,0.001480181962582816,-2,att_or_baseline
event_binary_B,,"C(rel_t, contr.treatment(base=-1))[1]:treated",0.03596810794050137,0.027213268141953222,0.20377550939050537,-0.01736989761772694,0.08930611349872969,99644,0.001480181962582816,1,att_or_baseline
