spec,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,rel_t,path
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-4]:blocked_treated_gap",-0.04118936897430393,0.026927222429064052,0.14449638393236675,-0.09396672493526947,0.011587986986661608,43655,0.0008788165106422552,-4,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-3]:blocked_treated_gap",-0.007521869953688811,0.03168370499382759,0.8151800832783345,-0.06962193174159088,0.054578191834213266,43655,0.0008788165106422552,-3,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-2]:blocked_treated_gap",-0.01762525312260711,0.03153119865163176,0.5834658697635211,-0.07942640247980536,0.04417589623459113,43655,0.0008788165106422552,-2,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[1]:blocked_treated_gap",0.03344843751304779,0.025918675501977916,0.21414872526979267,-0.017352166470828927,0.0842490414969245,43655,0.0008788165106422552,1,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[2]:blocked_treated_gap",-0.036455031772736235,0.030711099286168525,0.2515384799500011,-0.09664878637362653,0.02373872282815407,43655,0.0008788165106422552,2,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[3]:blocked_treated_gap",-0.02390661120893811,0.024493199976798875,0.34272493724037867,-0.0719132831634639,0.02410006074558768,43655,0.0008788165106422552,3,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[4]:blocked_treated_gap",0.012108932186849197,0.03303113660755793,0.7184466516310921,-0.052632095563964344,0.07684995993766273,43655,0.0008788165106422552,4,treated_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-4]:blocked_control_gap",-0.04196031361546776,0.017556078382819914,0.02869658333999925,-0.07637022724579479,-0.007550399985140725,43655,0.0008788165106422552,-4,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-3]:blocked_control_gap",-0.017772341866110854,0.01945207846357135,0.37367877485306034,-0.055898415654710695,0.020353731922488988,43655,0.0008788165106422552,-3,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[-2]:blocked_control_gap",-0.008330072056950527,0.016630200753445998,0.6228646713348076,-0.04092526553370469,0.02426512141980363,43655,0.0008788165106422552,-2,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[1]:blocked_control_gap",-0.0028360145791439537,0.014979888436074507,0.8520828244832066,-0.03219659591384999,0.02652456675556208,43655,0.0008788165106422552,1,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[2]:blocked_control_gap",0.000512831455485183,0.01997009549703452,0.9798116408758695,-0.03862855571870248,0.03965421862967285,43655,0.0008788165106422552,2,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[3]:blocked_control_gap",0.018057886685570474,0.015879094949604374,0.27122567042092993,-0.013065139415654098,0.049180912786795046,43655,0.0008788165106422552,3,control_blocked_minus_nonblocked
event_blocked_gap,,"C(rel_t, contr.treatment(base=-1))[4]:blocked_control_gap",0.014664954058866307,0.021256032524659307,0.4995555698846239,-0.02699686968946593,0.056326777807198546,43655,0.0008788165106422552,4,control_blocked_minus_nonblocked
