group,rel_t,mean,std
control,-4,0.6085759781619655,0.4289630455966693
control,-3,0.5611111111111111,0.4176214327423142
control,-2,0.5384615384615384,0.4414604908750545
control,-1,0.4402230432402846,0.4286995130935234
control,0,0.12168458781362007,0.29864982876961
control,1,0.4715447154471545,0.4425343662743794
control,2,0.5108,0.431479990357436
control,3,0.5247420634920634,0.4205889583877065
control,4,0.5793586269196025,0.4224303965791991
treatment,-4,0.5168627450980392,0.43105244361948214
treatment,-3,0.43957115009746583,0.39253833896338475
treatment,-2,0.6350732600732601,0.4040711354080009
treatment,-1,0.44886363636363635,0.4069026420423073
treatment,0,0.02666666666666667,0.16219218941214864
treatment,1,0.4512987012987013,0.5163358552980335
treatment,2,0.5833333333333333,0.47479190223438983
treatment,3,0.5902777777777778,0.4542981229454779
treatment,4,0.7407407407407407,0.43390275977259196
