spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,2160,0.054068138962809265,-0.007342016957401457,0.004355539474502314,0.09243748665262075,binary
binary_collapsed,post_X_disp,2160,0.054068138962809265,-0.043720654821187296,0.008503127537278957,3.8154642045817866e-07,binary
binary_collapsed,post_X_treated_X_disp,2160,0.054068138962809265,-0.07652021541968271,0.0721406815067925,0.2892975700429594,binary
score_collapsed,post_X_treated,2160,0.07254320105983325,-0.04323608807385329,0.024711173795503968,0.0807465287580591,score
score_collapsed,post_X_score,2160,0.07254320105983325,-0.06112640294396871,0.011180085966752186,6.993585754955234e-08,score
score_collapsed,post_X_treated_X_score,2160,0.07254320105983325,-0.15438013181530835,0.10333357425740652,0.13576135603144102,score
event_att,"C(rel_t, contr.treatment(base=-1))[-2]:treated",2160,0.001985279302705645,-0.0011248966087675008,0.007926974668953077,0.8872061497633639,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",2160,0.001985279302705645,-0.01445822994210091,0.007322376088008175,0.04883183839204719,event_study
event_att,"C(rel_t, contr.treatment(base=-1))[2]:treated",2160,0.001985279302705645,-0.01121588089330013,0.014613699061495181,0.4431257756292879,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated",2160,0.08325679991585033,0.004226542688081103,0.005752855936632371,0.46285025852003314,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",2160,0.08325679991585033,-0.008677220215681831,0.005233463076990245,0.09789394789352501,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated",2160,0.08325679991585033,-0.0017802710110402871,0.006263916766571452,0.7763582066003591,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_disp",2160,0.08325679991585033,-0.0016878272780779574,0.044404785322534064,0.9696937575103957,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",2160,0.08325679991585033,-0.05512916042238119,0.041142301984748296,0.18082200074642607,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_disp",2160,0.08325679991585033,-0.09959909769506002,0.10524174461884973,0.3443768575010768,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[-2]:disp_binary",2160,0.08325679991585033,0.05296987856012945,0.01331450847798083,7.88789432053516e-05,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",2160,0.08325679991585033,-0.00858490329168212,0.011653278373575299,0.46162881908351894,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[2]:disp_binary",2160,0.08325679991585033,-0.025886527790564787,0.011573842932148947,0.025718050595536557,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated",2160,0.09873758712501257,0.009039605889663587,0.015322024015380737,0.5554548789274896,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",2160,0.09873758712501257,-0.03261898504642062,0.014951624738404433,0.029567757634839875,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated",2160,0.09873758712501257,-0.04481358521162301,0.03915220076777708,0.252883157658887,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:treated_X_score",2160,0.09873758712501257,0.027075902296875457,0.057386843224165006,0.6372506645614089,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",2160,0.09873758712501257,-0.10002877113486722,0.060816408051269435,0.10060107929962991,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:treated_X_score",2160,0.09873758712501257,-0.18165559019887673,0.16550831670675378,0.27288599638896605,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[-2]:displacement_prob_centered",2160,0.09873758712501257,0.06172682778664207,0.019321372694641705,0.0014814106109108938,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:displacement_prob_centered",2160,0.09873758712501257,-0.01913216894065786,0.016730573855345716,0.25331988937743666,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[2]:displacement_prob_centered",2160,0.09873758712501257,-0.04139380916063728,0.015804478603355723,0.009063935449315386,event_study
