group,rel_t,mean,std
control,-4,0.40708945847468275,0.4333448762677658
control,-3,0.41397465806687705,0.4273031741567361
control,-2,0.36876730343300107,0.42542001364240056
control,-1,0.3600077881619938,0.42767780768935487
control,0,0.07986493900882968,0.25008303205271
control,1,0.4003628960878031,0.4357120707619553
control,2,0.2999880293997941,0.39831608238635896
control,3,0.3635698198198198,0.43065314168365404
control,4,0.5743946731234867,0.4245211018213253
treatment,-4,0.46877807726864335,0.42342270760045025
treatment,-3,0.5196777296777297,0.42268835571350527
treatment,-2,0.37368347338935576,0.42952199315034006
treatment,-1,0.2970430107526882,0.39133981471192647
treatment,0,0.01694915254237288,0.12586211008400588
treatment,1,0.39502164502164505,0.4213340770648497
treatment,2,0.3034090909090909,0.3935829978943042
treatment,3,0.357832665776591,0.4143959444478751
treatment,4,0.4612847222222222,0.4302716545590598
