group,rel_t,mean,std
control,-4,0.42310356858054227,0.43408110632249103
control,-3,0.4328699646184309,0.4309007418603506
control,-2,0.4490523338048091,0.43262507938094924
control,-1,0.3926957269271757,0.41911195639627746
control,0,0.09255454632833526,0.2636783254623695
control,1,0.488914353620236,0.42182787520691734
control,2,0.5239689820882482,0.4319432385069316
control,3,0.4158996864190347,0.4358903554353177
control,4,0.4178491185620463,0.4376157115234478
treatment,-4,0.4088050314465409,0.420409065683069
treatment,-3,0.4558836996336997,0.42760305100949875
treatment,-2,0.42191811303960836,0.43382557696887686
treatment,-1,0.40593033509700177,0.4129574868690662
treatment,0,0.019694810592566205,0.12387769251835326
treatment,1,0.47282913165266105,0.40607759001032534
treatment,2,0.5258049886621315,0.4366000029765854
treatment,3,0.42471428571428566,0.4197224959312797
treatment,4,0.497008547008547,0.43278931027818834
