treated,disp_binary,phase,purchasing_windows,share_preceded_by_new_product_push,mean_new_product_pushes_before_purchase
0,0,post,18927,0.08078406509219634,0.1039784434934221
0,0,pre,20476,0.08483102168392265,0.11559874975581168
0,1,post,20057,0.03599740738894152,0.04975818916089146
0,1,pre,26503,0.03392068822397464,0.04863600347130514
1,0,post,4435,0.09109357384441939,0.11476888387824126
1,0,pre,4505,0.0876803551609323,0.12297447280799112
1,1,post,4807,0.050967339296858746,0.07322654462242563
1,1,pre,6144,0.043619791666666664,0.06396484375
