disp_binary,phase,new_campaigns_per_day,new_records_per_day,any_new_push,new_push_days_per_day,campaigns_per_day,new_campaign_share,n_new_strictly_before_first_purchase,any_new_strictly_before_first_purchase
0,during,0.03069310187424244,0.03069310187424244,0.25780519723312767,0.03069310187424244,0.21083652484870774,0.11394729685343404,0.005795475789867265,0.003925967470555244
0,post,0.02502336914534987,0.02502336914534987,0.2410730977752851,0.02502336914534987,0.1934757883736838,0.11386344661126103,0.023789493363245467,0.01888203402505141
0,pre,0.024745972032030408,0.024745972032030408,0.2220975883342681,0.02473406504452051,0.160609341861738,0.11117108851805883,0.02593942793045429,0.018508132361189006
1,during,0.011489076745302315,0.011489076745302315,0.1386575208231259,0.011489076745302315,0.10533181091852566,0.09433494294890599,0.008329250367466928,0.005389514943655071
1,post,0.01134697406930212,0.01134697406930212,0.12604115629593338,0.01134697406930212,0.11781029861314864,0.07488028521361538,0.04348358647721705,0.030132288094071532
1,pre,0.00578571483840485,0.00578571483840485,0.07373836354728075,0.00578571483840485,0.04271819272193199,0.10064631630052191,0.04838314551690348,0.03294953454189123
