comparison,treated,low_pre,low_after,low_change,high_pre,high_after,high_change,high_minus_low_change,raw_ddd
during_vs_pre,0,0.0248143643823548,0.0309465281644669,0.0061321637821121,0.0049648033092177,0.0071942292066902,0.0022294258974724993,-0.003902737884639601,0.0036589699493251
during_vs_pre,1,0.0247459720320304,0.0306931018742424,0.0059471298422120004,0.0057857148384048,0.0114890767453023,0.0057033619068974995,-0.00024376793531450097,0.0036589699493251
post_vs_pre,0,0.0248143643823548,0.024430310539968,-0.000384053842386798,0.0049648033092177,0.0086132144773816,0.0036484111681639,0.004032465010550698,0.0012513971070272035
post_vs_pre,1,0.0247459720320304,0.0250233691453498,0.0002773971133193977,0.0057857148384048,0.0113469740693021,0.005561259230897299,0.005283862117577902,0.0012513971070272035
