split_label,group,n_episodes,mean,sd,median,p25,p75,min,max
median,baseline,13705,0.09660996132952898,0.10732831361416877,0.058823529411764705,0.028846153846153848,0.11764705882352941,0.008620689655172414,1.0
median,high,12189,0.05373802627491392,0.05628222882135407,0.03571428571428571,0.019230769230769232,0.06818181818181818,0.008620689655172414,0.8571428571428572
