spec,term,coef,se,pvalue,n,r2_within,rel_t,path,ci_low,ci_high
event_blocked_gap,rel_t::-4:blocked_treated_gap,-0.05140582413573831,0.02728488635959932,0.059588334267894005,42486,0.0010083919876285874,-4,treated_blocked_minus_nonblocked,-0.10488420140055298,0.0020725531290763516
event_blocked_gap,rel_t::-3:blocked_treated_gap,-0.007932772141181202,0.026921819367567646,0.7682600171955358,42486,0.0010083919876285874,-3,treated_blocked_minus_nonblocked,-0.06069953810161379,0.044833993819251385
event_blocked_gap,rel_t::-2:blocked_treated_gap,-0.04397746199030383,0.02506920130757945,0.07941937457583403,42486,0.0010083919876285874,-2,treated_blocked_minus_nonblocked,-0.09311309655315955,0.005158172572551897
event_blocked_gap,rel_t::1:blocked_treated_gap,0.028938407537457307,0.027244885857769862,0.28818888497947026,42486,0.0010083919876285874,1,treated_blocked_minus_nonblocked,-0.024461568743771624,0.08233838381868624
event_blocked_gap,rel_t::2:blocked_treated_gap,-0.04317943310356926,0.02873792812655953,0.13299315577314075,42486,0.0010083919876285874,2,treated_blocked_minus_nonblocked,-0.09950577223162593,0.013146906024487419
event_blocked_gap,rel_t::3:blocked_treated_gap,-0.0383954873933422,0.0276278423080662,0.16463891897332017,42486,0.0010083919876285874,3,treated_blocked_minus_nonblocked,-0.09254605831715196,0.015755083530467555
event_blocked_gap,rel_t::4:blocked_treated_gap,-0.02565080417100905,0.02808548965019105,0.3611005512244132,42486,0.0010083919876285874,4,treated_blocked_minus_nonblocked,-0.0806983638853835,0.0293967555433654
event_blocked_gap,rel_t::-4:blocked_control_gap,-0.04534428353943428,0.016650817484033183,0.0064755233869489,42486,0.0010083919876285874,-4,control_blocked_minus_nonblocked,-0.07797988580813932,-0.012708681270729244
event_blocked_gap,rel_t::-3:blocked_control_gap,-0.012184019098576531,0.016513475484070367,0.46063932682511277,42486,0.0010083919876285874,-3,control_blocked_minus_nonblocked,-0.04455043104735445,0.020182392850201382
event_blocked_gap,rel_t::-2:blocked_control_gap,-0.013797259067868033,0.01619053772788209,0.39413424846872447,42486,0.0010083919876285874,-2,control_blocked_minus_nonblocked,-0.04553071301451693,0.01793619487878086
event_blocked_gap,rel_t::1:blocked_control_gap,0.0008514004984012991,0.01788092164810242,0.9620240037521444,42486,0.0010083919876285874,1,control_blocked_minus_nonblocked,-0.03419520593187944,0.035898006928682044
event_blocked_gap,rel_t::2:blocked_control_gap,0.003905053951016926,0.017843068229146802,0.8267670357954573,42486,0.0010083919876285874,2,control_blocked_minus_nonblocked,-0.031067359778110804,0.038877467680144655
event_blocked_gap,rel_t::3:blocked_control_gap,0.01945898789575479,0.01834613635029616,0.28887052178621886,42486,0.0010083919876285874,3,control_blocked_minus_nonblocked,-0.016499439350825682,0.055417415142335266
event_blocked_gap,rel_t::4:blocked_control_gap,0.00588227853953939,0.018488778741778636,0.7503747411874302,42486,0.0010083919876285874,4,control_blocked_minus_nonblocked,-0.030355727794346733,0.04212028487342551
