group,rel_t,mean,std
control,-4,0.530141442285992,0.43229592832252073
control,-3,0.45816977064049663,0.43570750437501055
control,-2,0.4692365835222978,0.4226200401047904
control,-1,0.3946385123392423,0.4204186338566228
control,0,0.08708278633090663,0.26062656429058356
control,1,0.3698019801980198,0.4303495905389104
control,2,0.4108723336517033,0.41661589383563674
control,3,0.43820164937483375,0.4191297515237978
control,4,0.558286951144094,0.4317347381664146
treatment,-4,0.5526413690476191,0.43354385694166264
treatment,-3,0.43672316384180787,0.4354242744440068
treatment,-2,0.4212962962962963,0.4467828540319947
treatment,-1,0.471875,0.4624056392662455
treatment,0,0.03278688524590164,0.17443888419925951
treatment,1,0.47626811594202895,0.45151511112902093
treatment,2,0.4886731391585761,0.44801190941944985
treatment,3,0.5240896358543418,0.45104867074971283
treatment,4,0.5441995947315096,0.4429261736043319
