event_fe_id,rel_t_history,product_window_choices,new_product_window_choices,window_novelty
526|39|2021-07-25,-7,2,0,0.0
526|39|2021-07-25,-2,1,0,0.0
526|39|2021-07-25,-1,3,1,0.3333333333333333
538|19|2021-07-15,-12,1,0,0.0
538|19|2021-07-15,-11,1,0,0.0
538|19|2021-07-15,-10,1,0,0.0
538|19|2021-07-15,-8,1,0,0.0
538|19|2021-07-15,-4,2,0,0.0
538|19|2021-07-15,-2,1,0,0.0
574|19|2021-07-15,-12,3,1,0.3333333333333333
574|19|2021-07-15,-9,5,4,0.8
574|19|2021-07-15,-8,1,0,0.0
574|19|2021-07-15,-6,1,0,0.0
574|19|2021-07-15,-5,3,2,0.6666666666666666
574|19|2021-07-15,-2,1,0,0.0
574|19|2021-07-15,-1,2,0,0.0
605|133|2021-07-28,-8,1,1,1.0
634|133|2021-07-28,-12,2,2,1.0
634|133|2021-07-28,-11,1,1,1.0
634|133|2021-07-28,-7,3,2,0.6666666666666666
686|39|2021-07-25,-12,1,1,1.0
686|39|2021-07-25,-11,1,1,1.0
686|39|2021-07-25,-10,1,0,0.0
686|39|2021-07-25,-9,2,1,0.5
686|39|2021-07-25,-8,2,1,0.5
686|39|2021-07-25,-4,1,1,1.0
687|39|2021-07-25,-7,2,2,1.0
720|19|2021-07-15,-9,1,1,1.0
720|19|2021-07-15,-7,1,1,1.0
720|19|2021-07-15,-6,1,0,0.0
720|19|2021-07-15,-5,1,0,0.0
720|19|2021-07-15,-4,1,0,0.0
727|182|2021-08-03,-12,2,1,0.5
727|182|2021-08-03,-11,1,0,0.0
727|182|2021-08-03,-10,3,2,0.6666666666666666
727|182|2021-08-03,-9,3,2,0.6666666666666666
727|182|2021-08-03,-8,1,0,0.0
727|182|2021-08-03,-7,4,3,0.75
727|182|2021-08-03,-6,4,3,0.75
727|182|2021-08-03,-3,2,1,0.5
727|182|2021-08-03,-2,2,0,0.0
727|182|2021-08-03,-1,2,1,0.5
739|124|2021-07-22,-10,2,2,1.0
739|124|2021-07-22,-9,1,0,0.0
739|124|2021-07-22,-8,3,3,1.0
739|124|2021-07-22,-7,1,0,0.0
776|121|2021-08-03,-10,3,3,1.0
776|121|2021-08-03,-9,2,0,0.0
776|121|2021-08-03,-8,1,0,0.0
776|121|2021-08-03,-3,1,1,1.0
776|121|2021-08-03,-2,2,1,0.5
776|121|2021-08-03,-1,1,1,1.0
795|3|2021-08-09,-2,1,1,1.0
809|59|2021-08-03,-9,1,1,1.0
809|59|2021-08-03,-4,1,1,1.0
809|59|2021-08-03,-2,1,1,1.0
