spec,term,n,r2_within,coef,se,pvalue,group
binary_collapsed,post_X_treated,3378,0.007421135856469974,0.00402264355610171,0.003315557071552817,0.22519893428213011,binary
binary_collapsed,post_X_disp,3378,0.007421135856469974,-0.014066180670323666,0.005937461743959969,0.017945530563780787,binary
binary_collapsed,post_X_treated_X_disp,3378,0.007421135856469974,0.0013755993081122227,0.008149152673918964,0.8659720263455775,binary
score_collapsed,post_X_treated,3378,0.01569503628716673,0.0044638898946984,0.0030377080430839826,0.14188553571082196,score
score_collapsed,post_X_score,3378,0.01569503628716673,-0.029326304725914673,0.009436734557258375,0.0019170923808125018,score
score_collapsed,post_X_treated_X_score,3378,0.01569503628716673,0.004648792271341349,0.012661564413639755,0.7135473298793482,score
event_att,"C(rel_t, contr.treatment(base=-1))[1]:treated",3378,0.0006130125857610746,0.004085979870161701,0.003923288934158009,0.29780753762697554,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated",3378,0.007421135856469974,0.004022643556101731,0.0033155570715528173,0.2251989342821279,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_disp",3378,0.007421135856469974,0.0013755993081121757,0.008149152673918967,0.8659720263455823,event_study
event_binary_B,"C(rel_t, contr.treatment(base=-1))[1]:disp_binary",3378,0.007421135856469974,-0.014066180670323638,0.00593746174395997,0.01794553056378101,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated",3378,0.015695036287166952,0.0044638898946984225,0.0030377080430839813,0.14188553571081952,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:treated_X_score",3378,0.015695036287166952,0.004648792271341215,0.012661564413639746,0.713547329879356,event_study
event_score_C,"C(rel_t, contr.treatment(base=-1))[1]:displacement_prob_centered",3378,0.015695036287166952,-0.02932630472591461,0.009436734557258374,0.0019170923808127238,event_study
