member_id,dept_id,closure_start,closure_end,closure_duration_days,group,treated,displacement_prob,disp_binary,closure_event_id,period_start,calendar_month,rel_t,post,n_purchases,event_fe_id,displacement_prob_centered,closure_length_std
11516,238,2021-07-24,2021-08-21,29,control,0,0.7823707,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.06896551724137931,11516|238|2021-07-24,0.4682523021182813,1.9877863437271066
11634,238,2021-07-24,2021-08-21,29,control,0,0.10574263,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,11634|238|2021-07-24,-0.2083757678817187,1.9877863437271066
11876,238,2021-07-24,2021-08-21,29,control,0,0.50399154,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.034482758620689655,11876|238|2021-07-24,0.18987314211828132,1.9877863437271066
13440,238,2021-07-24,2021-08-21,29,control,0,0.505999,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,13440|238|2021-07-24,0.19188060211828128,1.9877863437271066
13748,238,2021-07-24,2021-08-21,29,treatment,1,0.7741637,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.06896551724137931,13748|238|2021-07-24,0.4600453021182813,1.9877863437271066
14058,238,2021-07-24,2021-08-21,29,treatment,1,0.03616934,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,14058|238|2021-07-24,-0.2779490578817187,1.9877863437271066
14073,238,2021-07-24,2021-08-21,29,control,0,0.0038895167,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,14073|238|2021-07-24,-0.3102288811817187,1.9877863437271066
14840,238,2021-07-24,2021-08-21,29,control,0,0.03097485,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,14840|238|2021-07-24,-0.2831435478817187,1.9877863437271066
15488,238,2021-07-24,2021-08-21,29,control,0,0.1547023,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,15488|238|2021-07-24,-0.1594160978817187,1.9877863437271066
16172,238,2021-07-24,2021-08-21,29,treatment,1,0.935787,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.2413793103448276,16172|238|2021-07-24,0.6216686021182813,1.9877863437271066
16536,238,2021-07-24,2021-08-21,29,treatment,1,0.832405,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,16536|238|2021-07-24,0.5182866021182813,1.9877863437271066
16777,238,2021-07-24,2021-08-21,29,control,0,0.2837366,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,16777|238|2021-07-24,-0.030381797881718686,1.9877863437271066
17333,238,2021-07-24,2021-08-21,29,control,0,0.7844263,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,17333|238|2021-07-24,0.47030790211828133,1.9877863437271066
17628,238,2021-07-24,2021-08-21,29,treatment,1,0.7148031,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,17628|238|2021-07-24,0.40068470211828133,1.9877863437271066
18511,238,2021-07-24,2021-08-21,29,control,0,0.15509205,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,18511|238|2021-07-24,-0.15902634788171868,1.9877863437271066
18669,238,2021-07-24,2021-08-21,29,control,0,0.96461374,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.034482758620689655,18669|238|2021-07-24,0.6504953421182813,1.9877863437271066
18764,238,2021-07-24,2021-08-21,29,treatment,1,0.84462273,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,18764|238|2021-07-24,0.5305043321182813,1.9877863437271066
19276,238,2021-07-24,2021-08-21,29,control,0,0.8387178,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.034482758620689655,19276|238|2021-07-24,0.5245994021182813,1.9877863437271066
21670,238,2021-07-24,2021-08-21,29,control,0,0.99338984,1,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.3103448275862069,21670|238|2021-07-24,0.6792714421182813,1.9877863437271066
22233,238,2021-07-24,2021-08-21,29,treatment,1,0.105737194,0,dept_238_closure_2021-07-24,2021-06-25,2021-06,-1,0,0.0,22233|238|2021-07-24,-0.20838120388171869,1.9877863437271066
