omitted_closure_event_id,estimand,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df,observations,closure_clusters
dept_121_closure_2021-08-03,ddd_at_full_sample_mean,-0.029146845363538298,0.013410708921776827,-2.173400789887291,0.045110005984029554,-0.05757627827312349,-0.0007174124539531083,16.0,94395,17
dept_121_closure_2021-08-03,density_gradient_per_sd,0.004735521528468074,0.03312502783099586,0.14295902037060138,0.8881074198798198,-0.06548640050730353,0.07495744356423967,16.0,94395,17
dept_121_closure_2021-08-03,fitted_ddd_count_2,-0.03183402323977798,0.028033717212326004,-1.1355619734146793,0.2728645547999732,-0.09126284891505115,0.02759480243549519,16.0,94395,17
dept_121_closure_2021-08-03,fitted_ddd_count_13,-0.028164051597086907,0.011605136189240759,-2.4268609293183556,0.027411677519294447,-0.05276584130283993,-0.0035622618913338892,16.0,94395,17
dept_124_closure_2021-07-22,ddd_at_full_sample_mean,-0.022629429777148262,0.01565613360947404,-1.4454034656075272,0.16764640565969643,-0.05581895038118446,0.010560090826887934,16.0,88823,17
dept_124_closure_2021-07-22,density_gradient_per_sd,0.053422670581693005,0.041960730428757434,1.273158737605774,0.22114960631280564,-0.03553010421341421,0.14237544537680022,16.0,88823,17
dept_124_closure_2021-07-22,fitted_ddd_count_2,-0.05294419397234048,0.03209731570300885,-1.649489772360541,0.11853873658615752,-0.1209874636219187,0.015099075677237749,16.0,88823,17
dept_124_closure_2021-07-22,fitted_ddd_count_13,-0.011542273416598749,0.01552920866556613,-0.7432621755023578,0.46809719354821766,-0.04446272515944123,0.021378178326243738,16.0,88823,17
dept_131_closure_2021-08-29,ddd_at_full_sample_mean,-0.03387652479516165,0.01524903983008639,-2.221551335207558,0.0410899489714862,-0.06620304513899405,-0.0015500044513292455,16.0,95015,17
dept_131_closure_2021-08-29,density_gradient_per_sd,0.029159433164400287,0.04055455678721385,0.7190174292224975,0.4825002020411766,-0.05681238667637378,0.11513125300517435,16.0,95015,17
dept_131_closure_2021-08-29,fitted_ddd_count_2,-0.05042308322848677,0.03389314561140778,-1.4877073909455998,0.1562704966928418,-0.12227334221737948,0.021427175760405932,16.0,95015,17
dept_131_closure_2021-08-29,fitted_ddd_count_13,-0.027824876845733107,0.01272670663331653,-2.186337569288501,0.04399562523464354,-0.05480428967933201,-0.0008454640121342005,16.0,95015,17
dept_133_closure_2021-07-28,ddd_at_full_sample_mean,-0.03905149959426424,0.01431545973421324,-2.727924937047819,0.014894358455062373,-0.0693989185456079,-0.008704080642920584,16.0,92705,17
dept_133_closure_2021-07-28,density_gradient_per_sd,0.04836201874802781,0.03739430280507856,1.293299115646561,0.21426915870299357,-0.03091036192913335,0.12763439942518898,16.0,92705,17
dept_133_closure_2021-07-28,fitted_ddd_count_2,-0.06649459029689056,0.029835121122165735,-2.2287353895637114,0.040519438073484904,-0.12974222166667043,-0.003246958927110702,16.0,92705,17
dept_133_closure_2021-07-28,fitted_ddd_count_13,-0.0290146134196716,0.01338790378477673,-2.1672260188084014,0.04565103925033324,-0.05739570159848082,-0.0006335252408623815,16.0,92705,17
dept_182_closure_2021-08-03,ddd_at_full_sample_mean,-0.02956724476466075,0.013990568116383955,-2.113369844505127,0.050629685701988274,-0.05922592425369562,9.143472437411759e-05,16.0,95998,17
dept_182_closure_2021-08-03,density_gradient_per_sd,0.01743948429103415,0.03830676015555418,0.4552586598348897,0.6550401330132825,-0.06376721955871345,0.09864618814078174,16.0,95998,17
dept_182_closure_2021-08-03,fitted_ddd_count_2,-0.03946330290275066,0.030928261082564693,-1.2759625508010684,0.2201814760799173,-0.10502828746737052,0.0261016816618692,16.0,95998,17
dept_182_closure_2021-08-03,fitted_ddd_count_13,-0.025947914486396797,0.012389218698904358,-2.094394740863805,0.05249934845779136,-0.05221188485941219,0.00031605588661859363,16.0,95998,17
dept_19_closure_2021-07-15,ddd_at_full_sample_mean,-0.03173784073504713,0.01534978858501336,-2.067640251803475,0.05524297704303742,-0.06427793889833913,0.0008022574282448777,16.0,93168,17
dept_19_closure_2021-07-15,density_gradient_per_sd,0.02613052073953085,0.040826033590913295,0.6400455405823885,0.5312022931723218,-0.060416804216021254,0.11267784569508296,16.0,93168,17
dept_19_closure_2021-07-15,fitted_ddd_count_2,-0.0465656388569162,0.03377279369277111,-1.3787914402498285,0.18693166126357177,-0.11816076317571961,0.025029485461887213,16.0,93168,17
dept_19_closure_2021-07-15,fitted_ddd_count_13,-0.026314802798769944,0.013141962290411468,-2.0023495896019683,0.06249555702074605,-0.05417451830037591,0.0015449127028360245,16.0,93168,17
dept_220_closure_2021-08-03,ddd_at_full_sample_mean,-0.03848662489745007,0.014350868419640034,-2.6818324697882945,0.016369486422218246,-0.06890910690866844,-0.008064142886231702,16.0,96600,17
dept_220_closure_2021-08-03,density_gradient_per_sd,0.03310619526383395,0.03952859267599963,0.8375252702567088,0.41463328313985537,-0.05069067782076652,0.11690306834843442,16.0,96600,17
dept_220_closure_2021-08-03,fitted_ddd_count_2,-0.05727277863883629,0.032794229301901255,-1.7464285594757334,0.0999028245670012,-0.12679343911980573,0.012247881842133136,16.0,96600,17
dept_220_closure_2021-08-03,fitted_ddd_count_13,-0.031615879586585856,0.011800317562016159,-2.6792397255776974,0.016456509537847924,-0.05663143531879468,-0.006600323854377036,16.0,96600,17
dept_238_closure_2021-07-24,ddd_at_full_sample_mean,-0.03637133779447343,0.015371599900641693,-2.3661387252835726,0.03093120391990955,-0.06895767388134892,-0.0037850017075979348,16.0,93674,17
dept_238_closure_2021-07-24,density_gradient_per_sd,0.02620852852069146,0.03778640115429173,0.6935968422521955,0.4978816866066966,-0.053895063524782516,0.10631212056616543,16.0,93674,17
dept_238_closure_2021-07-24,fitted_ddd_count_2,-0.05124340153364551,0.03217967061086284,-1.5924153529510447,0.1308527321470807,-0.11946125578880028,0.016974452721509256,16.0,93674,17
dept_238_closure_2021-07-24,fitted_ddd_count_13,-0.030932110392981382,0.013176547685434201,-2.3475124995885515,0.032093263159128894,-0.058865143656771694,-0.0029990771291910703,16.0,93674,17
dept_246_closure_2021-07-27,ddd_at_full_sample_mean,-0.03205890897075885,0.014336452315907303,-2.236181466957989,0.03993588379175158,-0.06245083020728008,-0.0016669877342376203,16.0,98567,17
dept_246_closure_2021-07-27,density_gradient_per_sd,0.02727967831551705,0.038974805428383406,0.6999310969144857,0.4940223729996275,-0.05534321824822077,0.10990257487925487,16.0,98567,17
dept_246_closure_2021-07-27,fitted_ddd_count_2,-0.04753879805999858,0.031729524491119425,-1.498251197344729,0.15353713702821073,-0.11480238517048551,0.019724789050488342,16.0,98567,17
dept_246_closure_2021-07-27,fitted_ddd_count_13,-0.026397378844010094,0.012522614547783367,-2.1079766324583313,0.05115478600653816,-0.05294413578395818,0.00014937809593799228,16.0,98567,17
dept_39_closure_2021-07-25,ddd_at_full_sample_mean,-0.03211827731550658,0.015100618255915198,-2.126951146713827,0.049329196367179015,-0.06413015797773475,-0.00010639665327840525,16.0,90246,17
dept_39_closure_2021-07-25,density_gradient_per_sd,0.028409265266676826,0.03994676664456134,0.7111780915701391,0.48721325250162206,-0.056274097029873904,0.11309262756322755,16.0,90246,17
dept_39_closure_2021-07-25,fitted_ddd_count_2,-0.04823915199549866,0.03281260385090392,-1.4701409316581795,0.1609141132735951,-0.11779876478026963,0.02132046078927232,16.0,90246,17
dept_39_closure_2021-07-25,fitted_ddd_count_13,-0.026222316618103488,0.01320261753968544,-1.986145288181108,0.06442445167881551,-0.05421061550407092,0.0017659822678639456,16.0,90246,17
dept_3_closure_2021-08-09,ddd_at_full_sample_mean,-0.04280572693179041,0.013677624057906089,-3.129617157963,0.00646582031608292,-0.07180099465289833,-0.013810459210682503,16.0,96203,17
dept_3_closure_2021-08-09,density_gradient_per_sd,0.04971544847274634,0.041995760524786034,1.1838206488344012,0.25377408947582575,-0.03931158680856413,0.1387424837540568,16.0,96203,17
dept_3_closure_2021-08-09,fitted_ddd_count_2,-0.07101682309937876,0.03272064063194685,-2.1703983090734895,0.045372339919906635,-0.14038148256894922,-0.001652163629808301,16.0,96203,17
dept_3_closure_2021-08-09,fitted_ddd_count_13,-0.0324879546311846,0.012148637984190896,-2.674205509577402,0.01662674977782835,-0.058241916672188546,-0.006733992590180652,16.0,96203,17
dept_44_closure_2021-07-24,ddd_at_full_sample_mean,-0.03262930695061904,0.015292040810306487,-2.133744433158171,0.048690274547102834,-0.06504698530029172,-0.0002116286009463536,16.0,95935,17
dept_44_closure_2021-07-24,density_gradient_per_sd,0.03064803912547139,0.03944950580278912,0.7768928533270635,0.4485561986022497,-0.05298117727751131,0.11427725552845408,16.0,95935,17
dept_44_closure_2021-07-24,fitted_ddd_count_2,-0.050020576780773734,0.03307237920254913,-1.5124577664771781,0.14991733922101586,-0.1201308887101044,0.020089735148556928,16.0,95935,17
dept_44_closure_2021-07-24,fitted_ddd_count_13,-0.02626871886641376,0.01302478711350301,-2.016825199329404,0.06081682672270547,-0.05388003408955433,0.0013425963567268093,16.0,95935,17
dept_46_closure_2021-08-04,ddd_at_full_sample_mean,-0.036011865048207414,0.014005257493948854,-2.5713104570741945,0.02049978367711384,-0.06570168462658438,-0.006322045469830458,16.0,92713,17
dept_46_closure_2021-08-04,density_gradient_per_sd,0.020013993887610618,0.03802151529621015,0.5263860141209453,0.6058408218987783,-0.06058801787323802,0.10061600564845925,16.0,92713,17
dept_46_closure_2021-08-04,fitted_ddd_count_2,-0.047368832019357786,0.032000532012138753,-1.480251390864045,0.15822768961198647,-0.11520692940978233,0.020469265371066768,16.0,92713,17
dept_46_closure_2021-08-04,fitted_ddd_count_13,-0.031858229948822064,0.011219358691453836,-2.8395767374020724,0.011833408731782402,-0.05564220789269636,-0.008074252004947768,16.0,92713,17
dept_47_closure_2021-07-30,ddd_at_full_sample_mean,-0.03018191726346214,0.014684276599657953,-2.0553901350622326,0.05654237158964022,-0.061311193042304125,0.0009473585153798453,16.0,92613,17
dept_47_closure_2021-07-30,density_gradient_per_sd,0.02508552311389702,0.0397460311881519,0.6311453587691768,0.5368582714028027,-0.059172299024869784,0.10934334525266381,16.0,92613,17
dept_47_closure_2021-07-30,fitted_ddd_count_2,-0.044416730117827916,0.03181755430928569,-1.3959819062794923,0.18179002827237362,-0.11186693210633497,0.02303347187067914,16.0,92613,17
dept_47_closure_2021-07-30,fitted_ddd_count_13,-0.024975754521660454,0.013353672270053327,-1.8703285520695734,0.07984632708434974,-0.05328427513100717,0.0033327660876862654,16.0,92613,17
dept_59_closure_2021-08-03,ddd_at_full_sample_mean,-0.03019502458463028,0.01410254390541204,-2.1411048096820697,0.048006608921946546,-0.06009108214221024,-0.0002989670270503175,16.0,90938,17
dept_59_closure_2021-08-03,density_gradient_per_sd,0.0345582559485573,0.04573925537104403,0.7555491594302376,0.46089853948462467,-0.06240463389494204,0.13152114579205665,16.0,90938,17
dept_59_closure_2021-08-03,fitted_ddd_count_2,-0.049805152058051944,0.03271146294128718,-1.5225596038748166,0.14738701832405743,-0.11915035569255836,0.01954005157645447,16.0,90938,17
dept_59_closure_2021-08-03,fitted_ddd_count_13,-0.023022923619298818,0.01472262393255285,-1.5637785577334058,0.13743056049647695,-0.05423349211235569,0.008187644873758053,16.0,90938,17
dept_5_closure_2021-08-18,ddd_at_full_sample_mean,-0.03113184772940679,0.015172569408318824,-2.051850737445815,0.056922956152254546,-0.06329625802090047,0.0010325625620868847,16.0,94832,17
dept_5_closure_2021-08-18,density_gradient_per_sd,0.02847794411360063,0.0387338645755829,0.735220831322692,0.4728451786806662,-0.053634180659486566,0.11059006888668783,16.0,94832,17
dept_5_closure_2021-08-18,fitted_ddd_count_2,-0.04729169431078499,0.03239081308974353,-1.4600341825244205,0.16363716843198478,-0.1159571506258096,0.021373762004239613,16.0,94832,17
dept_5_closure_2021-08-18,fitted_ddd_count_13,-0.025221633661548507,0.013114623127622928,-1.9231687724540825,0.07244146300202899,-0.053023392727082785,0.002580125403985771,16.0,94832,17
