measure,treated_min,treated_max,control_min,control_max,common_support_min,common_support_max,common_support_width,treated_within_common_support,control_within_common_support
cafe_count_500m,0.0,19.0,0.0,81.0,0.0,19.0,19.0,18,75
cafe_count_1500m,0.0,170.0,0.0,293.0,0.0,170.0,170.0,18,75
