rel_t,reference_period,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df
-4,False,0.01912034240397001,0.027601679189250748,0.6927238836764784,0.49783763849146356,-0.03911411032386514,0.07735479513180515,17.0
-3,False,0.02722285359709832,0.03512659017999515,0.7749927749207475,0.44899020625752895,-0.04688777356081747,0.10133348075501411,17.0
-2,False,0.007706277238606443,0.02016968316735565,0.3820723000289337,0.7071418568698581,-0.03484803450784019,0.05026058898505308,17.0
-1,True,0.0,0.0,,,0.0,0.0,17.0
1,False,-0.02555026956778337,0.029384379675200144,-0.8695187664399568,0.3966746554249312,-0.08754589155148533,0.03644535241591859,17.0
2,False,-0.041878339499349534,0.03412778082106096,-1.2271040920863376,0.23650663568170122,-0.1138816631125004,0.030124984113801337,17.0
3,False,-0.023361986259031995,0.030783231276754065,-0.7589192326496855,0.45829506985686763,-0.0883089271427693,0.04158495462470532,17.0
4,False,-0.036503487916687435,0.027222579002143088,-1.3409268796249507,0.1975874280213115,-0.09393810916420336,0.020931133330828494,17.0
