measure,store_role,stores,mean,sd,median,q25,q75,min,max,zero_count,zero_share,standardized_mean_difference_treated_minus_control
cafe_count_500m,treated,18,6.0,6.0,3.5,2.0,9.25,0.0,19.0,3,0.16666666666666666,-0.3965655152456062
cafe_count_500m,control,90,12.544444444444444,17.81815833754495,5.0,2.0,13.0,0.0,81.0,10,0.1111111111111111,-0.3965655152456062
log1p_cafe_count_500m,treated,18,1.55358858480216,0.9691708708838402,1.4978661367769954,1.0986122886681098,2.318281840018737,0.0,2.995732273553991,3,0.16666666666666666,-0.3276739231037263
log1p_cafe_count_500m,control,90,1.9299036318344636,1.1795917196082857,1.791759469228055,1.0986122886681098,2.6390573296152584,0.0,4.406719247264253,10,0.1111111111111111,-0.3276739231037263
cafe_count_1500m,treated,18,34.0,45.75895926418319,16.0,6.25,39.0,0.0,170.0,2,0.1111111111111111,-0.4050746102233537
cafe_count_1500m,control,90,66.73333333333333,85.8912037196155,28.0,10.25,67.0,0.0,293.0,3,0.03333333333333333,-0.4050746102233537
log1p_cafe_count_1500m,treated,18,2.7205346839466324,1.4962667371095513,2.8314802400679726,1.943293420120634,3.687908528189287,0.0,5.14166355650266,2,0.1111111111111111,-0.45347060168250936
log1p_cafe_count_1500m,control,90,3.367455987250158,1.41290256734937,3.3667009459186796,2.419648117045778,4.219507705176107,0.0,5.683579767338681,3,0.03333333333333333,-0.45347060168250936
