closure_event_id,closure_start,treated_store,dept_id,store_role,address,cafe_count_500m,cafe_count_1500m
dept_121_closure_2021-08-03,2021-08-03,121,119,control,鼓楼区水佑岗路6号万谷京东云智慧产业园一层大堂,0,38
dept_121_closure_2021-08-03,2021-08-03,121,120,control,鼓楼区中央路302号垠坤创意中央24号楼底商,10,22
dept_121_closure_2021-08-03,2021-08-03,121,123,control,玄武区花园路8号春风泊寓一层,2,13
dept_121_closure_2021-08-03,2021-08-03,121,125,control,玄武区红山路88号常发广场1号楼一层,5,21
dept_121_closure_2021-08-03,2021-08-03,121,116,control,雨花台区花神大道21号德讯科技大厦一层大堂,4,35
dept_182_closure_2021-08-03,2021-08-03,182,182,treated,江宁区东山街道潭园西路199号二层A-2F-C04,2,17
dept_182_closure_2021-08-03,2021-08-03,182,247,control,浦口区珠江镇凤凰大街107室,4,13
dept_182_closure_2021-08-03,2021-08-03,182,174,control,雨花台区长虹路222号德盈国际广场1幢一层,4,19
dept_182_closure_2021-08-03,2021-08-03,182,166,control,栖霞区马群街道马群街169号二层E1E2号,1,8
dept_182_closure_2021-08-03,2021-08-03,182,169,control,六合区雄州街道龙津路44号紫晶国际购物广场一层,2,7
dept_182_closure_2021-08-03,2021-08-03,182,168,control,栖霞区科创路1号金港一期配套用房一层,2,3
dept_220_closure_2021-08-03,2021-08-03,220,220,treated,江宁区上元大街327号凤凰创客空间大厦一层105室,5,13
dept_220_closure_2021-08-03,2021-08-03,220,86,control,浦口区江北新区星火路15号智芯科技大厦一层,11,15
dept_220_closure_2021-08-03,2021-08-03,220,84,control,鼓楼区山西路8号金山大厦A座六层,10,61
dept_220_closure_2021-08-03,2021-08-03,220,82,control,秦淮区应天大街388号晨光1865创意园e1栋一层,3,34
dept_220_closure_2021-08-03,2021-08-03,220,92,control,秦淮区石鼓路107号华威大厦一层,61,234
dept_220_closure_2021-08-03,2021-08-03,220,96,control,秦淮区石杨路116号1幢江苏省住建大厦一层大堂,0,4
dept_59_closure_2021-08-03,2021-08-03,59,59,treated,江宁区双龙大道1698号南京景枫L1层10号,19,36
dept_59_closure_2021-08-03,2021-08-03,59,85,control,江宁区科建路29号有志大厦A座一层101室,8,15
dept_59_closure_2021-08-03,2021-08-03,59,80,control,秦淮区卡子门大街99号复地活力广场一层29号,5,22
dept_59_closure_2021-08-03,2021-08-03,59,83,control,鼓楼区中山北路281号新城市虹桥中心01栋一层01室,6,22
dept_59_closure_2021-08-03,2021-08-03,59,77,control,建邺区云龙山路98号天盛大厦A幢一层04号,9,48
dept_59_closure_2021-08-03,2021-08-03,59,81,control,秦淮区太平南路1号新世纪广场A幢一层大堂,33,233
dept_46_closure_2021-08-04,2021-08-04,46,46,treated,江宁区双龙大道1688号江宁金鹰购物中心负一层AB1-00378室,16,40
dept_46_closure_2021-08-04,2021-08-04,46,63,control,玄武区玄武大道108号徐庄曼度广场一层,4,12
dept_46_closure_2021-08-04,2021-08-04,46,103,control,玄武区珠江路488号未来城A座底商,18,159
dept_46_closure_2021-08-04,2021-08-04,46,102,control,鼓楼区中山北路28号江苏商厦底商,11,112
dept_46_closure_2021-08-04,2021-08-04,46,99,control,鼓楼区大桥南路1号晶典国际大厦底商,4,16
dept_46_closure_2021-08-04,2021-08-04,46,98,control,雨花台区宁双路19号云密城K栋一层,3,39
dept_62_closure_2021-08-04,2021-08-04,62,62,treated,江宁区胜太西路62号纳科汽车生活广场B楼一层,0,14
dept_62_closure_2021-08-04,2021-08-04,62,104,control,秦淮区升州路熙南里街区15A栋一层,41,167
dept_62_closure_2021-08-04,2021-08-04,62,106,control,鼓楼区华侨路26号底商,39,293
dept_62_closure_2021-08-04,2021-08-04,62,108,control,鼓楼区广州路188号苏宁环球大厦一层大堂,26,177
dept_62_closure_2021-08-04,2021-08-04,62,110,control,江宁区正方中路888号浩鲸科技综合楼一层,0,0
dept_62_closure_2021-08-04,2021-08-04,62,107,control,玄武区后标营路钟山花园城博雅居会所底商,4,17
dept_3_closure_2021-08-09,2021-08-09,3,3,treated,高淳区淳溪街道镇北路27-2号,2,5
dept_3_closure_2021-08-09,2021-08-09,3,258,control,鼓楼区中山北路6号绿地购物中心B1M层,0,0
dept_3_closure_2021-08-09,2021-08-09,3,167,control,江宁区淳化街道芝行路161号一层,0,0
dept_3_closure_2021-08-09,2021-08-09,3,248,control,南京市高淳区淳溪街道镇北路27-2号,2,5
dept_3_closure_2021-08-09,2021-08-09,3,249,control,江宁区高新园龙眠大道660号新一商业广场5幢114号,1,11
dept_3_closure_2021-08-09,2021-08-09,3,244,control,溧水区通济街12号,4,9
dept_5_closure_2021-08-18,2021-08-18,5,5,treated,浦口区江浦街道龙华路8号金盛田广场二层,7,23
dept_5_closure_2021-08-18,2021-08-18,5,173,control,江宁区苏源大道19号九龙湖企业园C2栋一层大堂,4,6
dept_5_closure_2021-08-18,2021-08-18,5,259,control,秦淮区汉中路27号友谊广场BF层05号,38,230
dept_5_closure_2021-08-18,2021-08-18,5,241,control,鼓楼区凤凰街道新城市广场三层,12,43
dept_5_closure_2021-08-18,2021-08-18,5,1,control,六合区雄州西路8号欢乐港二期,2,7
dept_5_closure_2021-08-18,2021-08-18,5,153,control,秦淮区中华路255号华泰证券一层,30,114
dept_131_closure_2021-08-29,2021-08-29,131,131,treated,建邺区河西大街71号明基医院门诊楼一层大堂左侧,3,72
dept_131_closure_2021-08-29,2021-08-29,131,128,control,迈皋桥街道经五路1号弘阳家居一层2号门A1070号底商,1,7
dept_131_closure_2021-08-29,2021-08-29,131,126,control,秦淮区永乐路111号万象都荟商业广场底商,1,17
dept_131_closure_2021-08-29,2021-08-29,131,127,control,江宁区东山街道金源路4号绿地之窗商务广场1幢一层110室,15,35
dept_131_closure_2021-08-29,2021-08-29,131,112,control,江宁区南京禄口国际机场T2航站楼出发大厅二层12号,8,10
dept_131_closure_2021-08-29,2021-08-29,131,130,control,栖霞区兴智路6号兴智科技园B座一层大堂,1,2
