raw_count,standardized_density,estimate,se,tvalue,pvalue,ci_low,ci_high,reference_df
0.0,-0.7083581876827008,-0.05447967551790293,0.03652760164009535,-1.4914659893274262,0.15416237037563238,-0.13154617847906094,0.022586827443255082,17.0
0.2709030100334448,-0.6892721385007003,-0.05390778669691599,0.03583599158518663,-1.5042917556437763,0.15085792080141538,-0.12951511999044152,0.021699546596609547,17.0
0.5418060200668896,-0.6701860893186999,-0.05333589787592905,0.03514622813889034,-1.5175425842328527,0.14750595769371402,-0.12748795750543876,0.020816161753580663,17.0
0.8127090301003344,-0.6511000401366995,-0.052764009054942114,0.034458422193559234,-1.5312369428454113,0.14410721785358618,-0.125464924986466,0.019936906876581763,17.0
1.0836120401337792,-0.6320139909546991,-0.052192120233955176,0.03377269334728153,-1.5453940761332938,0.14066265194321054,-0.12344627476343278,0.019062034295522425,17.0
1.354515050167224,-0.6129279417726987,-0.05162023141296823,0.03308917073561592,-1.5600340010155098,0.13717344869142736,-0.1214322792885525,0.018191816462616042,17.0
1.6254180602006687,-0.5938418925906983,-0.051048342591981294,0.03240799395509166,-1.575177490551248,0.1336410611035054,-0.11942323308475723,0.017326547900794645,17.0
1.8963210702341136,-0.5747558434086979,-0.050476453770994356,0.03172931408960905,-1.5908460431397966,0.13006723472389597,-0.11741945491121336,0.01646654736922465,17.0
2.1672240802675584,-0.5556697942266975,-0.04990456495000742,0.03105329485227225,-1.6070618331296258,0.1264540379688529,-0.11542129017237833,0.015612160272363493,17.0
2.4381270903010033,-0.5365837450446971,-0.04933267612902048,0.030380113856740932,-1.6238476380191127,0.12280389450339965,-0.11342911360031817,0.014763761342277207,17.0
2.709030100334448,-0.5174976958626967,-0.04876078730803354,0.02970996403390983,-1.6412267363359923,0.11911961758216172,-0.11144333224364003,0.013921757627572945,17.0
2.979933110367893,-0.49841164668069626,-0.048188898487046605,0.02904305521161949,-1.659222768951914,0.11540444620380295,-0.10946438880039056,0.013086591826297338,17.0
3.2508361204013374,-0.4793255974986959,-0.04761700966605967,0.028379615877164897,-1.6778595549763506,0.11166208284188456,-0.10749276533662402,0.012258746004504696,17.0
3.5217391304347823,-0.4602395483166955,-0.04704512084507272,0.027719895144588315,-1.697160851427579,0.10789673240865945,-0.10552898743702749,0.01143874574688205,17.0
3.792642140468227,-0.4411534991346951,-0.046473232024085785,0.02706416495108986,-1.717150043538082,0.10411314198064757,-0.10357362883894196,0.010627164790770388,17.0
4.063545150501672,-0.4220674499526947,-0.04590134320309885,0.026412722509312064,-1.7378497497528276,0.10031664066452149,-0.10162731660623053,0.009824630200032845,17.0
4.334448160535117,-0.4029814007706943,-0.04532945438211191,0.02576589304466912,-1.7592813221543053,0.09651317880870931,-0.09969073690453842,0.009031828140314599,17.0
4.605351170568562,-0.38389535158869387,-0.04475756556112497,0.025124032849167074,-1.781464219133466,0.09270936557193225,-0.09776464144429022,0.008249510322040271,17.0
