closure_event_id,closure_start,treated_store,dept_id,store_role,cafe_count_500m,cafe_count_1500m
dept_5_closure_2021-08-18,2021-08-18,5,173,control,4,6
dept_5_closure_2021-08-18,2021-08-18,5,241,control,12,43
dept_5_closure_2021-08-18,2021-08-18,5,259,control,38,230
dept_5_closure_2021-08-18,2021-08-18,5,5,treated,7,23
dept_131_closure_2021-08-29,2021-08-29,131,112,control,8,10
dept_131_closure_2021-08-29,2021-08-29,131,126,control,1,17
dept_131_closure_2021-08-29,2021-08-29,131,127,control,15,35
dept_131_closure_2021-08-29,2021-08-29,131,128,control,1,7
dept_131_closure_2021-08-29,2021-08-29,131,130,control,1,2
dept_131_closure_2021-08-29,2021-08-29,131,131,treated,3,72
