member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
70888,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
71323,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
72184,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
75435,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
75549,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
76243,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
77908,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
78047,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
78549,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
78966,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
79839,46,2021-08-04,0.4444444444444444,0,middle,quartile_tails,0.25,1.0
80488,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
81151,46,2021-08-04,0.13333333333333333,1,baseline,quartile_tails,0.25,1.0
82485,46,2021-08-04,0.35555555555555557,0,middle,quartile_tails,0.25,1.0
82528,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
82611,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
84584,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
84886,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
87147,46,2021-08-04,0.08333333333333333,1,baseline,quartile_tails,0.25,1.0
87422,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
87484,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
89858,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
91299,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
91849,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
92378,46,2021-08-04,0.375,0,middle,quartile_tails,0.25,1.0
93848,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
94039,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
96934,46,2021-08-04,0.7916666666666666,0,middle,quartile_tails,0.25,1.0
97486,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
97759,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
98095,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
98166,46,2021-08-04,0.7083333333333333,0,middle,quartile_tails,0.25,1.0
98766,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
98924,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
99827,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
100126,46,2021-08-04,0.6541666666666667,0,middle,quartile_tails,0.25,1.0
100184,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
101170,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
101430,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
101662,46,2021-08-04,0.8333333333333334,0,middle,quartile_tails,0.25,1.0
102448,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
102565,46,2021-08-04,0.9166666666666666,0,middle,quartile_tails,0.25,1.0
102854,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
103022,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
103238,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
103355,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
103403,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
103489,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
105901,46,2021-08-04,0.675,0,middle,quartile_tails,0.25,1.0
106109,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
106150,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
106227,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
106984,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
107019,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
107160,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
110424,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
111649,46,2021-08-04,0.95,0,middle,quartile_tails,0.25,1.0
112211,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
113363,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
114303,46,2021-08-04,0.5833333333333333,0,middle,quartile_tails,0.25,1.0
114333,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
115824,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
116198,46,2021-08-04,0.2222222222222222,1,baseline,quartile_tails,0.25,1.0
116273,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
116968,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
117886,46,2021-08-04,0.3,0,middle,quartile_tails,0.25,1.0
117965,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
118485,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
118994,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
119424,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
122189,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
122359,46,2021-08-04,0.8333333333333334,0,middle,quartile_tails,0.25,1.0
124158,46,2021-08-04,0.7625,0,middle,quartile_tails,0.25,1.0
125262,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
125872,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
126494,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
129501,46,2021-08-04,0.15,1,baseline,quartile_tails,0.25,1.0
129508,46,2021-08-04,0.5166666666666667,0,middle,quartile_tails,0.25,1.0
131362,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
132573,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
132779,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
133232,46,2021-08-04,0.5416666666666666,0,middle,quartile_tails,0.25,1.0
133431,46,2021-08-04,0.20833333333333331,1,baseline,quartile_tails,0.25,1.0
133523,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
133862,46,2021-08-04,0.47023809523809523,0,middle,quartile_tails,0.25,1.0
134094,46,2021-08-04,0.8333333333333334,0,middle,quartile_tails,0.25,1.0
134608,46,2021-08-04,0.4107142857142857,0,middle,quartile_tails,0.25,1.0
134667,46,2021-08-04,0.3208333333333333,0,middle,quartile_tails,0.25,1.0
135250,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
138807,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
139119,46,2021-08-04,0.26666666666666666,0,middle,quartile_tails,0.25,1.0
140726,46,2021-08-04,0.65,0,middle,quartile_tails,0.25,1.0
140827,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
140924,46,2021-08-04,0.875,0,middle,quartile_tails,0.25,1.0
141497,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
141525,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
141659,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
142343,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
143022,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
144140,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
144263,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
