dept_id,closure_start,closure_end,closure_duration_days,latitude,longitude,address
141,2021-06-30,2021-10-07,100,32.134965349840314,118.94820700381575,栖霞区文澜路99号南京信息职业技术学院第二食堂二层
172,2021-07-01,2021-09-24,86,32.21228598545819,118.72652074463852,浦口区宁六路219号南京信息工程大学东苑食堂三层
57,2021-07-01,2021-07-14,14,31.98974881055588,118.74154355683464,建邺区白龙江东街22号艺树家工场一层大堂
198,2021-07-03,2021-10-07,97,31.89902899116753,118.9082108492895,江宁区弘景大道3601号晓庄学院方山校区大学生服务中心二层
100,2021-07-03,2021-09-07,67,32.12025541386233,118.96053400117644,栖霞区仙林大道163号南京大学仙林校区诚园5幢底商
93,2021-07-03,2021-10-08,98,32.12675700212732,118.94568599923257,栖霞区仙林大学城羊山北路1号南京工业职业技术学院五号食堂二层
163,2021-07-03,2021-09-21,81,31.928509009302022,118.88784374812288,江宁区弘景大道1号工程学院生活服务中心一层
199,2021-07-03,2021-09-07,67,32.15188177310466,118.94824877502198,栖霞区栖霞大道163号南京大学仙林校区四组团门面房南京大学小移人家营业厅一层
148,2021-07-03,2021-10-10,100,32.240742982713336,118.75814882401714,葛关路625号南京科技职业学院第一食堂二层
111,2021-07-04,2021-10-08,97,31.89171411801545,118.89763824258982,江宁区弘景大道3666号中国传媒大学南广学院三食堂一层中超华城超市
146,2021-07-06,2021-10-03,90,32.118202107101666,118.93818416008818,栖霞区文苑路9号南京邮电大学仙林校区图书馆一层G01室
170,2021-07-06,2021-08-17,43,31.889269794719745,118.81960828192386,江宁区东南大学路2号东南大学九龙湖校区橘园餐厅一层
179,2021-07-07,2021-10-07,93,31.91817538805172,118.9228358918058,江宁区江宁大学城龙眠大道629号交通职业技术学院第一食堂一层
187,2021-07-08,2021-10-11,96,31.96380239227237,118.7598607248275,雨花台区铁心桥街道龙西路310号三江学院主校区5号食堂二层
192,2021-07-08,2021-08-31,55,32.11209015283739,118.9195002139556,栖霞区文苑路1号南京师范大学仙林校区北区学生餐厅三层
183,2021-07-09,2021-09-23,77,31.90772304149415,118.92223088304485,江宁区淳化街道中国药科大学江宁校区图书馆二层
191,2021-07-10,2021-09-15,68,31.838273429148256,118.59499157051198,江宁区南京医科大学江宁校区青教公寓南侧一层
186,2021-07-10,2021-10-06,89,31.924348379627663,118.91368727900054,江宁区淳化街道江苏海事职业技术学院念稼餐厅二层
159,2021-07-10,2021-09-05,58,32.11107232016998,118.92144576402912,栖霞区笃学路南京师范大学仙林校区西区大众书店二层
144,2021-07-10,2021-09-22,75,32.1147999846995,118.93058970564572,栖霞区文苑路3号南京财经大学仙林校区图书馆一层
154,2021-07-10,2021-09-26,79,32.12896957910626,118.81802735405684,栖霞区晓庄中心村130号金陵科技学院第一食堂二层
164,2021-07-10,2021-09-26,79,31.904467592401147,118.90545898019025,江宁区弘景大道99号金陵科技学院北区第一食堂二层
171,2021-07-10,2021-09-22,75,32.093733992419935,118.92329995643226,栖霞区仙林大学城仙林大道100号南京审计大学金审学院学生第四食堂一层
185,2021-07-12,2021-10-25,106,31.923603575827148,118.7948822431006,江宁区佛城东路8号河海大学江宁校区生活组团二三期食堂四层
19,2021-07-15,2021-07-25,11,32.0717021116133,118.65382617971852,浦口区浦口大道13号新城总部大厦一层大堂
124,2021-07-22,2021-08-18,28,32.062502996213254,118.78957855753914,鼓楼区中山路321号南京鼓楼医院新大楼急诊部三层CD区
238,2021-07-24,2021-08-21,29,31.874597726297733,118.83411780235156,江宁区秣周东路12号悠谷1期3号楼协同大楼未来网络小镇一层大堂
44,2021-07-24,2021-08-05,13,32.09675064649749,118.89754490864732,玄武区湖景路9号苏宁青创园D栋一层大堂
39,2021-07-25,2021-08-19,26,32.02198047792086,118.77645341573286,秦淮区凤游寺52号悦动新门西体育文化产业园15号楼一层106号
147,2021-07-27,2021-09-12,48,32.06664934612214,118.74528212470608,鼓楼区江东街道江东北路319号华彩荟南京店一层
246,2021-07-27,2021-08-08,13,31.72205029718557,118.9863601049272,溧水区经济开发区创业路89号
133,2021-07-28,2021-08-22,26,31.834399119751986,118.77957718331324,江宁区东吉大道1号13号楼一层
110,2021-07-28,2021-09-05,40,31.845221972447156,118.78465701114165,江宁区正方中路888号浩鲸科技综合楼一层
160,2021-07-28,2021-08-31,35,31.945351238389,118.75083212563835,雨花台区英才路2号菁英体育中心一层大堂
68,2021-07-29,2021-08-23,26,32.051475127425455,118.76833965087508,鼓楼区虎踞路51号中国移动营业一层大堂
64,2021-07-29,2021-08-22,25,32.06284686872551,118.75232313312384,鼓楼区行健路16号移动龙江阳光广场一层
47,2021-07-30,2021-08-10,12,32.0550423626287,118.79413116986372,玄武区大钟亭路6号电信营业厅一层大堂
75,2021-07-31,2021-09-12,44,31.9902365132606,118.77019267548108,雨花台区安德门大街21号江苏科技金融大厦一层
220,2021-08-03,2021-08-12,10,31.958318700193743,118.84480386503716,江宁区上元大街327号凤凰创客空间大厦一层105室
182,2021-08-03,2021-08-20,18,31.944076987883264,118.85011698280648,江宁区东山街道潭园西路199号二层A-2F-C04
196,2021-08-03,2021-08-20,18,32.00388699212841,118.88564730132045,江宁区润发路9号南方时代广场一层大堂
189,2021-08-03,2021-08-12,10,31.97236804164075,118.86505643225128,江宁区宏运大道4597号景祥大厦底商
59,2021-08-03,2021-08-19,17,31.9364043741298,118.82563600172637,江宁区双龙大道1698号南京景枫L1层10号
121,2021-08-03,2021-08-20,18,31.95711371562584,118.84986716404416,江宁区竹山路68号江宁万达百货商场一层
197,2021-08-03,2021-08-19,17,31.933377175850584,118.83080655841124,江宁区双龙大道1539号21世纪太阳城购物中心负一层
46,2021-08-04,2021-08-19,16,31.93814419192112,118.82717731432038,江宁区双龙大道1688号江宁金鹰购物中心负一层AB1-00378室
62,2021-08-04,2021-08-17,14,31.950244163877503,118.80796669166727,江宁区胜太西路62号纳科汽车生活广场B楼一层
3,2021-08-09,2021-08-22,14,31.32987258116175,118.87437051293148,高淳区淳溪街道镇北路27-2号
5,2021-08-18,2021-08-31,14,32.075200167867,118.64618097101476,浦口区江浦街道龙华路8号金盛田广场二层
131,2021-08-29,2021-09-08,11,31.994035145362467,118.73714635136332,建邺区河西大街71号明基医院门诊楼一层大堂左侧
165,2021-11-10,2021-11-21,12,32.20747281175262,118.75498220726392,六合区大厂卸甲甸幸福路8号新办公大楼一层大堂
