group,rel_t,mean,std
control,-4,0.6036782661782661,0.4036615093966287
control,-3,0.5674925755248336,0.42468432105887977
control,-2,0.5210916771400642,0.43090669146212485
control,-1,0.47366737739872067,0.4428168557572907
control,0,0.09229487538840056,0.26556221359970034
control,1,0.41658787808908876,0.4140689943915281
control,2,0.5275471609265857,0.41399354052270537
control,3,0.47362702156334235,0.4319787556485824
control,4,0.4627072488914594,0.4412659066844589
treatment,-4,0.4743787077120411,0.42854024448866535
treatment,-3,0.5363847837985769,0.4310831835554134
treatment,-2,0.49755838641188954,0.44560937855616184
treatment,-1,0.3718553459119497,0.4467955464833915
treatment,0,0.026358475263584754,0.15282351500215965
treatment,1,0.453954802259887,0.44138733824743454
treatment,2,0.5658872901678657,0.4143242029805328
treatment,3,0.5007936507936508,0.4447171887929671
treatment,4,0.35702861952861953,0.41865252511669176
