treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]|(0.999, 6474.25]",1,6,1,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(19420.75, 25894.0]|(6474.25, 12947.5]",8,50,8,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]|(19420.75, 25894.0]",262,142,142,1,,,,,,
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]|(0.999, 6474.25]",2,70,2,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]",26,24,24,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]",86,134,86,1,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(6474.25, 12947.5]|(6474.25, 12947.5]",10,16,10,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]",8,44,8,1,,,,,,
0,"0|(0.999, 6474.25]|(0.999, 6474.25]|(6474.25, 12947.5]|(0.999, 6474.25]",6,74,6,1,,,,,,
0,"0|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]|(19420.75, 25894.0]",62,42,42,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]",0,1,0,0,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(6474.25, 12947.5]|(0.999, 6474.25]",11,25,11,1,,,,,,
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]|(6474.25, 12947.5]",41,20,20,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(19420.75, 25894.0]|(0.999, 6474.25]",1,8,1,1,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]|(0.999, 6474.25]",40,97,40,1,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(6474.25, 12947.5]|(0.999, 6474.25]",10,59,10,1,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(6474.25, 12947.5]|(6474.25, 12947.5]",30,29,29,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]",71,213,71,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]",70,92,70,1,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(6474.25, 12947.5]|(6474.25, 12947.5]",18,92,18,1,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(12947.5, 19420.75]|(12947.5, 19420.75]",63,17,17,1,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]|(6474.25, 12947.5]",31,108,31,1,,,,,,
0,"0|(19420.75, 25894.0]|(19420.75, 25894.0]|(0.999, 6474.25]|(0.999, 6474.25]",8,1,1,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(0.999, 6474.25]|(0.999, 6474.25]",0,1,0,0,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(6474.25, 12947.5]|(12947.5, 19420.75]",1,0,0,0,,,,,,
0,"0|(0.999, 6474.25]|(0.999, 6474.25]|(19420.75, 25894.0]|(6474.25, 12947.5]",40,87,40,1,,,,,,
0,"0|(19420.75, 25894.0]|(0.999, 6474.25]|(19420.75, 25894.0]|(12947.5, 19420.75]",19,3,3,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]",7,22,7,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(12947.5, 19420.75]|(12947.5, 19420.75]",51,64,51,1,,,,,,
0,"0|(6474.25, 12947.5]|(0.999, 6474.25]|(19420.75, 25894.0]|(12947.5, 19420.75]",43,23,23,1,,,,,,
0,"0|(0.999, 6474.25]|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]",19,10,10,1,,,,,,
0,"0|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]|(12947.5, 19420.75]",38,21,21,1,,,,,,
