closure_event_id,dept_id,closure_start,closure_end,closure_duration_days,members,rows,output_dir
dept_225_closure_2021-02-09,225,2021-02-09,2021-02-18,10,767,6136,outputs/04_diagnostics_18_closures/separate_effect_duration10_recency10/separate_effect/dept_225_closure_2021-02-09
dept_220_closure_2021-08-03,220,2021-08-03,2021-08-12,10,258,2064,outputs/04_diagnostics_18_closures/separate_effect_duration10_recency10/separate_effect/dept_220_closure_2021-08-03
