arm,n,mean,sd,p01,p10,p25,p50,p75,p90,p99,share_at_or_above_threshold
Control,32758,0.3067018240742054,0.3179044404725566,0.001360491366,0.009523600200000001,0.033692638250000004,0.172442675,0.5371688,0.85529081,0.9956694638,0.2693693143659564
Treated,7390,0.3125591341522281,0.3258570467744114,0.001586706989,0.010432988,0.0331867005,0.17410648,0.55178685,0.8826066560000002,0.9962005683,0.27618403247631934
