scope,pvalue_wild_restricted,custom_coef,custom_se,custom_n,custom_singleton_drops,custom_absorption_error
headline_all_products,0.0449,-0.0414885789296825,0.01843786773650453,99644,6210,9.840178671893796e-11
all_noncoffee,0.2249,-0.041284011460346506,0.0340317674127027,30444,8472,9.842909820534373e-11
noncoffee_consumables,0.2303,-0.041089878816811254,0.033884812941909724,30418,8472,9.815148693803621e-11
noncoffee_drinks,0.1185,-0.06262476505278913,0.04117670161028535,21433,7880,9.992046079432271e-11
