scope,outcome,outcome_type,estimand,term,coef,se,pvalue,ci_low,ci_high,n,r2_within,clusters,pvalue_wild_restricted
headline_all_products,variety_seeking,conditional_novelty,low_predicted_incidence_effect,post_X_treated_X_low,0.031289978636406555,0.017848736939938218,0.0976034149192071,-0.006367564604121641,0.06894752187693476,99644,0.0005383592916485824,18,
headline_all_products,variety_seeking,conditional_novelty,high_predicted_incidence_effect,post_X_treated_X_high,-0.010198600293423218,0.007197154217108493,0.17453959127117735,-0.02538326837674649,0.004986067789900054,99644,0.0005383592916485824,18,
headline_all_products,variety_seeking,conditional_novelty,high_minus_low_ddd,post_X_treated_X_disp,-0.0414885789297174,0.01843934649859583,0.037982827906994254,-0.0803921994175186,-0.0025849584419161895,99644,0.0005383592916475832,18,0.0449
headline_all_products,variety_seeking,conditional_novelty,common_high_minus_low_post_shift,post_X_disp,0.038084244563700805,0.008117943078101977,0.0002100190281222325,0.02095688179755821,0.0552116073298434,99644,0.0005383592916475832,18,
all_noncoffee,novelty_all_noncoffee,conditional_novelty,low_predicted_incidence_effect,post_X_treated_X_low,0.06466686451866388,0.02807367780236707,0.03414962701437063,0.005436581764160252,0.1238971472731675,30444,0.0008495247745987644,18,
all_noncoffee,novelty_all_noncoffee,conditional_novelty,high_predicted_incidence_effect,post_X_treated_X_high,0.023382853058129656,0.016478325630491487,0.17397203984312126,-0.011383375053689061,0.05814908116994837,30444,0.0008495247745987644,18,
all_noncoffee,novelty_all_noncoffee,conditional_novelty,high_minus_low_ddd,post_X_treated_X_disp,-0.04128401146037966,0.03404071021466583,0.24179712382036866,-0.11310363215178672,0.030535609231027397,30444,0.0008495247745964329,18,0.2249
all_noncoffee,novelty_all_noncoffee,conditional_novelty,common_high_minus_low_post_shift,post_X_disp,-0.018187853788736295,0.012907664351408112,0.17684270605278707,-0.04542064511077915,0.009044937533306562,30444,0.0008495247745964329,18,
all_noncoffee,any_purchase_all_noncoffee,purchase_entry,low_predicted_incidence_effect,post_X_treated_X_low,0.0034448504880326765,0.005664347625806469,0.551118455789799,-0.008505878371156208,0.01539557934722156,321184,0.005603667886182939,18,
all_noncoffee,any_purchase_all_noncoffee,purchase_entry,high_predicted_incidence_effect,post_X_treated_X_high,-0.013563942203261754,0.011382247689820445,0.2497600344707125,-0.03757838569000067,0.01045050128347716,321184,0.005603667886182939,18,
all_noncoffee,any_purchase_all_noncoffee,purchase_entry,high_minus_low_ddd,post_X_treated_X_disp,-0.01700879269123652,0.009994148432257514,0.10699386804779909,-0.03809460274079049,0.004077017358317447,321184,0.005603667886182939,18,
all_noncoffee,any_purchase_all_noncoffee,purchase_entry,common_high_minus_low_post_shift,post_X_disp,-0.0894712789148521,0.005448609668800745,7.30349114519413e-12,-0.1009668404716204,-0.0779757173580838,321184,0.005603667886182939,18,
noncoffee_consumables,novelty_noncoffee_consumables,conditional_novelty,low_predicted_incidence_effect,post_X_treated_X_low,0.06442176373050626,0.028148644158099204,0.03517598397921229,0.005033315790865592,0.12381021167014693,30418,0.0008596502295377118,18,
noncoffee_consumables,novelty_noncoffee_consumables,conditional_novelty,high_predicted_incidence_effect,post_X_treated_X_high,0.023331884913506157,0.016253526727237903,0.1692900468643137,-0.010960058970348331,0.057623828797360645,30418,0.0008596502295377118,18,
noncoffee_consumables,novelty_noncoffee_consumables,conditional_novelty,high_minus_low_ddd,post_X_treated_X_disp,-0.04108987881684599,0.033893724758432234,0.24197163563851598,-0.11259938730297649,0.030419629669284506,30418,0.0008596502295354913,18,0.2303
noncoffee_consumables,novelty_noncoffee_consumables,conditional_novelty,common_high_minus_low_post_shift,post_X_disp,-0.01886437880088492,0.012947234090178526,0.16333451946410937,-0.046180654974196385,0.008451897372426548,30418,0.0008596502295354913,18,
noncoffee_consumables,any_purchase_noncoffee_consumables,purchase_entry,low_predicted_incidence_effect,post_X_treated_X_low,0.003487185476091617,0.005660713975480092,0.5460336414316207,-0.008455877051034278,0.01543024800321751,321184,0.005606889885187427,18,
noncoffee_consumables,any_purchase_noncoffee_consumables,purchase_entry,high_predicted_incidence_effect,post_X_treated_X_high,-0.01397230985784653,0.011471377354375856,0.2398539969458613,-0.0381748004993115,0.010230180783618434,321184,0.005606889885187427,18,
noncoffee_consumables,any_purchase_noncoffee_consumables,purchase_entry,high_minus_low_ddd,post_X_treated_X_disp,-0.017459495333880498,0.01010741834759854,0.10221900260193673,-0.03878428401532081,0.003865293347559813,321184,0.005606889885187427,18,
noncoffee_consumables,any_purchase_noncoffee_consumables,purchase_entry,common_high_minus_low_post_shift,post_X_disp,-0.08937939575152287,0.005428879378741813,7.005063196174888e-12,-0.10083333003496966,-0.07792546146807608,321184,0.005606889885187427,18,
noncoffee_drinks,novelty_noncoffee_drinks,conditional_novelty,low_predicted_incidence_effect,post_X_treated_X_low,0.07364240626932751,0.03409804522947831,0.04537018607820631,0.0017018192705137852,0.14558299326814123,21433,0.0009356892057559296,18,
noncoffee_drinks,novelty_noncoffee_drinks,conditional_novelty,high_predicted_incidence_effect,post_X_treated_X_high,0.011017641216355567,0.018960552916629708,0.5688097419525318,-0.02898562869148015,0.051020911124191284,21433,0.0009356892057559296,18,
noncoffee_drinks,novelty_noncoffee_drinks,conditional_novelty,high_minus_low_ddd,post_X_treated_X_disp,-0.06262476505282628,0.041192077445032935,0.1468135614842172,-0.1495324517296676,0.02428292162401502,21433,0.0009356892057532651,18,0.1185
noncoffee_drinks,novelty_noncoffee_drinks,conditional_novelty,common_high_minus_low_post_shift,post_X_disp,-0.014063827575535488,0.015890703460797902,0.38848474941568845,-0.04759028127985455,0.01946262612878357,21433,0.0009356892057532651,18,
noncoffee_drinks,any_purchase_noncoffee_drinks,purchase_entry,low_predicted_incidence_effect,post_X_treated_X_low,0.006151482620075584,0.004641547306013882,0.20260571929475257,-0.003641326191402139,0.015944291431553306,321184,0.004671545969066049,18,
noncoffee_drinks,any_purchase_noncoffee_drinks,purchase_entry,high_predicted_incidence_effect,post_X_treated_X_high,-0.016286260541352234,0.009829922150947974,0.11589781393628384,-0.03702558342430972,0.004453062341605252,321184,0.004671545969066049,18,
noncoffee_drinks,any_purchase_noncoffee_drinks,purchase_entry,high_minus_low_ddd,post_X_treated_X_disp,-0.02243774316136963,0.008974603448309524,0.02294134712769824,-0.041372501321488446,-0.003502985001250812,321184,0.004671545969065827,18,
noncoffee_drinks,any_purchase_noncoffee_drinks,purchase_entry,common_high_minus_low_post_shift,post_X_disp,-0.07127554811552,0.005408630353935677,2.371138840828735e-10,-0.08268676069099488,-0.059864335540045124,321184,0.004671545969065827,18,
