spec,estimand,term,n,r2_within,coef,se,pvalue,ci_low,ci_high
binary_collapsed,low_predicted_incidence_effect_delta_b,post_X_treated,113269,0.0004869130860366555,0.030944053869360045,0.016293031972815005,0.07135961590567597,-0.002939160993896798,0.06482726873261689
binary_collapsed,common_high_minus_low_post_shift,post_X_disp,113269,0.0004869130860366555,0.03587334570637426,0.007855237866253908,0.00016764765443477714,0.019537484286083505,0.05220920712666501
binary_collapsed,high_minus_low_ddd,post_X_treated_X_disp,113269,0.0004869130860366555,-0.03864450302766228,0.016715720486778843,0.031020952373977728,-0.0734067467765657,-0.003882259278758869
binary_collapsed_group_effects,low_predicted_incidence_effect,post_X_treated_X_low,113269,0.00048691304514536515,0.03094404767819655,0.016293119953672053,0.07136108244974859,-0.0029393501512686784,0.06482744550766179
binary_collapsed_group_effects,high_predicted_incidence_effect,post_X_treated_X_high,113269,0.00048691304514536515,-0.0077004490610747866,0.006884480680269181,0.275975918616467,-0.022017510397522817,0.006616612275373245
score_collapsed,,post_X_treated,113269,0.0004098568502423072,0.020671279523432732,0.013848316246881986,0.15038993857154104,-0.008127870669750323,0.04947042971661579
score_collapsed,,post_X_score,113269,0.0004098568502423072,0.052376712507078024,0.013884366873970145,0.001118213773473986,0.02350259093069132,0.08125083408346473
score_collapsed,,post_X_treated_X_score,113269,0.0004098568502423072,-0.04696806890693133,0.025433095406097405,0.07892749233905949,-0.09985908622773147,0.0059229484138688115
